SLAMBench Report run started:	2018-02-18 10:14:38

Properties:
=================

frame-limit: 0
log-file: out_paper//memory_orbslam2_living_room_traj2_loop.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-library: build/lib/liborbslam2-original-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.txt
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-nan	0.1147620000	348371200	0	402718720	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0015366985	0.0007683493	0.0015366985	0.0014142410	0.0354160000	356516126	0	402718720	0.0006963463	0.0000178619	-0.0003427534
3	0.0800000000	0.0016735863	0.0010700950	0.0016735863	0.0011899923	0.0326400000	356446883	0	402718720	-0.0042211143	0.0007406494	-0.0004876328
4	0.1200000000	0.0024419085	0.0014130483	0.0024419085	0.0014277847	0.0314370000	356416730	0	402718720	-0.0008867451	0.0010379477	-0.0008999060
5	0.1600000000	0.0039741946	0.0019252776	0.0039741946	0.0016265168	0.0306160000	356419874	0	402718720	-0.0042848135	-0.0013940356	0.0008131070
6	0.2000000000	0.0014003824	0.0018377951	0.0039741946	0.0019230322	0.0316000000	356427202	0	402718720	-0.0041308869	0.0017212915	-0.0003472701
7	0.2400000000	0.0010873142	0.0017305835	0.0039741946	0.0017641345	0.0313640000	356430022	0	402718720	-0.0050418065	0.0021759116	-0.0001017336
8	0.2800000000	0.0027016464	0.0018519664	0.0039741946	0.0017276818	0.0311400000	356432746	0	402718720	-0.0046347482	0.0026124960	-0.0001455753
9	0.3200000000	0.0015491414	0.0018183191	0.0039741946	0.0018703967	0.0316000000	356435798	0	402718720	-0.0078405319	0.0016512125	-0.0006178146
10	0.3600000000	0.0028334318	0.0019198304	0.0039741946	0.0018593079	0.0312950000	356439614	0	402718720	-0.0068665133	0.0035439760	-0.0001547314
11	0.4000000000	0.0011676110	0.0018514468	0.0039741946	0.0020431603	0.0315180000	356443014	0	402718720	-0.0089891246	0.0010386308	0.0009926157
12	0.4400000000	0.0008785391	0.0017703712	0.0039741946	0.0022557723	0.0310080000	356445430	0	402718720	-0.0096634757	0.0001935088	0.0000033209
13	0.4800000000	0.0022112497	0.0018042849	0.0039741946	0.0023560131	0.0311450000	356447906	0	402718720	-0.0106707150	-0.0000895370	0.0001798930
14	0.5200000000	0.0030858414	0.0018958247	0.0039741946	0.0022856067	0.0310860000	356451854	0	402718720	-0.0098020658	0.0009585606	-0.0008529733
15	0.5600000000	0.0014060595	0.0018631737	0.0039741946	0.0022711367	0.0315540000	356454530	0	402718720	-0.0156703815	0.0014727294	0.0008822269
16	0.6000000000	0.0016274810	0.0018484429	0.0039741946	0.0022656387	0.0310680000	356457014	0	402718720	-0.0132763758	0.0015437255	-0.0000447271
17	0.6400000000	0.0036871072	0.0019565996	0.0039741946	0.0022674515	0.0309600000	356459902	0	402718720	-0.0145988856	-0.0030452055	-0.0022173140
18	0.6800000000	0.0015628892	0.0019347268	0.0039741946	0.0022558057	0.0315100000	356465094	0	402718720	-0.0173929222	-0.0003607706	-0.0016158025
19	0.7200000000	0.0052115913	0.0021071933	0.0052115913	0.0022556278	0.0317960000	356468642	0	402718720	-0.0179517865	-0.0046272194	-0.0016029361
20	0.7600000000	0.0028862215	0.0021461447	0.0052115913	0.0023998337	0.0313230000	356472718	0	402718720	-0.0215866417	-0.0035259330	-0.0019827508
21	0.8000000000	0.0063275355	0.0023452586	0.0063275355	0.0023765011	0.0312580000	356477586	0	402718720	-0.0200570486	-0.0022941725	-0.0018668360
22	0.8400000000	0.0042913128	0.0024337156	0.0063275355	0.0023413879	0.0318140000	356482610	0	402718720	-0.0283920206	-0.0035139772	-0.0026809138
23	0.8800000000	0.0066685574	0.0026178392	0.0066685574	0.0023221498	0.0318370000	356485550	0	402718720	-0.0246901587	-0.0034089976	-0.0044475487
24	0.9200000000	0.0057054879	0.0027464912	0.0066685574	0.0023081019	0.0318870000	356491030	0	402718720	-0.0348994806	-0.0033104646	-0.0056543429
25	0.9600000000	0.0055181221	0.0028573564	0.0066685574	0.0022774061	0.0315750000	356494566	0	402718720	-0.0358598940	-0.0017885674	-0.0057806456
26	1.0000000000	0.0069222231	0.0030136975	0.0069222231	0.0022437816	0.0312170000	356496754	0	402718720	-0.0404531658	-0.0023146968	-0.0057929303
27	1.0400000000	0.0060039097	0.0031244461	0.0069222231	0.0022860279	0.0311380000	356501174	0	402718720	-0.0465699174	-0.0008327917	-0.0066495575
28	1.0800000000	0.0051015019	0.0031950552	0.0069222231	0.0025453202	0.0312540000	356506158	0	402718720	-0.0554234795	-0.0041456232	-0.0077031013
29	1.1200000000	0.0036743453	0.0032115824	0.0069222231	0.0026425882	0.0309950000	356510766	0	402718720	-0.0611919314	-0.0012619670	-0.0112496382
30	1.1600000000	0.0049112891	0.0032682393	0.0069222231	0.0027329887	0.0311790000	356515358	0	402718720	-0.0683106035	-0.0017751934	-0.0072918683
31	1.2000000000	0.0051721591	0.0033296561	0.0069222231	0.0027166468	0.0308590000	356519742	0	402718720	-0.0744710416	-0.0005747064	-0.0098682940
32	1.2400000000	0.0060897288	0.0034159084	0.0069222231	0.0027397648	0.0307950000	356523746	0	402718720	-0.0804964304	-0.0008306702	-0.0123685375
33	1.2800000000	0.0051692920	0.0034690412	0.0069222231	0.0027950972	0.0306580000	356528586	0	402718720	-0.0883311629	-0.0033667530	-0.0119779259
34	1.3200000000	0.0024701313	0.0034396615	0.0069222231	0.0028106863	0.0309870000	356537838	0	402718720	-0.1188199371	-0.0023373729	-0.0118304668
35	1.3600000000	0.0053815413	0.0034951438	0.0069222231	0.0031660482	0.0307660000	356541150	0	402718720	-0.1183462515	-0.0009737088	-0.0151321115
36	1.4000000000	0.0084955515	0.0036340440	0.0084955515	0.0037727239	0.0302070000	356543422	0	402718720	-0.1215044707	-0.0017551981	-0.0180687532
37	1.4400000000	0.0043734806	0.0036540288	0.0084955515	0.0037730877	0.0306230000	356547362	0	402718720	-0.1356615871	-0.0009988463	-0.0153372576
38	1.4800000000	0.0034748858	0.0036493145	0.0084955515	0.0037293748	0.0305540000	356551834	0	402718720	-0.1485827565	-0.0012805774	-0.0154172396
39	1.5200000000	0.0048651542	0.0036804899	0.0084955515	0.0037001453	0.0299820000	356555158	0	402718720	-0.1502835006	-0.0006866154	-0.0177778378
40	1.5600000000	0.0051729139	0.0037178005	0.0084955515	0.0037185529	0.0300350000	356558698	0	402718720	-0.1610693038	-0.0062329560	-0.0188449603
41	1.6000000000	0.0021421215	0.0036793693	0.0084955515	0.0038132693	0.0298580000	356562722	0	402718720	-0.1732441038	-0.0043079196	-0.0152004035
42	1.6400000000	0.0006390783	0.0036069814	0.0084955515	0.0037789036	0.0301470000	356568206	0	402718720	-0.1881743670	-0.0029992564	-0.0126480740
43	1.6800000000	0.0037401016	0.0036100772	0.0084955515	0.0037519153	0.0306480000	356570566	0	402718720	-0.1921056360	-0.0012040427	-0.0101364125
44	1.7200000000	0.0040937671	0.0036210702	0.0084955515	0.0037698529	0.0300430000	356574646	0	402718720	-0.1980177462	-0.0019157571	-0.0110754687
45	1.7600000000	0.0021833212	0.0035891202	0.0084955515	0.0038670744	0.0297060000	356577538	0	402718720	-0.2117488980	0.0000622829	-0.0072801579
46	1.8000000000	0.0027624040	0.0035711481	0.0084955515	0.0038641893	0.0304990000	356581406	0	402718720	-0.2168426514	0.0019075929	-0.0079961158
47	1.8400000000	0.0006985636	0.0035100293	0.0084955515	0.0039453864	0.0304490000	356583906	0	402718720	-0.2193665504	-0.0025282106	-0.0089463759
48	1.8800000000	0.0038367731	0.0035168364	0.0084955515	0.0039735882	0.0307470000	356586154	0	402718720	-0.2216939330	0.0003374711	-0.0076323636
49	1.9200000000	0.0014716848	0.0034750986	0.0084955515	0.0039411095	0.0309190000	356589034	0	402718720	-0.2295423597	-0.0015997561	-0.0065240506
50	1.9600000000	0.0012295777	0.0034301882	0.0084955515	0.0039093497	0.0306190000	356591986	0	402718720	-0.2458912283	-0.0012703732	-0.0008017588
51	2.0000000000	0.0042459159	0.0034461829	0.0084955515	0.0039111294	0.0300480000	356594038	0	402718720	-0.2402105927	0.0001845707	-0.0039967410
52	2.0400000000	0.0020325643	0.0034189979	0.0084955515	0.0039042217	0.0300800000	356597366	0	402718720	-0.2493748814	-0.0009195153	-0.0049255993
53	2.0800000000	0.0019934399	0.0033921006	0.0084955515	0.0039336280	0.0304720000	356599666	0	402718720	-0.2513683140	-0.0046455353	-0.0076894462
54	2.1200000000	0.0017977402	0.0033625754	0.0084955515	0.0039768574	0.0308710000	356602474	0	402718720	-0.2636341751	-0.0065296772	-0.0013560448
55	2.1600000000	0.0031251148	0.0033582579	0.0084955515	0.0040931827	0.0308830000	356604958	0	402718720	-0.2658417821	-0.0038843530	-0.0002574511
56	2.2000000000	0.0037599646	0.0033654313	0.0084955515	0.0041210097	0.0317460000	356608666	0	402718720	-0.2879450917	-0.0032014220	0.0078390613
57	2.2400000000	0.0034323053	0.0033666045	0.0084955515	0.0040981661	0.0305060000	356610074	0	402718720	-0.2906554639	-0.0046402756	0.0086647142
58	2.2800000000	0.0028763323	0.0033581515	0.0084955515	0.0041095225	0.0302280000	356611946	0	402718720	-0.3015157878	-0.0070214076	0.0108019002
59	2.3200000000	0.0040021837	0.0033690673	0.0084955515	0.0042301994	0.0304960000	356614702	0	402718720	-0.3163929284	-0.0062331343	0.0176663976
60	2.3600000000	0.0015174515	0.0033382071	0.0084955515	0.0043935692	0.0306290000	356616922	0	402718720	-0.3151232600	-0.0067201960	0.0128477588
61	2.4000000000	0.0024173113	0.0033231104	0.0084955515	0.0044820654	0.0308110000	356620814	0	402718720	-0.3227944672	-0.0067204200	0.0140594598
62	2.4400000000	0.0070320549	0.0033829321	0.0084955515	0.0046790310	0.0309760000	356625118	0	402718720	-0.3429005146	-0.0030578985	0.0256167036
63	2.4800000000	0.0032967173	0.0033815636	0.0084955515	0.0048443348	0.0298730000	356629382	0	402718720	-0.3562960625	-0.0098323328	0.0276399348
64	2.5200000000	0.0035684297	0.0033844834	0.0084955515	0.0051742759	0.0298800000	356634402	0	402718720	-0.3673578501	-0.0060384562	0.0316704437
65	2.5600000000	0.0084913699	0.0034630509	0.0084955515	0.0053284232	0.0297340000	356637418	0	402718720	-0.3869245052	-0.0020464021	0.0356581956
66	2.6000000000	0.0042739622	0.0034753374	0.0084955515	0.0055223569	0.0297270000	356654814	0	402718720	-0.3964269757	-0.0081052221	0.0365630388
