SLAMBench Report run started:	2018-02-18 01:27:20

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_libefusion-cuda_rgbd_dataset_freiburg1_rpy.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_rpy.slam
load-library: build/lib/libefusion-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
confidence: 10
depth: 3
icp: 10
icpErrThresh: 5e-05
covThresh: 1e-05
photoThresh: 115
fernThresh: 0.3095
icpCountThresh: 35000
timeDelta: 200
textureDim: 512
nodeTextureDim: 2048
openLoop: false
reloc: false
fastOdom: false
so3: true
frameToFrameRGB: false
shader-dir: /home/bruno/slambench2/benchmarks/efusion/src/cuda/Core/src/Shaders

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031229.5287840366	0.0606188439	0.0606188439	0.0606188439	-nan	0.0096840000	199163396	95654128	750977024	0.0000000000	0.0000000000	0.0000000000
2	1305031229.5644419193	0.0528082997	0.0567135718	0.0606188439	0.0351157971	0.0223210000	200224462	95654128	760807424	-0.0045655631	0.0008366958	0.0132681141
3	1305031229.5966169834	0.0653331280	0.0595867572	0.0653331280	0.0422144915	0.0177740000	200343410	95654128	760807424	-0.0037277893	-0.0090845255	0.0052311923
4	1305031229.6287899017	0.0605287813	0.0598222632	0.0653331280	0.0347633774	0.0224060000	200418038	95654128	760807424	-0.0075347489	-0.0019482886	0.0114561450
5	1305031229.6646571159	0.0655534267	0.0609684959	0.0655534267	0.0318419070	0.0176430000	200519390	95654128	760807424	-0.0100508612	-0.0102995913	0.0129538570
6	1305031229.6968429089	0.0629781112	0.0613034318	0.0655534267	0.0286142100	0.0183080000	200594758	95654128	760807424	-0.0095640086	-0.0070680892	0.0161295999
7	1305031229.7290771008	0.0638986230	0.0616741734	0.0655534267	0.0262460661	0.0176890000	200697266	95654128	760807424	-0.0195601862	-0.0023653363	0.0180688985
8	1305031229.7648689747	0.0690881833	0.0626009246	0.0690881833	0.0248483578	0.0175480000	200773758	95654128	760807424	-0.0228709728	-0.0053766016	0.0157389436
9	1305031229.7969229221	0.0686563402	0.0632737486	0.0690881833	0.0235556644	0.0224080000	200874774	95654128	760807424	-0.0269514453	-0.0028376635	0.0179995336
10	1305031229.8256299496	0.0720498189	0.0641513556	0.0720498189	0.0228874089	0.0181050000	200951810	95654128	760807424	-0.0334938169	-0.0026031616	0.0174616259
11	1305031229.8630619049	0.0723111406	0.0648931543	0.0723111406	0.0228338615	0.0207140000	201053550	95654128	760807424	-0.0362515785	-0.0029515177	0.0189681929
12	1305031229.8969380856	0.0745179430	0.0656952200	0.0745179430	0.0229774888	0.0177140000	201127366	95654128	760807424	-0.0411268435	-0.0009813178	0.0179279298
13	1305031229.9262549877	0.0786447451	0.0666913373	0.0786447451	0.0224337392	0.0177300000	201229010	95654128	760807424	-0.0471249707	-0.0015187289	0.0161589719
14	1305031229.9662408829	0.0816398412	0.0677590876	0.0816398412	0.0220424232	0.0177140000	201304918	95654128	760807424	-0.0512189269	-0.0011159402	0.0140582835
15	1305031229.9979310036	0.0812783316	0.0686603705	0.0816398412	0.0220367690	0.0177380000	201406854	95654128	760807424	-0.0531742573	-0.0002022719	0.0143082850
16	1305031230.0300021172	0.0822319984	0.0695085973	0.0822319984	0.0214887387	0.0175170000	201482606	95654128	760807424	-0.0565183312	-0.0007678441	0.0143904956
17	1305031230.0656960011	0.0837206393	0.0703445997	0.0837206393	0.0210990252	0.0175110000	201486030	95654128	760807424	-0.0602108389	-0.0034927037	0.0143684894
18	1305031230.0982739925	0.0824734047	0.0710184222	0.0837206393	0.0208441283	0.0171900000	201592838	95654128	760807424	-0.0612273961	0.0000563487	0.0137969395
19	1305031230.1299350262	0.0833239034	0.0716660791	0.0837206393	0.0203972546	0.0171240000	201667154	95654128	760807424	-0.0635128021	0.0002523433	0.0130149480
20	1305031230.1657800674	0.0846138671	0.0723134685	0.0846138671	0.0200110420	0.0171160000	201668970	95654128	760807424	-0.0672029927	-0.0001341339	0.0118354857
21	1305031230.1977820396	0.0854652226	0.0729397425	0.0854652226	0.0198119684	0.0199120000	201772246	95654128	760807424	-0.0703029931	0.0005273127	0.0104433028
22	1305031230.2298529148	0.0891938433	0.0736785653	0.0891938433	0.0197080998	0.0172590000	201846566	95654128	760807424	-0.0744336247	-0.0005198308	0.0076455218
23	1305031230.2655899525	0.0912195370	0.0744412162	0.0912195370	0.0193645744	0.0173940000	201947834	95654128	760807424	-0.0777269080	0.0003105876	0.0050249863
24	1305031230.2979929447	0.0897730067	0.0750800408	0.0912195370	0.0191976703	0.0172540000	202121902	95654128	760807424	-0.0796856210	-0.0008329852	0.0064234054
25	1305031230.3351120949	0.0914392173	0.0757344079	0.0914392173	0.0188833365	0.0171260000	202196774	95654128	760807424	-0.0829545408	-0.0027333843	0.0044843247
26	1305031230.3656799793	0.0944559425	0.0764544669	0.0944559425	0.0185232668	0.0172060000	202297998	95654128	760807424	-0.0856526047	0.0005695249	0.0011800469
27	1305031230.3973290920	0.0958260149	0.0771719317	0.0958260149	0.0182814967	0.0173970000	202471754	95654128	760807424	-0.0892104954	-0.0001101376	0.0004328717
28	1305031230.4368140697	0.1018057391	0.0780517105	0.1018057391	0.0188718840	0.0172040000	202546530	95654128	760807424	-0.0948664024	0.0004416229	-0.0054334668
29	1305031230.4653120041	0.1117136702	0.0792124677	0.1117136702	0.0186200933	0.0172790000	202647498	95654128	760807424	-0.1035236046	-0.0006734927	-0.0141668562
30	1305031230.4972999096	0.1186107025	0.0805257422	0.1186107025	0.0184417907	0.0172810000	202822674	95654128	760807424	-0.1108359843	0.0012560776	-0.0204377398
31	1305031230.5301918983	0.1230157912	0.0818963890	0.1230157912	0.0184576269	0.0172750000	202995258	95654128	760807424	-0.1180534735	-0.0018148199	-0.0238245893
32	1305031230.5661149025	0.1257928014	0.0832681519	0.1257928014	0.0186974236	0.0205410000	203169710	95654128	760807424	-0.1242946759	0.0007788371	-0.0274162143
33	1305031230.5988430977	0.1276874095	0.0846141900	0.1276874095	0.0187299824	0.0174790000	203349894	95654128	760807424	-0.1302894801	0.0001941425	-0.0293452740
34	1305031230.6319139004	0.1306208372	0.0859673266	0.1306208372	0.0187101135	0.0171280000	203528430	95654128	760807424	-0.1345897913	0.0016701573	-0.0332094990
35	1305031230.6660470963	0.1278492063	0.0871639518	0.1306208372	0.0185313879	0.0172310000	203702242	95654128	760807424	-0.1380501837	0.0068136305	-0.0324265361
36	1305031230.6979451180	0.1268032342	0.0882650430	0.1306208372	0.0184795776	0.0172620000	203875986	95654128	760807424	-0.1426008195	0.0058866399	-0.0309551861
37	1305031230.7336409092	0.1314955205	0.0894334342	0.1314955205	0.0185937460	0.0170820000	204048254	95654128	760807424	-0.1466516256	0.0059997393	-0.0371842161
38	1305031230.7659239769	0.1358238608	0.0906542349	0.1358238608	0.0184795552	0.0170400000	204221866	95654128	760807424	-0.1518225074	0.0048538623	-0.0420680977
39	1305031230.7973229885	0.1391435117	0.0918975497	0.1391435117	0.0184669118	0.0170610000	204395426	95654128	760807424	-0.1571808457	0.0002100230	-0.0449482314
40	1305031230.8317570686	0.1464312822	0.0932608930	0.1464312822	0.0182464034	0.0169320000	204566934	95654128	760807424	-0.1609620005	0.0020825837	-0.0543875955
41	1305031230.8655419350	0.1492566019	0.0946266420	0.1492566019	0.0183587952	0.0199040000	204740506	95654128	760807424	-0.1659925282	0.0002919346	-0.0588519052
42	1305031230.8973939419	0.1511896998	0.0959733815	0.1511896998	0.0184689820	0.0177570000	204912410	95654128	760807424	-0.1693562865	0.0024073240	-0.0621685237
43	1305031230.9373099804	0.1532309502	0.0973049529	0.1532309502	0.0182785016	0.0170030000	205085638	95654128	760807424	-0.1710536033	0.0065454347	-0.0666525736
44	1305031230.9650349617	0.1546134204	0.0986074180	0.1546134204	0.0183631489	0.0168650000	205157650	95654128	760807424	-0.1688311696	0.0088189002	-0.0703753680
45	1305031230.9971239567	0.1564156562	0.0998920456	0.1564156562	0.0182173637	0.0167820000	205260438	95654128	760807424	-0.1676122695	0.0109349526	-0.0732584745
46	1305031231.0367500782	0.1553895473	0.1010985130	0.1564156562	0.0181885900	0.0167400000	205332798	95654128	760807424	-0.1714880764	0.0151934763	-0.0704044402
47	1305031231.0644741058	0.1584108025	0.1023179234	0.1584108025	0.0180236631	0.0166970000	205336118	95654128	760807424	-0.1711482555	0.0153655373	-0.0731832460
48	1305031231.0967879295	0.1591439694	0.1035017994	0.1591439694	0.0179141472	0.0162360000	205337862	95654128	760807424	-0.1675556451	0.0165818334	-0.0743616521
49	1305031231.1347110271	0.1614716053	0.1046848566	0.1614716053	0.0178077898	0.0162120000	205341646	95654128	760807424	-0.1731552333	0.0176532157	-0.0730210245
50	1305031231.1652760506	0.1688900143	0.1059689598	0.1688900143	0.0176924943	0.0163000000	205345134	95654128	760807424	-0.1705169529	0.0158286858	-0.0804391354
51	1305031231.1977710724	0.1694810838	0.1072142955	0.1694810838	0.0176005898	0.0195690000	205346878	95654128	760807424	-0.1642910242	0.0242815334	-0.0811351463
52	1305031231.2344679832	0.1450424343	0.1079417598	0.1694810838	0.0179161749	0.0166650000	205451446	95654128	760807424	-0.1491274685	0.0331286751	-0.0560367554
53	1305031231.2656350136	0.1611842960	0.1089463359	0.1694810838	0.0192514717	0.0169900000	205623226	95654128	760807424	-0.1306501031	0.0320731997	-0.0737917200
54	1305031231.2978610992	0.1715931892	0.1101064628	0.1715931892	0.0197118176	0.0169570000	205796374	95654128	760807424	-0.1238354743	0.0311225746	-0.0819179192
55	1305031231.3351519108	0.1683415174	0.1111652820	0.1715931892	0.0196742287	0.0170910000	205970118	95654128	760807424	-0.1171960533	0.0319621116	-0.0751253441
56	1305031231.3650770187	0.1618041843	0.1120695481	0.1715931892	0.0197155641	0.0170950000	206141954	95654128	760807424	-0.1133913249	0.0304207820	-0.0661230013
57	1305031231.3973300457	0.1591589153	0.1128956774	0.1715931892	0.0197798647	0.0170730000	206214790	95654128	760807424	-0.1092272475	0.0308998022	-0.0611308180
58	1305031231.4368579388	0.1570376754	0.1136567463	0.1715931892	0.0196875142	0.0228620000	206319902	95654128	760807424	-0.1062889770	0.0362195335	-0.0562313758
59	1305031231.4649889469	0.1530068219	0.1143236967	0.1715931892	0.0196057110	0.0178180000	206492306	95654128	760807424	-0.1032403484	0.0372322053	-0.0503164828
60	1305031231.4992439747	0.1498552114	0.1149158886	0.1715931892	0.0195308862	0.0173820000	206666910	95654128	760807424	-0.0993922278	0.0358344428	-0.0456987321
61	1305031231.5331959724	0.1477129161	0.1154535448	0.1715931892	0.0195303353	0.0184230000	206841534	95654128	760807424	-0.0961652249	0.0374407768	-0.0421323553
62	1305031231.5650680065	0.1458637863	0.1159440326	0.1715931892	0.0194582604	0.0180500000	207013842	95654128	760807424	-0.0912100747	0.0394563191	-0.0393129662
63	1305031231.6013169289	0.1414303631	0.1163485775	0.1715931892	0.0193480429	0.0179160000	207188186	95654128	760807424	-0.0895478427	0.0399996787	-0.0337766260
64	1305031231.6331589222	0.1383980215	0.1166931001	0.1715931892	0.0192550283	0.0178480000	207261054	95654128	760807424	-0.0865673795	0.0410190821	-0.0295427553
65	1305031231.6650550365	0.1353158057	0.1169796032	0.1715931892	0.0191719152	0.0180590000	207375786	95654128	760807424	-0.0817468539	0.0424351953	-0.0264183506
66	1305031231.7035079002	0.1329728216	0.1172219247	0.1715931892	0.0191904962	0.0177950000	207455562	95654128	760807424	-0.0797254294	0.0461671129	-0.0231717322
67	1305031231.7339379787	0.1277612746	0.1173792285	0.1715931892	0.0192610857	0.0180620000	207565502	95654128	760807424	-0.0758024976	0.0500042103	-0.0177693479
68	1305031231.7655088902	0.1203122810	0.1174223616	0.1715931892	0.0192392908	0.0179680000	207739798	95654128	760807424	-0.0710581392	0.0542810000	-0.0100752814
