SLAMBench Report run started:	2018-02-18 01:29:51

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_libefusion-cuda_rgbd_dataset_freiburg2_xyz.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-library: build/lib/libefusion-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
confidence: 10
depth: 3
icp: 10
icpErrThresh: 5e-05
covThresh: 1e-05
photoThresh: 115
fernThresh: 0.3095
icpCountThresh: 35000
timeDelta: 200
textureDim: 512
nodeTextureDim: 2048
openLoop: false
reloc: false
fastOdom: false
so3: true
frameToFrameRGB: false
shader-dir: /home/bruno/slambench2/benchmarks/efusion/src/cuda/Core/src/Shaders

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4622900486	0.0582520440	0.0582520440	0.0582520440	-nan	0.0134770000	208245864	95654128	750977024	0.0000000000	0.0000000000	0.0000000000
2	1311867170.4941389561	0.0590390489	0.0586455464	0.0590390489	0.0043609180	0.0401190000	220876758	95654128	760807424	-0.0046225134	-0.0003272689	-0.0017514409
3	1311867170.5264289379	0.0583505332	0.0585472087	0.0590390489	0.0042434848	0.0185880000	220880854	95654128	760807424	-0.0073903231	-0.0000792317	-0.0047243708
4	1311867170.5623490810	0.0573859438	0.0582568925	0.0590390489	0.0051500397	0.0190690000	220882626	95654128	760807424	-0.0073997155	0.0003928485	-0.0070953500
5	1311867170.5942170620	0.0574107245	0.0580876589	0.0590390489	0.0050078938	0.0178430000	220886978	95654128	760807424	-0.0100922957	-0.0012397963	-0.0084009636
6	1311867170.6260869503	0.0560944453	0.0577554566	0.0590390489	0.0047427619	0.0179850000	220889450	95654128	760807424	-0.0110081639	-0.0026097652	-0.0110545186
7	1311867170.6621398926	0.0553384721	0.0574101731	0.0590390489	0.0045572977	0.0180120000	220893090	95654128	760807424	-0.0127517171	-0.0052603381	-0.0126141608
8	1311867170.6942050457	0.0542543195	0.0570156914	0.0590390489	0.0044051995	0.0180030000	220896506	95654128	760807424	-0.0121891703	-0.0054281484	-0.0152042136
9	1311867170.7263879776	0.0546637475	0.0567543643	0.0590390489	0.0042259030	0.0180020000	220899982	95654128	760807424	-0.0151427621	-0.0068467772	-0.0162141081
10	1311867170.7620189190	0.0561912283	0.0566980507	0.0590390489	0.0040629438	0.0180280000	220905222	95654128	760807424	-0.0192913059	-0.0082850400	-0.0167284943
