SLAMBench Report run started:	2018-02-18 01:33:07

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_libinfinitam-cuda_rgbd_dataset_freiburg1_xyz.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-library: build/lib/libinfinitam-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
trackerType: ICP
depthTrackerICPThreshold: 0.01
depthTrackerTerminationThreshold: 0.001
voxelSize: 0.005
viewFrustum_min: 0.2
viewFrustum_max: 3
mu: 0.02
trackingRegime: B,B,R,R,R
noICPRunTillLevel: 0
maxW: 100
useSwapping: false
useBilateralFilter: false
useApproximateRaycast: false
modelSensorNoise: false
skipPoints: true
stopIntegratingAtMaxW: false

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1753039360	0.0253988300	0.0253988300	0.0253988300	-nan	0.0093910000	14758853	955859216	1375797248	-0.0000000000	0.0000000000	-0.0000000000
2	1305031102.2112140656	0.0217163358	0.0235575829	0.0253988300	0.0240789838	0.0073810000	15546581	955859216	1373700096	-0.0023057149	0.0007948892	0.0125143202
3	1305031102.2432110310	0.0218860060	0.0230003906	0.0253988300	0.0192113140	0.0022950000	15549845	955859216	1373700096	-0.0037581150	0.0053050509	0.0258700028
4	1305031102.2753260136	0.0166617353	0.0214157267	0.0253988300	0.0157442527	0.0023860000	15553117	955859216	1373700096	-0.0044980450	0.0041071358	0.0388879888
5	1305031102.3112668991	0.0125742769	0.0196474368	0.0253988300	0.0141415665	0.0023230000	15556485	955859216	1373700096	-0.0033568183	0.0037984839	0.0516050272
6	1305031102.3432331085	0.0089264447	0.0178606048	0.0253988300	0.0148750974	0.0023240000	15560157	955859216	1373700096	-0.0042320332	0.0023710621	0.0636269748
7	1305031102.3753290176	0.0086956630	0.0165513274	0.0253988300	0.0137497420	0.0023030000	15562973	955859216	1373700096	-0.0045832600	0.0031377845	0.0755121559
8	1305031102.4112579823	0.0069271545	0.0153483058	0.0253988300	0.0147506067	0.0023590000	15566013	955859216	1373700096	-0.0065013543	0.0048748152	0.0872660130
9	1305031102.4432709217	0.0075859386	0.0144858205	0.0253988300	0.0167612079	0.0023620000	15569653	955859216	1373700096	-0.0082751131	0.0075846277	0.0996263996
10	1305031102.4753179550	0.0111059658	0.0141478350	0.0253988300	0.0160580584	0.0023530000	15574069	955859216	1373700096	-0.0071273595	0.0112016583	0.1126668677
11	1305031102.5112190247	0.0133451419	0.0140748629	0.0253988300	0.0161431803	0.0024110000	15577053	955859216	1373700096	-0.0073598521	0.0107499277	0.1251652092
12	1305031102.5432200432	0.0163727365	0.0142663524	0.0253988300	0.0153952126	0.0023440000	15579981	955859216	1373700096	-0.0085221631	0.0107870512	0.1370542645
13	1305031102.5752859116	0.0188182127	0.0146164955	0.0253988300	0.0158699950	0.0024200000	15582797	955859216	1373700096	-0.0114270085	0.0102471560	0.1486886144
14	1305031102.6112329960	0.0235384349	0.0152537769	0.0253988300	0.0167556746	0.0023950000	15585781	955859216	1373700096	-0.0129792737	0.0076831831	0.1597722024
15	1305031102.6432650089	0.0261419155	0.0159796528	0.0261419155	0.0169566027	0.0023900000	15588653	955859216	1373700096	-0.0159760453	0.0083227372	0.1706594378
16	1305031102.6752851009	0.0239344519	0.0164768277	0.0261419155	0.0170185796	0.0025200000	15591525	955859216	1373700096	-0.0178937055	0.0152768446	0.1823419333
17	1305031102.7112629414	0.0265338160	0.0170684153	0.0265338160	0.0168165272	0.0023930000	15596045	955859216	1373700096	-0.0183633696	0.0179083869	0.1947547793
18	1305031102.7432339191	0.0301243849	0.0177937469	0.0301243849	0.0164373622	0.0023230000	15602173	955859216	1373700096	-0.0191865619	0.0194330644	0.2075127959
19	1305031102.7754719257	0.0298159830	0.0184264962	0.0301243849	0.0165084732	0.0024500000	15604989	955859216	1373700096	-0.0187065974	0.0254325513	0.2203737944
20	1305031102.8112320900	0.0337635688	0.0191933498	0.0337635688	0.0161384486	0.0023850000	15607973	955859216	1373700096	-0.0199339502	0.0273376796	0.2330060452
21	1305031102.8432900906	0.0353394412	0.0199622113	0.0353394412	0.0157397266	0.0024250000	15610901	955859216	1373700096	-0.0219756309	0.0307089612	0.2455430478
22	1305031102.8753631115	0.0382936560	0.0207954588	0.0382936560	0.0154348373	0.0023730000	15613717	955859216	1373700096	-0.0247269124	0.0325101987	0.2572783828
23	1305031102.9111850262	0.0410960689	0.0216780940	0.0410960689	0.0151319288	0.0023810000	15616701	955859216	1373700096	-0.0272378195	0.0351311527	0.2687973380
24	1305031102.9432289600	0.0426346064	0.0225512820	0.0426346064	0.0152268078	0.0024820000	15619629	955859216	1373700096	-0.0292183235	0.0386338048	0.2801085114
25	1305031102.9752030373	0.0453491658	0.0234631974	0.0453491658	0.0161995855	0.0024250000	15622389	955859216	1373700096	-0.0328847319	0.0411693826	0.2913660109
26	1305031103.0112149715	0.0483099595	0.0244188421	0.0483099595	0.0158870754	0.0023870000	15625429	955859216	1373700096	-0.0335683301	0.0441947356	0.3029507995
27	1305031103.0432269573	0.0512406528	0.0254122425	0.0512406528	0.0155916420	0.0023790000	15628357	955859216	1373700096	-0.0334121957	0.0471130461	0.3143712878
