SLAMBench Report run started:	2018-02-18 10:51:51

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_libkfusion-cpp_living_room_traj1_loop.log
input: datasets/ICL_NUIM/living_room_traj1_loop.slam
load-library: build/lib/libkfusion-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002853	0.0000002853	0.0000002853	-nan	0.7638650000	0.1907540000	0.0280250000	0.0712670000	0.0000030000	0.4737280000	106014494	0	402718720	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0004263568	0.0002133210	0.0004263568	0.0040680543	0.2785290000	0.1768830000	0.0260010000	0.0711450000	0.0000000000	0.0044690000	112903139	0	402718720	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0024013643	0.0009426688	0.0024013643	0.0044545561	0.2660920000	0.1645340000	0.0260220000	0.0710400000	0.0000010000	0.0044640000	112906307	0	402718720	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0017003767	0.0011320958	0.0024013643	0.0049657320	0.7116490000	0.1634980000	0.0260060000	0.0711460000	0.4465170000	0.0044510000	112909483	0	402718720	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0009065330	0.0010869832	0.0024013643	0.0044320641	1.3659170000	0.1637450000	0.2174350000	0.0711110000	0.4475930000	0.4659960000	112912643	0	402718720	4.0000848770	3.9995701313	4.0000095367
6	0.2000000000	0.0008841971	0.0010531855	0.0024013643	0.0040876570	0.4561050000	0.0969180000	0.0666390000	0.0000010000	0.2905970000	0.0019150000	112916219	0	402718720	4.0001263618	3.9984500408	3.9996979237
7	0.2400000000	0.0009241140	0.0010347467	0.0024013643	0.0037765129	0.4978540000	0.0969260000	0.0797130000	0.0330650000	0.2862000000	0.0019130000	112918995	0	402718720	4.0001134872	3.9982912540	3.9996078014
8	0.2800000000	0.0010749133	0.0010397676	0.0024013643	0.0035587599	0.4427180000	0.0948820000	0.0567910000	0.0000010000	0.2890960000	0.0019100000	112921771	0	402718720	4.0004029274	3.9995920658	4.0000352859
9	0.3200000000	0.0010728099	0.0010434389	0.0024013643	0.0033320192	0.7904340000	0.1179610000	0.0601720000	0.0330830000	0.2857380000	0.2934330000	112925315	0	402718720	4.0005893707	3.9996204376	4.0000782013
10	0.3600000000	0.0011573778	0.0010548328	0.0024013643	0.0031521192	0.4439200000	0.0968240000	0.0572640000	0.0000010000	0.2878780000	0.0019110000	112929691	0	402718720	4.0006341934	3.9989976883	3.9999096394
11	0.4000000000	0.0011061265	0.0010594959	0.0024013643	0.0029931261	0.4644080000	0.0969900000	0.0453780000	0.0325770000	0.2875000000	0.0019190000	112932467	0	402718720	4.0004959106	3.9995486736	4.0000967979
12	0.4400000000	0.0010835755	0.0010615025	0.0024013643	0.0028619159	0.4626460000	0.0970090000	0.0762080000	0.0000010000	0.2874840000	0.0019030000	112935243	0	402718720	4.0005831718	4.0002679825	4.0004057884
13	0.4800000000	0.0011524090	0.0010684953	0.0024013643	0.0027522895	0.8414380000	0.1151530000	0.1130110000	0.0330260000	0.2871970000	0.2929970000	112938019	0	402718720	4.0004262924	4.0009288788	4.0007162094
14	0.5200000000	0.0011285453	0.0010727846	0.0024013643	0.0027275566	0.4647390000	0.0969480000	0.0789650000	0.0000000000	0.2868600000	0.0019150000	112940795	0	402718720	4.0006041527	4.0009522438	4.0007972717
15	0.5600000000	0.0011160604	0.0010756697	0.0024013643	0.0027159855	0.4758010000	0.0968300000	0.0572460000	0.0330060000	0.2867510000	0.0019160000	112943571	0	402718720	4.0006380081	4.0009727478	4.0008926392
16	0.6000000000	0.0011508107	0.0010803660	0.0024013643	0.0026447430	0.4324120000	0.0949810000	0.0473010000	0.0000000000	0.2881700000	0.0019060000	112946347	0	402718720	4.0010671616	4.0008988380	4.0008115768
17	0.6400000000	0.0012706750	0.0010915606	0.0024013643	0.0025678550	0.7596640000	0.0971030000	0.0478100000	0.0325260000	0.2880860000	0.2940840000	112950659	0	402718720	4.0009832382	4.0008902550	4.0008578300
18	0.6800000000	0.0013075994	0.0011035628	0.0024013643	0.0025013930	0.4353190000	0.0970370000	0.0478680000	0.0000010000	0.2884440000	0.0019130000	112956635	0	402718720	4.0010814667	4.0001606941	4.0006108284
19	0.7200000000	0.0012388667	0.0011106840	0.0024013643	0.0025390953	0.4868510000	0.0970420000	0.0669040000	0.0329830000	0.2879410000	0.0019230000	112959411	0	402718720	4.0010013580	4.0001626015	4.0005259514
20	0.7600000000	0.0012226361	0.0011162816	0.0024013643	0.0026345972	0.4693180000	0.1203330000	0.0602360000	0.0000010000	0.2867740000	0.0019110000	112962187	0	402718720	4.0007801056	3.9999024868	4.0004496574
21	0.8000000000	0.0013096618	0.0011254902	0.0024013643	0.0027448054	0.7764800000	0.0968890000	0.0669150000	0.0325940000	0.2871140000	0.2929100000	112964963	0	402718720	4.0007944107	3.9998397827	4.0002942085
22	0.8400000000	0.0012807263	0.0011325464	0.0024013643	0.0027257447	0.4411200000	0.0967130000	0.0549670000	0.0000010000	0.2874660000	0.0019140000	112967739	0	402718720	4.0008220673	4.0000262260	4.0004067421
23	0.8800000000	0.0012882811	0.0011393175	0.0024013643	0.0027023151	0.5064680000	0.1173780000	0.0668020000	0.0330340000	0.2872700000	0.0019180000	112970515	0	402718720	4.0005874634	3.9997990131	4.0003347397
24	0.9200000000	0.0013735757	0.0011490782	0.0024013643	0.0026493323	0.4697050000	0.0969020000	0.0834780000	0.0000010000	0.2873590000	0.0019060000	112973291	0	402718720	4.0006728172	4.0000114441	4.0003337860
25	0.9600000000	0.0013914572	0.0011587734	0.0024013643	0.0025959421	0.7581170000	0.0969790000	0.0478890000	0.0330850000	0.2872230000	0.2928760000	112976067	0	402718720	4.0004816055	3.9999401569	4.0003428459
26	1.0000000000	0.0014211355	0.0011688642	0.0024013643	0.0025452400	0.5131990000	0.1095280000	0.1141900000	0.0000010000	0.2874980000	0.0019170000	112978843	0	402718720	4.0006237030	4.0002737045	4.0003814697
27	1.0400000000	0.0015454425	0.0011828116	0.0024013643	0.0025015929	0.4647080000	0.0966250000	0.0454760000	0.0330760000	0.2875460000	0.0019180000	112981619	0	402718720	4.0004606247	4.0003185272	4.0003733635
28	1.0800000000	0.0015383706	0.0011955101	0.0024013643	0.0024755606	0.4521480000	0.1095420000	0.0479200000	0.0000010000	0.2919390000	0.0026730000	112984395	0	402718720	4.0003805161	4.0001549721	4.0004057884
29	1.1200000000	0.0014717150	0.0012050344	0.0024013643	0.0024409811	0.8088070000	0.1238370000	0.0583870000	0.0409080000	0.2923480000	0.2932570000	112987171	0	402718720	4.0000195503	4.0003018379	4.0005135536
30	1.1600000000	0.0015678141	0.0012171271	0.0024013643	0.0024122168	0.4347100000	0.0969560000	0.0479130000	0.0000010000	0.2878450000	0.0019240000	112989947	0	402718720	4.0002760887	4.0008268356	4.0004897118
31	1.2000000000	0.0014954547	0.0012261054	0.0024013643	0.0023901438	0.4870320000	0.0967960000	0.0669580000	0.0330300000	0.2882630000	0.0019160000	112992723	0	402718720	4.0000352859	4.0005130768	4.0004620552
32	1.2400000000	0.0014775471	0.0012339630	0.0024013643	0.0023570551	0.4352080000	0.0969470000	0.0479130000	0.0000000000	0.2883680000	0.0019090000	112995499	0	402718720	3.9997668266	4.0001139641	4.0004191399
33	1.2800000000	0.0015027493	0.0012421080	0.0024013643	0.0023521396	0.7696060000	0.1068120000	0.0478500000	0.0326180000	0.2881640000	0.2940840000	113001347	0	402718720	3.9995870590	4.0002036095	4.0005879402
34	1.3200000000	0.0016297959	0.0012535106	0.0024013643	0.0023408926	0.4352450000	0.0966230000	0.0502660000	0.0000010000	0.2863700000	0.0019090000	113010523	0	402718720	3.9991927147	4.0000429153	4.0006513596
35	1.3600000000	0.0014821411	0.0012600429	0.0024013643	0.0023237440	0.4840090000	0.0968140000	0.0644200000	0.0326250000	0.2881560000	0.0019180000	113013299	0	402718720	3.9987952709	3.9990284443	4.0004086494
36	1.4000000000	0.0015154232	0.0012671368	0.0024013643	0.0022973755	0.5009930000	0.0968990000	0.1139000000	0.0000010000	0.2882050000	0.0019110000	113016075	0	402718720	3.9983813763	3.9989931583	4.0003924370
37	1.4400000000	0.0013920824	0.0012705137	0.0024013643	0.0022660041	0.7837580000	0.0950830000	0.0754960000	0.0328190000	0.2874420000	0.2928370000	113018851	0	402718720	3.9980838299	3.9994890690	4.0005960464
38	1.4800000000	0.0013111165	0.0012715822	0.0024013643	0.0022351888	0.4532160000	0.0972690000	0.0668720000	0.0000010000	0.2870860000	0.0019060000	113021627	0	402718720	3.9977543354	3.9989535809	4.0006341934
39	1.5200000000	0.0012521170	0.0012710831	0.0024013643	0.0022163013	0.5324480000	0.1096560000	0.0772460000	0.0409270000	0.3018530000	0.0026740000	113024403	0	402718720	3.9970295429	3.9974632263	4.0002694130
40	1.5600000000	0.0011238497	0.0012674022	0.0024013643	0.0022928654	0.4747680000	0.1247590000	0.0573970000	0.0000010000	0.2906210000	0.0019040000	113027179	0	402718720	3.9966287613	3.9978201389	4.0006833076
41	1.6000000000	0.0011376519	0.0012642376	0.0024013643	0.0024313440	0.8227940000	0.1253160000	0.0836180000	0.0325600000	0.2876790000	0.2935260000	113029955	0	402718720	3.9962599277	3.9990513325	4.0014185905
42	1.6400000000	0.0011786101	0.0012621988	0.0024013643	0.0025060144	0.4618890000	0.0980620000	0.0743570000	0.0000000000	0.2874730000	0.0019050000	113032731	0	402718720	3.9956030846	3.9988551140	4.0017685890
