SLAMBench Report run started:	2018-02-18 11:24:52

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_libkfusion-cpp_rgbd_dataset_freiburg1_rpy.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_rpy.slam
load-library: build/lib/libkfusion-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031229.5287840366	0.0606188253	0.0606188253	0.0606188253	-nan	0.7549850000	0.1198240000	0.0216900000	0.0612900000	0.0000020000	0.5519660000	106585814	0	402718720	4.0000000000	4.0000000000	4.0000000000
2	1305031229.5644419193	0.0642096773	0.0624142513	0.0642096773	0.1658525169	0.2058420000	0.1212380000	0.0197630000	0.0612150000	0.0000000000	0.0035690000	114065147	0	402718720	4.0000000000	4.0000000000	4.0000000000
3	1305031229.5966169834	0.0662607327	0.0636964117	0.0662607327	0.1252029927	0.2165350000	0.1315220000	0.0195430000	0.0618620000	0.0000010000	0.0035490000	114069211	0	402718720	4.0000000000	4.0000000000	4.0000000000
4	1305031229.6287899017	0.0688454211	0.0649836641	0.0688454211	0.1129913759	0.7496720000	0.1401780000	0.0199670000	0.0612500000	0.5245260000	0.0036790000	114073227	0	402718720	4.0000000000	4.0000000000	4.0000000000
5	1305031229.6646571159	0.0659985021	0.0651866317	0.0688454211	0.1146822455	1.3221540000	0.1226650000	0.1624140000	0.0624320000	0.4775560000	0.4970230000	114077339	0	402718720	3.9731428623	4.0052924156	4.0138831139
6	1305031229.6968429089	0.0563633256	0.0637160807	0.0688454211	0.1026612804	0.4846420000	0.0744060000	0.0798780000	0.0000000000	0.3285560000	0.0017400000	114081867	0	402718720	3.9885785580	3.9999742508	4.0209751129
7	1305031229.7290771008	0.0504621193	0.0618226576	0.0688454211	0.0944322097	0.4776670000	0.0747200000	0.0805500000	0.0305580000	0.2900240000	0.0017530000	114085483	0	402718720	3.9916830063	4.0025734901	4.0272126198
8	1305031229.7648689747	0.0483604819	0.0601398856	0.0688454211	0.0875845650	0.4243740000	0.0755630000	0.0484050000	0.0000000000	0.2985910000	0.0017520000	114089267	0	402718720	3.9982976913	3.9969143867	4.0331096649
9	1305031229.7969229221	0.0485941134	0.0588570221	0.0688454211	0.0820243503	0.7288580000	0.1173810000	0.0481980000	0.0307710000	0.2590420000	0.2733890000	114093707	0	402718720	3.9983580112	3.9944632053	4.0363550186
10	1305031229.8256299496	0.0431735180	0.0572886717	0.0688454211	0.0773873784	0.4212780000	0.0950080000	0.0532160000	0.0000010000	0.2711200000	0.0018520000	114098867	0	402718720	4.0013957024	3.9980599880	4.0419950485
11	1305031229.8630619049	0.0423474684	0.0559303805	0.0688454211	0.0737733488	0.4326570000	0.0786680000	0.0840490000	0.0308680000	0.2372300000	0.0017720000	114102763	0	402718720	4.0051603317	3.9987072945	4.0450425148
12	1305031229.8969380856	0.0430173129	0.0548542915	0.0688454211	0.0708072783	0.3899320000	0.0780610000	0.0596570000	0.0000000000	0.2503640000	0.0017760000	114106435	0	402718720	4.0110363960	4.0005564690	4.0481514931
13	1305031229.9262549877	0.0434668511	0.0539783345	0.0688454211	0.0678480058	0.6699250000	0.0799720000	0.0871640000	0.0314180000	0.2262840000	0.2450110000	114110051	0	402718720	4.0163755417	4.0022850037	4.0533413887
14	1305031229.9662408829	0.0455426462	0.0533757854	0.0688454211	0.0652222451	0.4077710000	0.0780870000	0.0782430000	0.0000000000	0.2495930000	0.0017720000	114113947	0	402718720	4.0200061798	4.0031862259	4.0585093498
15	1305031229.9979310036	0.0476508923	0.0529941258	0.0688454211	0.0632082101	0.3758650000	0.0795960000	0.0452210000	0.0316790000	0.2175260000	0.0017670000	114117563	0	402718720	4.0225749016	4.0032062531	4.0627470016
