SLAMBench Report run started:	2018-02-18 11:30:52

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_libkfusion-cpp_rgbd_dataset_freiburg1_xyz.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-library: build/lib/libkfusion-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1753039360	0.0253987648	0.0253987648	0.0253987648	-nan	0.7965740000	0.1260610000	0.0222550000	0.0619560000	0.0000020000	0.5859710000	106610750	0	402718720	4.0000000000	4.0000000000	4.0000000000
2	1305031102.2112140656	0.0277590584	0.0265789116	0.0277590584	0.0329535045	0.2130840000	0.1262950000	0.0202650000	0.0626960000	0.0000000000	0.0037700000	114090227	0	402718720	4.0000000000	4.0000000000	4.0000000000
3	1305031102.2432110310	0.0337214470	0.0289597567	0.0337214470	0.0304149093	0.2154390000	0.1276420000	0.0212350000	0.0625820000	0.0000000000	0.0039160000	114094291	0	402718720	4.0000000000	4.0000000000	4.0000000000
4	1305031102.2753260136	0.0413634107	0.0320606702	0.0413634107	0.0283056841	0.7000910000	0.1271740000	0.0203610000	0.0617970000	0.4869540000	0.0037440000	114098363	0	402718720	4.0000000000	4.0000000000	4.0000000000
5	1305031102.3112668991	0.0195332766	0.0295551915	0.0413634107	0.0301329753	1.2286290000	0.1276840000	0.1064020000	0.0614070000	0.4583750000	0.4746980000	114102531	0	402718720	3.9956066608	3.9985215664	4.0339016914
6	1305031102.3432331085	0.0165448003	0.0273867929	0.0413634107	0.0279478731	0.4477420000	0.0744640000	0.0741980000	0.0000010000	0.2971540000	0.0018530000	114107003	0	402718720	3.9933164120	3.9975044727	4.0460615158
7	1305031102.3753290176	0.0143036284	0.0255177694	0.0413634107	0.0256299680	0.4464960000	0.0740860000	0.0595880000	0.0302830000	0.2807220000	0.0017510000	114110619	0	402718720	3.9915566444	3.9987485409	4.0578479767
8	1305031102.4112579823	0.0161067452	0.0243413914	0.0413634107	0.0248946716	0.3914280000	0.0736580000	0.0423330000	0.0000010000	0.2736240000	0.0017460000	114114459	0	402718720	3.9903655052	4.0006780624	4.0697340965
9	1305031102.4432709217	0.0140145542	0.0231939650	0.0413634107	0.0252534511	0.7007440000	0.0974210000	0.0496890000	0.0297470000	0.2560050000	0.2677990000	114118899	0	402718720	3.9873249531	4.0034270287	4.0821075439
10	1305031102.4753179550	0.0116283912	0.0220374077	0.0413634107	0.0240293084	0.4263950000	0.0961160000	0.0671040000	0.0000000000	0.2607200000	0.0023760000	114124115	0	402718720	3.9876616001	4.0076684952	4.0952634811
