SLAMBench Report run started:	2018-02-18 01:22:41

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_libkfusion-cuda_living_room_traj2_loop.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-library: build/lib/libkfusion-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	-nan	0.0033090000	0.0004690000	0.0005300000	0.0000060000	0.0000010000	0.0022340000	12532445	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.0016670000	0.0004280000	0.0005150000	0.0000040000	0.0000000000	0.0007030000	12732189	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.0016580000	0.0004250000	0.0005170000	0.0000040000	0.0000010000	0.0006940000	12735357	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.0022980000	0.0004250000	0.0005140000	0.0000030000	0.0000050000	0.0013310000	12738533	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0021276867	0.0024566393	0.0055015511	0.0048987302	0.0055110000	0.0004250000	0.0029650000	0.0000040000	0.0000030000	0.0020920000	12741693	96830484	509673472	3.9957129955	4.0020370483	4.0009112358
6	0.2000000000	0.0021193668	0.0024004272	0.0055015511	0.0043897879	0.0042190000	0.0004250000	0.0026810000	0.0000000000	0.0000040000	0.0010870000	12745269	96830484	509673472	3.9965579510	4.0017552376	4.0000634193
7	0.2400000000	0.0020520808	0.0023506635	0.0055015511	0.0040162830	0.0039630000	0.0004230000	0.0021390000	0.0000030000	0.0000030000	0.0013720000	12748045	96830484	509673472	3.9963893890	4.0014748573	4.0003581047
8	0.2800000000	0.0021309818	0.0023232032	0.0055015511	0.0037226256	0.0038220000	0.0004240000	0.0022750000	0.0000010000	0.0000030000	0.0010960000	12750821	96830484	509673472	3.9949610233	4.0019330978	4.0002708435
9	0.3200000000	0.0021698186	0.0023061605	0.0055015511	0.0035285755	0.0046980000	0.0004230000	0.0021340000	0.0000030000	0.0000020000	0.0021070000	12754365	96830484	509673472	3.9930253029	4.0012869835	4.0003128052
10	0.3600000000	0.0022089549	0.0022964399	0.0055015511	0.0033889312	0.0036900000	0.0004250000	0.0021400000	0.0000010000	0.0000030000	0.0010950000	12758741	96830484	509673472	3.9929094315	4.0026316643	4.0009026527
11	0.4000000000	0.0022601751	0.0022931431	0.0055015511	0.0033576804	0.0043820000	0.0004260000	0.0025450000	0.0000030000	0.0000030000	0.0013760000	12761517	96830484	509673472	3.9919466972	4.0017867088	4.0016007423
12	0.4400000000	0.0022672073	0.0022909818	0.0055015511	0.0034304144	0.0036800000	0.0004230000	0.0021410000	0.0000000000	0.0000030000	0.0010840000	12764293	96830484	509673472	3.9918613434	4.0017361641	4.0008234978
13	0.4800000000	0.0022819978	0.0022902907	0.0055015511	0.0034359352	0.0046970000	0.0004240000	0.0021470000	0.0000040000	0.0000030000	0.0020890000	12767069	96830484	509673472	3.9894280434	4.0015416145	4.0013961792
14	0.5200000000	0.0023268927	0.0022929052	0.0055015511	0.0033242452	0.0065710000	0.0004230000	0.0050250000	0.0000000000	0.0000030000	0.0010890000	12769845	96830484	509673472	3.9894309044	4.0028085709	4.0008172989
15	0.5600000000	0.0023079070	0.0022939053	0.0055015511	0.0032120938	0.0042450000	0.0004230000	0.0024190000	0.0000030000	0.0000030000	0.0013630000	12772621	96830484	509673472	3.9863359928	4.0038881302	4.0015878677
16	0.6000000000	0.0023973526	0.0023003707	0.0055015511	0.0031278743	0.0046470000	0.0004270000	0.0031030000	0.0000000000	0.0000040000	0.0010810000	12775397	96830484	509673472	3.9871206284	4.0023245811	4.0005326271
17	0.6400000000	0.0024036658	0.0023064469	0.0055015511	0.0030498162	0.0049810000	0.0004220000	0.0024290000	0.0000030000	0.0000020000	0.0020890000	12779709	96830484	509673472	3.9851038456	4.0008935928	3.9991035461
18	0.6800000000	0.0024461173	0.0023142064	0.0055015511	0.0029599922	0.0042260000	0.0004230000	0.0026880000	0.0000000000	0.0000030000	0.0010760000	12785685	96830484	509673472	3.9835441113	4.0011601448	4.0000782013
19	0.7200000000	0.0024378977	0.0023207165	0.0055015511	0.0029192022	0.0042580000	0.0004240000	0.0024190000	0.0000030000	0.0000020000	0.0013720000	12788461	96830484	509673472	3.9820592403	4.0014061928	3.9996428490
20	0.7600000000	0.0025582798	0.0023325946	0.0055015511	0.0029371945	0.0041120000	0.0004220000	0.0025750000	0.0000010000	0.0000030000	0.0010750000	12791237	96830484	509673472	3.9790954590	4.0002269745	3.9993181229
21	0.8000000000	0.0026400634	0.0023472360	0.0055015511	0.0028722664	0.0051290000	0.0004250000	0.0025710000	0.0000030000	0.0000030000	0.0020870000	12794013	96830484	509673472	3.9762642384	4.0010976791	3.9996490479
22	0.8400000000	0.0029139980	0.0023729979	0.0055015511	0.0028126401	0.0037070000	0.0004220000	0.0021580000	0.0000000000	0.0000040000	0.0010850000	12796789	96830484	509673472	3.9707870483	4.0004653931	3.9992003441
23	0.8800000000	0.0029073921	0.0023962324	0.0055015511	0.0027480098	0.0045460000	0.0004250000	0.0027030000	0.0000030000	0.0000030000	0.0013690000	12799565	96830484	509673472	3.9713716507	3.9995737076	3.9975576401
24	0.9200000000	0.0028074081	0.0024133648	0.0055015511	0.0026877869	0.0041160000	0.0004240000	0.0025580000	0.0000000000	0.0000030000	0.0010890000	12802341	96830484	509673472	3.9628982544	4.0010151863	3.9969213009
25	0.9600000000	0.0027890853	0.0024283936	0.0055015511	0.0026594899	0.0047230000	0.0004250000	0.0021480000	0.0000030000	0.0000030000	0.0021020000	12805117	96830484	509673472	3.9617063999	4.0022802353	3.9961562157
26	1.0000000000	0.0028312423	0.0024438878	0.0055015511	0.0026071527	0.0041070000	0.0004250000	0.0025500000	0.0000010000	0.0000030000	0.0010850000	12807893	96830484	509673472	3.9554359913	4.0008039474	3.9970479012
27	1.0400000000	0.0026908601	0.0024530349	0.0055015511	0.0026328908	0.0043780000	0.0004240000	0.0025400000	0.0000030000	0.0000030000	0.0013640000	12810669	96830484	509673472	3.9496476650	4.0000371933	3.9948542118
28	1.0800000000	0.0027713049	0.0024644017	0.0055015511	0.0027076861	0.0041250000	0.0004270000	0.0025560000	0.0000000000	0.0000030000	0.0010940000	12813445	96830484	509673472	3.9448781013	4.0019001961	3.9945559502
29	1.1200000000	0.0027278329	0.0024734855	0.0055015511	0.0027861364	0.0053960000	0.0004230000	0.0028220000	0.0000030000	0.0000030000	0.0020970000	12816221	96830484	509673472	3.9388289452	4.0020222664	3.9917790890
30	1.1600000000	0.0030030743	0.0024911385	0.0055015511	0.0027896121	0.0041130000	0.0004250000	0.0025570000	0.0000010000	0.0000040000	0.0010790000	12818997	96830484	509673472	3.9293975830	4.0014457703	3.9938297272
31	1.2000000000	0.0029134697	0.0025047620	0.0055015511	0.0027658133	0.0048050000	0.0004240000	0.0029680000	0.0000030000	0.0000030000	0.0013580000	12821773	96830484	509673472	3.9228034019	4.0022144318	3.9920370579
32	1.2400000000	0.0029502921	0.0025186849	0.0055015511	0.0027655082	0.0041050000	0.0004250000	0.0025490000	0.0000000000	0.0000030000	0.0010780000	12824549	96830484	509673472	3.9160883427	4.0025353432	3.9897420406
