SLAMBench Report run started:	2018-02-18 01:23:14

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_libkfusion-cuda_rgbd_dataset_freiburg1_xyz.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-library: build/lib/libkfusion-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1753039360	0.0253987648	0.0253987648	0.0253987648	-nan	0.0032440000	0.0004030000	0.0004830000	0.0000050000	0.0000010000	0.0021610000	13136893	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
2	1305031102.2112140656	0.0277590584	0.0265789116	0.0277590584	0.0329535045	0.0015380000	0.0003570000	0.0004740000	0.0000030000	0.0000010000	0.0006680000	13927469	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
3	1305031102.2432110310	0.0337214470	0.0289597567	0.0337214470	0.0304149093	0.0015650000	0.0003600000	0.0004740000	0.0000040000	0.0000000000	0.0006780000	13931533	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
4	1305031102.2753260136	0.0413634107	0.0320606702	0.0413634107	0.0283056841	0.0020780000	0.0003570000	0.0004730000	0.0000030000	0.0000050000	0.0011920000	13935605	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
5	1305031102.3112668991	0.0195331685	0.0295551699	0.0413634107	0.0301324792	0.0050900000	0.0003590000	0.0028630000	0.0000030000	0.0000030000	0.0018110000	13939773	96830484	509673472	3.9956095219	3.9985203743	4.0339021683
6	1305031102.3432331085	0.0165484399	0.0273873815	0.0413634107	0.0279491838	0.0039190000	0.0003590000	0.0025050000	0.0000010000	0.0000040000	0.0009980000	13944245	96830484	509673472	3.9933295250	3.9974973202	4.0460605621
7	1305031102.3753290176	0.0143032754	0.0255182235	0.0413634107	0.0256321107	0.0051120000	0.0005400000	0.0025490000	0.0000150000	0.0000130000	0.0017590000	13947861	96830484	509673472	3.9915521145	3.9987490177	4.0578470230
8	1305031102.4112579823	0.0161144640	0.0243427536	0.0413634107	0.0248949774	0.0048600000	0.0005410000	0.0025350000	0.0000020000	0.0000150000	0.0015290000	13951701	96830484	509673472	3.9903874397	4.0006742477	4.0697317123
9	1305031102.4432709217	0.0140173724	0.0231954890	0.0413634107	0.0252536670	0.0061580000	0.0005190000	0.0029150000	0.0000140000	0.0000130000	0.0024490000	13956141	96830484	509673472	3.9873261452	4.0034246445	4.0821051598
10	1305031102.4753179550	0.0116291679	0.0220388569	0.0413634107	0.0240298461	0.0048530000	0.0005200000	0.0025650000	0.0000020000	0.0000150000	0.0015030000	13961357	96830484	509673472	3.9876585007	4.0076665878	4.0952625275
11	1305031102.5112190247	0.0164511818	0.0215308864	0.0413634107	0.0234071341	0.0057120000	0.0005250000	0.0032250000	0.0000150000	0.0000130000	0.0016840000	13965141	96830484	509673472	3.9873974323	4.0066890717	4.1077733040
12	1305031102.5432200432	0.0179960988	0.0212363208	0.0413634107	0.0223192078	0.0061550000	0.0005270000	0.0035980000	0.0000020000	0.0000140000	0.0017430000	13968869	96830484	509673472	3.9864895344	4.0065875053	4.1198072433
13	1305031102.5752859116	0.0202837195	0.0211630438	0.0413634107	0.0221571619	0.0077040000	0.0006020000	0.0046610000	0.0000150000	0.0000140000	0.0022190000	13972485	96830484	509673472	3.9834952354	4.0057687759	4.1314301491
14	1305031102.6112329960	0.0283714719	0.0216779315	0.0413634107	0.0226168808	0.0044780000	0.0004530000	0.0029900000	0.0000010000	0.0000060000	0.0009150000	13976269	96830484	509673472	3.9842815399	4.0026235580	4.1424007416
15	1305031102.6432650089	0.0308774840	0.0222912350	0.0413634107	0.0225186248	0.0046020000	0.0003970000	0.0029530000	0.0000070000	0.0000050000	0.0011260000	13979941	96830484	509673472	3.9798064232	4.0030684471	4.1535334587
16	1305031102.6752851009	0.0282426793	0.0226632003	0.0413634107	0.0223311391	0.0040370000	0.0003960000	0.0026270000	0.0000010000	0.0000060000	0.0008910000	13983613	96830484	509673472	3.9764451981	4.0097107887	4.1653304100
17	1305031102.7112629414	0.0316483639	0.0231917393	0.0413634107	0.0218740086	0.0064230000	0.0003920000	0.0043290000	0.0000060000	0.0000060000	0.0015700000	13988933	96830484	509673472	3.9767310619	4.0127487183	4.1776719093
18	1305031102.7432339191	0.0347460806	0.0238336472	0.0413634107	0.0212920904	0.0054510000	0.0005270000	0.0032710000	0.0000020000	0.0000150000	0.0013400000	13995861	96830484	509673472	3.9764158726	4.0140295029	4.1902990341
19	1305031102.7754719257	0.0331624523	0.0243246369	0.0413634107	0.0211175882	0.0053490000	0.0005310000	0.0029390000	0.0000140000	0.0000130000	0.0015520000	13999477	96830484	509673472	3.9771006107	4.0198845863	4.2032289505
20	1305031102.8112320900	0.0379258320	0.0250046967	0.0413634107	0.0206050021	0.0055020000	0.0005280000	0.0032970000	0.0000020000	0.0000150000	0.0013540000	14003261	96830484	509673472	3.9762506485	4.0221452713	4.2156362534
21	1305031102.8432900906	0.0389914475	0.0256707324	0.0413634107	0.0201104210	0.0076520000	0.0005250000	0.0047580000	0.0000150000	0.0000120000	0.0020270000	14006989	96830484	509673472	3.9772071838	4.0255956650	4.2280068398
22	1305031102.8753631115	0.0411741994	0.0263754355	0.0413634107	0.0196935103	0.0051430000	0.0005220000	0.0033120000	0.0000010000	0.0000140000	0.0010760000	14010605	96830484	509673472	3.9740698338	4.0273656845	4.2397809029
