SLAMBench Report run started:	2018-02-18 01:23:25

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_libkfusion-cuda_rgbd_dataset_freiburg2_rpy.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_rpy.slam
load-library: build/lib/libkfusion-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867718.6419320107	0.0019025257	0.0019025257	0.0019025257	-nan	0.0239450000	0.0006340000	0.0005730000	0.0000210000	0.0000040000	0.0061850000	21824421	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
2	1311867718.6768438816	0.0021839470	0.0020432363	0.0021839470	0.0015734395	0.0040450000	0.0006270000	0.0005360000	0.0000150000	0.0000010000	0.0011130000	34411421	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
3	1311867718.7114279270	0.0026191149	0.0022351959	0.0026191149	0.0052681691	0.0039610000	0.0006060000	0.0005350000	0.0000150000	0.0000020000	0.0011070000	34415541	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
4	1311867718.7410299778	0.0032201277	0.0024814288	0.0032201277	0.0047920539	0.0045220000	0.0005500000	0.0005330000	0.0000150000	0.0000230000	0.0016810000	34419501	96830484	509673472	4.0000000000	4.0000000000	4.0000000000
5	1311867718.7767970562	0.0102640521	0.0040379535	0.0102640521	0.0093924092	0.0091930000	0.0005360000	0.0047130000	0.0000140000	0.0000130000	0.0026680000	34423669	96830484	509673472	3.9892036915	3.9964058399	4.0032463074
6	1311867718.8094089031	0.0111330729	0.0052204734	0.0111330729	0.0088679123	0.0064380000	0.0004300000	0.0043420000	0.0000010000	0.0000060000	0.0011390000	34428141	96830484	509673472	3.9877474308	3.9977481365	4.0040683746
7	1311867718.8408079147	0.0115129286	0.0061193956	0.0115129286	0.0081087129	0.0063980000	0.0003910000	0.0042560000	0.0000050000	0.0000040000	0.0013550000	34431757	96830484	509673472	3.9869339466	3.9982511997	4.0042514801
8	1311867718.8767778873	0.0151306605	0.0072458037	0.0151306605	0.0077076935	0.0054520000	0.0004670000	0.0030800000	0.0000010000	0.0000100000	0.0012470000	34435541	96830484	509673472	3.9833197594	3.9974725246	4.0047254562
9	1311867718.9088680744	0.0145872217	0.0080615168	0.0151306605	0.0072408222	0.0074170000	0.0004190000	0.0043360000	0.0000060000	0.0000050000	0.0020210000	34439925	96830484	509673472	3.9835488796	3.9977269173	4.0048484802
10	1311867718.9438331127	0.0158416685	0.0088395320	0.0158416685	0.0068818651	0.0063000000	0.0003890000	0.0042360000	0.0000010000	0.0000050000	0.0011190000	34445309	96830484	509673472	3.9821686745	3.9979343414	4.0057206154
11	1311867718.9784109592	0.0144145880	0.0093463552	0.0158416685	0.0067668751	0.0064360000	0.0003810000	0.0042140000	0.0000040000	0.0000030000	0.0013240000	34449093	96830484	509673472	3.9839327335	3.9964644909	4.0056333542
12	1311867719.0091300011	0.0181296188	0.0100782939	0.0181296188	0.0067807369	0.0086880000	0.0005730000	0.0047550000	0.0000020000	0.0000150000	0.0016270000	34452653	96830484	509673472	3.9798796177	3.9964570999	4.0066032410
13	1311867719.0441620350	0.0167917646	0.0105947147	0.0181296188	0.0065079542	0.0076210000	0.0004390000	0.0043750000	0.0000060000	0.0000060000	0.0020550000	34456437	96830484	509673472	3.9810132980	3.9964690208	4.0068116188
14	1311867719.0776190758	0.0181280579	0.0111328106	0.0181296188	0.0063151812	0.0062630000	0.0004010000	0.0042620000	0.0000000000	0.0000050000	0.0010940000	34460165	96830484	509673472	3.9797351360	3.9957485199	4.0073614120
