SLAMBench Report run started:	2018-02-18 10:16:00

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_liblsdslam-cpp_living_room_traj0_loop.log
input: datasets/ICL_NUIM/living_room_traj0_loop.slam
load-library: build/lib/liblsdslam-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
camera-path: 
package-path: lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-nan	0.0051490000	86986196	0	402718720	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0090761073	0.0045380536	0.0090761073	0.0108709261	0.0257170000	103538857	0	402718720	0.0021791174	0.0018214645	0.0004411704
3	0.0800000000	0.0103211887	0.0064657653	0.0103211887	0.0113080456	0.0189910000	106810769	0	402718720	0.0059174011	-0.0071328436	0.0010008662
4	0.1200000000	0.0048878756	0.0060712929	0.0103211887	0.0112128200	0.0181150000	106813417	0	402718720	0.0048612426	-0.0070005618	0.0010327058
5	0.1600000000	0.0032245086	0.0055019361	0.0103211887	0.0105501973	0.0175710000	106816081	0	402718720	0.0006014459	-0.0013379942	0.0005574760
6	0.2000000000	0.0094174864	0.0061545278	0.0103211887	0.0096519669	0.0167970000	106819129	0	402718720	0.0015716671	-0.0006602437	0.0007672103
7	0.2400000000	0.0100641586	0.0067130465	0.0103211887	0.0088826377	0.0154390000	106821377	0	402718720	0.0016557914	-0.0002924298	0.0006700487
8	0.2800000000	0.0069222571	0.0067391978	0.0103211887	0.0084511798	0.0160830000	106823625	0	402718720	0.0009001076	-0.0005924877	0.0006828007
9	0.3200000000	0.0075042327	0.0068242017	0.0103211887	0.0079463376	0.0158180000	106826705	0	402718720	0.0011385574	-0.0000332233	0.0006531931
10	0.3600000000	0.0088657802	0.0070283595	0.0103211887	0.0075323970	0.0153130000	106830553	0	402718720	0.0016033956	-0.0001645716	0.0008678159
11	0.4000000000	0.0085398350	0.0071657664	0.0103211887	0.0071606491	0.0224060000	106832801	0	402718720	0.0020945438	-0.0009851144	0.0009023340
12	0.4400000000	0.0071468074	0.0071641865	0.0103211887	0.0068788419	0.0292300000	106835049	0	402718720	0.0021323934	-0.0019730923	0.0003361021
13	0.4800000000	0.0069915461	0.0071509064	0.0103211887	0.0067589240	0.0244030000	106837297	0	402718720	0.0014652659	-0.0006900396	0.0005437252
14	0.5200000000	0.0063366094	0.0070927424	0.0103211887	0.0065940851	0.0172240000	106839545	0	402718720	0.0014001307	-0.0004686379	0.0004216829
15	0.5600000000	0.0058464846	0.0070096585	0.0103211887	0.0063686321	0.0174690000	106841793	0	402718720	0.0014998523	-0.0004094870	0.0003048269
16	0.6000000000	0.0063125961	0.0069660921	0.0103211887	0.0061584865	0.0168100000	106844041	0	402718720	0.0016335065	-0.0000963954	0.0002616511
17	0.6400000000	0.0049413196	0.0068469878	0.0103211887	0.0059803881	0.0168020000	106847953	0	402718720	0.0013247451	-0.0008822971	0.0000742717
18	0.6800000000	0.0040652994	0.0066924496	0.0103211887	0.0058586153	0.0163820000	106853401	0	402718720	0.0008679936	-0.0015124173	0.0000108540
19	0.7200000000	0.0064174556	0.0066779762	0.0103211887	0.0061606346	0.0187030000	106855649	0	402718720	-0.0005954048	-0.0061624143	0.0008409359
20	0.7600000000	0.0099731805	0.0068427364	0.0103211887	0.0061111837	0.0194790000	106857897	0	402718720	-0.0029005758	-0.0083624162	0.0013820176
21	0.8000000000	0.0114343548	0.0070613849	0.0114343548	0.0060206685	0.0189240000	106860145	0	402718720	-0.0044242679	-0.0094639929	0.0016149521
22	0.8400000000	0.0079693776	0.0071026573	0.0114343548	0.0060157946	0.0184080000	106862393	0	402718720	-0.0021216504	-0.0073527349	0.0010652001
23	0.8800000000	0.0049629519	0.0070096267	0.0114343548	0.0061122361	0.0203950000	106864641	0	402718720	0.0000876460	-0.0036846281	0.0004616799
24	0.9200000000	0.0056977822	0.0069549665	0.0114343548	0.0060644880	0.0170600000	106866889	0	402718720	0.0011139771	-0.0007524509	0.0001194901
25	0.9600000000	0.0068465173	0.0069506285	0.0114343548	0.0059501705	0.0180110000	106869137	0	402718720	0.0009097299	-0.0007820157	0.0003513246
26	1.0000000000	0.0070996378	0.0069563596	0.0114343548	0.0058340518	0.0164070000	106871385	0	402718720	0.0002967512	-0.0010704736	0.0002656909
