SLAMBench Report run started:	2018-02-18 10:18:29

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_liblsdslam-cpp_rgbd_dataset_freiburg1_rpy.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_rpy.slam
load-library: build/lib/liblsdslam-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
camera-path: 
package-path: lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031229.5287480354	0.0606188439	0.0606188439	0.0606188439	-nan	0.0056280000	87406972	0	402718720	0.0000000000	0.0000000000	0.0000000000
2	1305031229.5644249916	0.0584248155	0.0595218297	0.0606188439	0.0380232558	0.0403390000	104353745	0	402718720	-0.0139900176	0.0028781511	0.0103880437
3	1305031229.5966000557	0.0752182528	0.0647539708	0.0752182528	0.0396648546	0.0391560000	107626553	0	402718720	-0.0274761934	-0.0215268061	0.0118602691
4	1305031229.6287529469	0.0634180382	0.0644199876	0.0752182528	0.0354669120	0.0360140000	107630041	0	402718720	-0.0128795030	0.0008030242	0.0091515575
5	1305031229.6646571159	0.0764097944	0.0668179490	0.0764097944	0.0337572874	0.0272410000	107633713	0	402718720	-0.0370338447	-0.0169226862	0.0191256125
6	1305031229.6968269348	0.0754901692	0.0682633190	0.0764097944	0.0302522567	0.0295220000	107637657	0	402718720	-0.0354010500	-0.0152470591	0.0189952180
7	1305031229.7290639877	0.0667777434	0.0680510939	0.0764097944	0.0294226463	0.0306300000	107640745	0	402718720	-0.0221805349	-0.0060968576	0.0176796578
8	1305031229.7648479939	0.0780076012	0.0692956573	0.0780076012	0.0287834270	0.0453240000	119984033	0	402718720	-0.0384170860	-0.0167276673	0.0202743374
9	1305031229.7969090939	0.0740306228	0.0698217646	0.0780076012	0.0273369309	0.0335660000	123647617	0	402718720	-0.0337364338	-0.0149254035	0.0220656097
10	1305031229.8256130219	0.0726564750	0.0701052357	0.0780076012	0.0271658917	0.0374490000	126844441	0	402718720	-0.0290202629	-0.0124114444	0.0198791493
11	1305031229.8630549908	0.0757242292	0.0706160532	0.0780076012	0.0259887531	0.0352990000	126847809	0	402718720	-0.0436535031	-0.0101156356	0.0233191997
