SLAMBench Report run started:	2018-02-18 10:18:40

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_liblsdslam-cpp_rgbd_dataset_freiburg1_xyz.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-library: build/lib/liblsdslam-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
camera-path: 
package-path: lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1753039360	0.0253988300	0.0253988300	0.0253988300	-nan	0.0057470000	87431964	0	402718720	0.0000000000	0.0000000000	0.0000000000
2	1305031102.2112140656	0.0280407500	0.0267197900	0.0280407500	0.0123610180	0.0638000000	104378801	0	402718720	-0.0006102596	0.0053527658	0.0072599053
3	1305031102.2432110310	0.0359877497	0.0298091099	0.0359877497	0.0133848368	0.0551250000	107651609	0	402718720	0.0004194458	0.0173057411	0.0178164560
4	1305031102.2753260136	0.0412028506	0.0326575451	0.0412028506	0.0132651174	0.0476670000	107655153	0	402718720	0.0000211365	0.0268275179	0.0280553307
5	1305031102.3112668991	0.0443283506	0.0349917062	0.0443283506	0.0117977273	0.0484510000	107658825	0	402718720	0.0009406107	0.0341121070	0.0394172221
6	1305031102.3432331085	0.0495279804	0.0374144185	0.0495279804	0.0105761117	0.0498150000	107662769	0	402718720	0.0022915448	0.0422457419	0.0488537997
7	1305031102.3753290176	0.0540746115	0.0397944461	0.0540746115	0.0105411838	0.0510900000	107665857	0	402718720	0.0059230397	0.0496612079	0.0601497181
8	1305031102.4112579823	0.0586649291	0.0421532565	0.0586649291	0.0129340755	0.0613350000	120013481	0	402718720	0.0049553243	0.0584522448	0.0682729930
9	1305031102.4432709217	0.0704898685	0.0453017689	0.0704898685	0.0146242397	0.0476040000	123677065	0	402718720	0.0050741229	0.0738898739	0.0760361999
10	1305031102.4753179550	0.0762629062	0.0483978827	0.0762629062	0.0141573711	0.0284220000	126873945	0	402718720	0.0062146815	0.0836995617	0.0879351348
11	1305031102.5112190247	0.0830353051	0.0515467392	0.0830353051	0.0140830349	0.0284310000	126877201	0	402718720	0.0077386550	0.0941172689	0.0989961103
12	1305031102.5432200432	0.0843316093	0.0542788118	0.0843316093	0.0136848388	0.0322420000	126880401	0	402718720	0.0083205430	0.0987327471	0.1106791869
13	1305031102.5752859116	0.0856415182	0.0566913276	0.0856415182	0.0131185346	0.0389040000	126883489	0	402718720	0.0097627239	0.1027626917	0.1229776442
14	1305031102.6112329960	0.0853053257	0.0587351846	0.0856415182	0.0130594939	0.0370660000	126886745	0	402718720	0.0153765269	0.1038177460	0.1367915124
15	1305031102.6432650089	0.0850614384	0.0604902682	0.0856415182	0.0130799104	0.0902740000	145728869	0	402718720	0.0110546015	0.1075219810	0.1413845271
