SLAMBench Report run started:	2018-02-18 10:26:18

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_liborbslam2-original_living_room_traj2_loop.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-library: build/lib/liborbslam2-original-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.txt
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-nan	0.0234390000	348371200	0	402718720	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0015366985	0.0007683493	0.0015366985	0.0014142410	0.0341310000	356516126	0	402718720	0.0006963463	0.0000178619	-0.0003427534
3	0.0800000000	0.0016735863	0.0010700950	0.0016735863	0.0011899923	0.0329890000	356446883	0	402718720	-0.0042211143	0.0007406494	-0.0004876328
4	0.1200000000	0.0024419085	0.0014130483	0.0024419085	0.0014277847	0.0318700000	356416730	0	402718720	-0.0008867451	0.0010379477	-0.0008999060
5	0.1600000000	0.0039741946	0.0019252776	0.0039741946	0.0016265168	0.0315570000	356419874	0	402718720	-0.0042848135	-0.0013940356	0.0008131070
6	0.2000000000	0.0014003824	0.0018377951	0.0039741946	0.0019230322	0.0322600000	356427202	0	402718720	-0.0041308869	0.0017212915	-0.0003472701
7	0.2400000000	0.0010873142	0.0017305835	0.0039741946	0.0017641345	0.0322640000	356430022	0	402718720	-0.0050418065	0.0021759116	-0.0001017336
8	0.2800000000	0.0027016464	0.0018519664	0.0039741946	0.0017276818	0.0318960000	356432746	0	402718720	-0.0046347482	0.0026124960	-0.0001455753
9	0.3200000000	0.0015491414	0.0018183191	0.0039741946	0.0018703967	0.0322920000	356435798	0	402718720	-0.0078405319	0.0016512125	-0.0006178146
10	0.3600000000	0.0028334318	0.0019198304	0.0039741946	0.0018593079	0.0323790000	356439614	0	402718720	-0.0068665133	0.0035439760	-0.0001547314
11	0.4000000000	0.0011676110	0.0018514468	0.0039741946	0.0020431603	0.0322420000	356443014	0	402718720	-0.0089891246	0.0010386308	0.0009926157
12	0.4400000000	0.0008785391	0.0017703712	0.0039741946	0.0022557723	0.0319000000	356445430	0	402718720	-0.0096634757	0.0001935088	0.0000033209
13	0.4800000000	0.0022112497	0.0018042849	0.0039741946	0.0023560131	0.0318030000	356447906	0	402718720	-0.0106707150	-0.0000895370	0.0001798930
