SLAMBench Report run started:	2018-02-18 10:30:35

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_liborbslam2-original_rgbd_dataset_freiburg2_rpy.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_rpy.slam
load-library: build/lib/liborbslam2-original-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.txt
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867718.6419320107	0.0019026520	0.0019026520	0.0019026520	-nan	0.0296830000	356908440	0	402718720	0.0000000000	0.0000000000	0.0000000000
2	1311867718.6768438816	0.0018282804	0.0018654662	0.0019026520	0.0003878802	0.0328620000	376229881	0	402718720	0.0002941540	-0.0003399363	0.0006906437
3	1311867718.7114279270	0.0022995893	0.0020101739	0.0022995893	0.0034259688	0.0313020000	376124801	0	402718720	-0.0008103176	0.0016069799	0.0001284690
4	1311867718.7410299778	0.0028647545	0.0022238191	0.0028647545	0.0048913646	0.0292370000	376133437	0	402718720	0.0000611095	-0.0001215119	0.0004879458
5	1311867718.7767970562	0.0033965905	0.0024583733	0.0033965905	0.0042983263	0.0296360000	376140297	0	402718720	-0.0009076543	-0.0014286068	0.0001984128
6	1311867718.8094089031	0.0024911417	0.0024638347	0.0033965905	0.0040347562	0.0292690000	376148021	0	402718720	-0.0014430588	0.0004905288	0.0006064190
7	1311867718.8408079147	0.0032247365	0.0025725350	0.0033965905	0.0037898370	0.0290310000	376155257	0	402718720	-0.0023509325	0.0003903954	0.0002877516
8	1311867718.8767778873	0.0036838450	0.0027114487	0.0036838450	0.0035886187	0.0290560000	376163909	0	402718720	-0.0015761122	0.0003302753	0.0004468707
9	1311867718.9088680744	0.0050314683	0.0029692287	0.0050314683	0.0036313098	0.0288170000	376172617	0	402718720	-0.0015082086	-0.0001676934	-0.0002319141
10	1311867718.9438331127	0.0042593596	0.0030982418	0.0050314683	0.0034528888	0.0396730000	376182789	0	402718720	-0.0009231159	-0.0000981005	0.0011624083
11	1311867718.9784109592	0.0047456576	0.0032480069	0.0050314683	0.0033093662	0.0284480000	376189121	0	402718720	-0.0019414964	-0.0000363241	0.0007312592
12	1311867719.0091300011	0.0053912844	0.0034266133	0.0053912844	0.0031721118	0.0310540000	376770641	0	402718720	-0.0020458640	0.0000733527	0.0003596708
13	1311867719.0441620350	0.0055650747	0.0035911103	0.0055650747	0.0031165461	0.0648440000	377471789	0	402718720	-0.0017130073	0.0006918244	0.0003417007
14	1311867719.0776190758	0.0068039666	0.0038206001	0.0068039666	0.0031188369	0.1005460000	379630805	0	402718720	-0.0004387181	0.0004295880	-0.0002101053
15	1311867719.1086950302	0.0068761758	0.0040243051	0.0068761758	0.0030809390	0.0629000000	378620617	0	402718720	-0.0016762145	-0.0008287752	-0.0001570220
16	1311867719.1437010765	0.0061388481	0.0041564641	0.0068761758	0.0030709577	0.0332170000	377462929	0	402718720	-0.0018249736	0.0001344409	0.0007871772
17	1311867719.1810290813	0.0070055746	0.0043240588	0.0070055746	0.0029801781	0.0325360000	377470141	0	402718720	-0.0003239836	0.0013161605	0.0010380585
18	1311867719.2127099037	0.0063707321	0.0044377629	0.0070055746	0.0029048390	0.0325590000	377478457	0	402718720	-0.0015389310	-0.0006625094	0.0016862719
19	1311867719.2412090302	0.0059922943	0.0045195803	0.0070055746	0.0028877622	0.0450600000	378000081	0	402718720	-0.0015582121	-0.0001142553	0.0025711239
20	1311867719.2779469490	0.0072229784	0.0046547502	0.0072229784	0.0031367537	0.0931230000	378108209	0	402718720	-0.0023929582	-0.0003896932	0.0013884119
