SLAMBench Report run started:	2018-02-18 10:33:28

Properties:
=================

frame-limit: 0
log-file: out_paper//violons_liborbslam2-original_rgbd_dataset_freiburg2_xyz.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-library: build/lib/liborbslam2-original-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.txt
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4622900486	0.0582520440	0.0582520440	0.0582520440	-nan	0.0284400000	357245912	0	402718720	0.0000000000	0.0000000000	0.0000000000
2	1311867170.4941389561	0.0586377122	0.0584448781	0.0586377122	0.0034930480	0.0334920000	376635437	0	402718720	-0.0037594317	-0.0009100248	-0.0017881629
3	1311867170.5264289379	0.0586596653	0.0585164738	0.0586596653	0.0026708316	0.0306430000	376531569	0	402718720	-0.0066807531	-0.0008932950	-0.0038979272
4	1311867170.5623490810	0.0581764840	0.0584314764	0.0586596653	0.0037888070	0.0295510000	376541837	0	402718720	-0.0077551166	-0.0004883301	-0.0059200493
5	1311867170.5942170620	0.0571757704	0.0581803352	0.0586596653	0.0046060726	0.0412150000	376552513	0	402718720	-0.0106354402	-0.0026671742	-0.0082122963
6	1311867170.6260869503	0.0551324561	0.0576723553	0.0586596653	0.0045570799	0.0284130000	376561293	0	402718720	-0.0094366213	-0.0038628730	-0.0113154622
7	1311867170.6621398926	0.0557016879	0.0573908314	0.0586596653	0.0042465035	0.0286560000	376568001	0	402718720	-0.0114983134	-0.0040343115	-0.0124535887
8	1311867170.6942050457	0.0558096878	0.0571931885	0.0586596653	0.0039596769	0.0438220000	376573909	0	402718720	-0.0117391022	-0.0035084726	-0.0141921053
9	1311867170.7263879776	0.0567277037	0.0571414679	0.0586596653	0.0037870622	0.0283800000	376579905	0	402718720	-0.0150480336	-0.0052455575	-0.0145472027
10	1311867170.7620189190	0.0567436032	0.0571016815	0.0586596653	0.0036372208	0.0381720000	376588133	0	402718720	-0.0179191977	-0.0074015637	-0.0161056332
11	1311867170.7941920757	0.0556674302	0.0569712950	0.0586596653	0.0037485054	0.0459580000	376595713	0	402718720	-0.0188345294	-0.0093407044	-0.0189897064
