SLAMBench Report run started:	2018-02-18 05:39:58

Properties:
=================

frame-limit: 0
log-file: output//memory_kfusion_living_room_traj2_loop.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-library: build/lib/libkfusion-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	nan	0.1290230000	0.0273640000	0.0133930000	0.0001830000	0.0000180000	0.0851520000	7757746	96830484	1697603584	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378715	0.0677660000	0.0087560000	0.0133270000	0.0000960000	0.0000080000	0.0445630000	7923532	96830484	1698893824	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728951	0.1114370000	0.0350040000	0.0359590000	0.0003060000	0.0000220000	0.0398020000	7925530	96830484	1699508224	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723570	0.0889510000	0.0124550000	0.0116550000	0.0000830000	0.0001120000	0.0643000000	7927552	96830484	1700163584	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0021276867	0.0024566393	0.0055015511	0.0048987371	0.1546180000	0.0084910000	0.0589880000	0.0003210000	0.0002610000	0.0851300000	7929546	96830484	1700798464	3.9957129955	4.0020370483	4.0009112358
6	0.2000000000	0.0021193668	0.0024004272	0.0055015511	0.0043898062	0.0923630000	0.0091890000	0.0455030000	0.0000230000	0.0004940000	0.0362740000	7931876	96830484	1701433344	3.9965579510	4.0017552376	4.0000634193
7	0.2400000000	0.0020520808	0.0023506635	0.0055015511	0.0040162997	0.0895950000	0.0084210000	0.0364430000	0.0002790000	0.0002540000	0.0438020000	7933550	96830484	1702047744	3.9963893890	4.0014748573	4.0003581047
8	0.2800000000	0.0021309818	0.0023232032	0.0055015511	0.0037226413	0.0890490000	0.0086570000	0.0387320000	0.0000160000	0.0002300000	0.0407720000	7935224	96830484	1702830080	3.9949610233	4.0019330978	4.0002708435
9	0.3200000000	0.0021698186	0.0023061605	0.0055015511	0.0035285959	0.1105350000	0.0085400000	0.0331240000	0.0002350000	0.0001720000	0.0681450000	7937538	96830484	1703464960	3.9930253029	4.0012869835	4.0003128052
10	0.3600000000	0.0022089549	0.0022964399	0.0055015511	0.0033889458	0.0838450000	0.0086000000	0.0357560000	0.0000070000	0.0000870000	0.0377170000	7940524	96830484	1704099840	3.9929094315	4.0026316643	4.0009026527
11	0.4000000000	0.0022607681	0.0022931970	0.0055015511	0.0033576477	0.1072160000	0.0082640000	0.0524260000	0.0004320000	0.0002790000	0.0444310000	7942198	96830484	1704734720	3.9919469357	4.0017871857	4.0016007423
12	0.4400000000	0.0022675800	0.0022910623	0.0055015511	0.0034304054	0.0824060000	0.0084970000	0.0347500000	0.0000210000	0.0003400000	0.0374370000	7943872	96830484	1705369600	3.9918613434	4.0017371178	4.0008234978
13	0.4800000000	0.0022817205	0.0022903437	0.0055015511	0.0034359296	0.1203380000	0.0083640000	0.0339780000	0.0003430000	0.0002650000	0.0759900000	7945546	96830484	1706004480	3.9894282818	4.0015411377	4.0013957024
14	0.5200000000	0.0023265851	0.0022929324	0.0055015511	0.0033242156	0.1285680000	0.0090320000	0.0822620000	0.0000050000	0.0000640000	0.0357570000	7947220	96830484	1706639360	3.9894304276	4.0028085709	4.0008177757
15	0.5600000000	0.0023081175	0.0022939447	0.0055015511	0.0032120843	0.0909530000	0.0091720000	0.0410700000	0.0003650000	0.0002720000	0.0396880000	7948894	96830484	1707274240	3.9863359928	4.0038886070	4.0015878677
16	0.6000000000	0.0023983542	0.0023004703	0.0055015511	0.0031278541	0.0983120000	0.0093190000	0.0512380000	0.0000220000	0.0003620000	0.0358030000	7950568	96830484	1707909120	3.9871211052	4.0023255348	4.0005331039
17	0.6400000000	0.0024038421	0.0023065510	0.0055015511	0.0030498086	0.1225000000	0.0091160000	0.0412600000	0.0002890000	0.0002660000	0.0698720000	7953522	96830484	1708670976	3.9851036072	4.0008940697	3.9991033077
18	0.6800000000	0.0024459769	0.0023142969	0.0055015511	0.0029599863	0.0924390000	0.0092450000	0.0489270000	0.0000220000	0.0003100000	0.0334640000	7957820	96830484	1709305856	3.9835436344	4.0011606216	4.0000782013
19	0.7200000000	0.0024385911	0.0023208387	0.0055015511	0.0029191459	0.0911660000	0.0088050000	0.0400370000	0.0003430000	0.0003030000	0.0412540000	7959494	96830484	1709940736	3.9820597172	4.0014066696	3.9996430874
20	0.7600000000	0.0025582798	0.0023327107	0.0055015511	0.0029371889	0.0823980000	0.0086330000	0.0350830000	0.0000150000	0.0001860000	0.0368300000	7961168	96830484	1710546944	3.9790954590	4.0002269745	3.9993181229
21	0.8000000000	0.0026402324	0.0023473546	0.0055015511	0.0028722433	0.1218050000	0.0086700000	0.0413070000	0.0003100000	0.0003410000	0.0686920000	7962842	96830484	1711202304	3.9762647152	4.0010972023	3.9996490479
22	0.8400000000	0.0029144434	0.0023731314	0.0055015511	0.0028126042	0.0874880000	0.0090490000	0.0380860000	0.0000230000	0.0003630000	0.0379030000	7964516	96830484	1711816704	3.9707875252	4.0004653931	3.9992005825
23	0.8800000000	0.0029079607	0.0023963848	0.0055015511	0.0027479746	0.0974130000	0.0085440000	0.0441500000	0.0002790000	0.0002560000	0.0423890000	7966190	96830484	1712451584	3.9713721275	3.9995739460	3.9975578785
24	0.9200000000	0.0028096719	0.0024136051	0.0055015511	0.0026877533	0.0909160000	0.0093130000	0.0435110000	0.0000250000	0.0003040000	0.0362880000	7967864	96830484	1713233920	3.9628987312	4.0010185242	3.9969220161
25	0.9600000000	0.0027906045	0.0024286851	0.0055015511	0.0026594775	0.1221330000	0.0090700000	0.0356180000	0.0002470000	0.0001740000	0.0750610000	7969538	96830484	1713868800	3.9617063999	4.0022830963	3.9961562157
26	1.0000000000	0.0028318348	0.0024441909	0.0055015511	0.0026071390	0.0921300000	0.0094420000	0.0443250000	0.0000250000	0.0003060000	0.0361780000	7971212	96830484	1714503680	3.9554364681	4.0008044243	3.9970476627
27	1.0400000000	0.0026902761	0.0024533051	0.0055015511	0.0026328308	0.0983990000	0.0091350000	0.0437420000	0.0003470000	0.0002700000	0.0428300000	7972886	96830484	1715138560	3.9496479034	4.0000362396	3.9948539734
28	1.0800000000	0.0027714712	0.0024646682	0.0055015511	0.0027076172	0.0904280000	0.0093690000	0.0508880000	0.0000220000	0.0002840000	0.0293390000	7974560	96830484	1715773440	3.9448773861	4.0019016266	3.9945564270
29	1.1200000000	0.0027285318	0.0024737670	0.0055015511	0.0027861190	0.1297830000	0.0085480000	0.0483460000	0.0003680000	0.0002660000	0.0717360000	7976234	96830484	1716387840	3.9388296604	4.0020227432	3.9917793274
30	1.1600000000	0.0030032410	0.0024914161	0.0055015511	0.0027895884	0.0902950000	0.0085150000	0.0430860000	0.0000250000	0.0002860000	0.0378680000	7977908	96830484	1717043200	3.9293973446	4.0014457703	3.9938304424
31	1.2000000000	0.0029136736	0.0025050373	0.0055015511	0.0027657983	0.1076440000	0.0087540000	0.0498050000	0.0003100000	0.0003090000	0.0454690000	7979582	96830484	1717678080	3.9228038788	4.0022139549	3.9920375347
32	1.2400000000	0.0029506644	0.0025189631	0.0055015511	0.0027654780	0.1004550000	0.0087920000	0.0463630000	0.0000230000	0.0003470000	0.0425510000	7981256	96830484	1718312960	3.9160888195	4.0025353432	3.9897420406
33	1.2800000000	0.0029396042	0.0025317098	0.0055015511	0.0028074009	0.1493730000	0.0087070000	0.0516230000	0.0002980000	0.0002560000	0.0804890000	7985490	96830484	1718927360	3.9104783535	4.0022211075	3.9895060062
34	1.3200000000	0.0028935280	0.0025423516	0.0055015511	0.0027808310	0.0902500000	0.0094320000	0.0440640000	0.0000240000	0.0003150000	0.0358440000	7992412	96830484	1719709696	3.8820114136	4.0016813278	3.9892072678
