SLAMBench Report run started:	2018-02-18 04:30:01

Properties:
=================

frame-limit: 0
log-file: output//memory_lsdslam_living_room_traj2_loop.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-library: build/lib/liblsdslam-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
camera-path: 
package-path: lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	nan	0.0403960000	86789171	0	1770831872	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0010192674	0.0005096337	0.0010192674	0.0016461832	0.1277050000	98511908	0	1779458048	-0.0006004850	-0.0001168514	0.0001065529
3	0.0800000000	0.0050369492	0.0020187388	0.0050369492	0.0023323772	0.1242850000	101782498	0	1783267328	-0.0005712212	-0.0001159408	-0.0002626191
4	0.1200000000	0.0030104611	0.0022666694	0.0050369492	0.0021966427	0.1047580000	101784080	0	1784156160	-0.0008395689	-0.0004368157	-0.0003820120
5	0.1600000000	0.0058183502	0.0029770056	0.0058183502	0.0019631229	0.0969810000	101785670	0	1784664064	-0.0009796099	-0.0000026681	-0.0002612149
6	0.2000000000	0.0051384396	0.0033372446	0.0058183502	0.0018813674	0.0981920000	101787580	0	1785171968	-0.0005846015	-0.0000756629	-0.0006002688
7	0.2400000000	0.0052057360	0.0036041719	0.0058183502	0.0017249274	0.0963920000	101788834	0	1785679872	-0.0005683512	0.0000713196	-0.0004218031
8	0.2800000000	0.0065800366	0.0039761550	0.0065800366	0.0016589873	0.0958290000	101790088	0	1786187776	-0.0006064161	0.0001757641	-0.0005147499
9	0.3200000000	0.0080526276	0.0044290964	0.0080526276	0.0016338017	0.1087700000	101792014	0	1786822656	-0.0010380618	0.0000522985	-0.0005211149
10	0.3600000000	0.0081044836	0.0047966351	0.0081044836	0.0016452099	0.1095000000	101794580	0	1787330560	-0.0013087967	0.0000751047	-0.0004509388
11	0.4000000000	0.0093985079	0.0052149872	0.0093985079	0.0018086935	0.0935730000	101795834	0	1787838464	-0.0008956442	0.0000751497	-0.0001809046
12	0.4400000000	0.0094707115	0.0055696309	0.0094707115	0.0021760242	0.1013130000	101797088	0	1785970688	-0.0007592409	-0.0000004653	-0.0004498172
13	0.4800000000	0.0110083176	0.0059879914	0.0110083176	0.0022165767	0.0932590000	101798342	0	1786064896	-0.0016797759	-0.0000336222	-0.0001003948
14	0.5200000000	0.0109668421	0.0063436236	0.0110083176	0.0021936693	0.1290880000	101799596	0	1786699776	-0.0019601998	-0.0010239633	-0.0000114675
15	0.5600000000	0.0139693972	0.0068520085	0.0139693972	0.0021532663	0.0999940000	101800850	0	1787207680	-0.0020311738	0.0001297701	-0.0003221621
16	0.6000000000	0.0133044329	0.0072552850	0.0139693972	0.0022222525	0.0968130000	101802104	0	1787330560	-0.0015770770	-0.0000095433	-0.0005183020
17	0.6400000000	0.0138059678	0.0076406193	0.0139693972	0.0022506147	0.0952150000	101804702	0	1787711488	-0.0031563127	-0.0012518218	-0.0008958530
18	0.6800000000	0.0174066201	0.0081831749	0.0174066201	0.0023576268	0.0997690000	101808580	0	1785970688	-0.0016305163	-0.0045932359	-0.0006293858
19	0.7200000000	0.0175940525	0.0086784842	0.0175940525	0.0025287944	0.0836120000	101809834	0	1785970688	-0.0023679067	-0.0004590496	-0.0013908840
20	0.7600000000	0.0203371495	0.0092614175	0.0203371495	0.0025887978	0.0857380000	101811088	0	1786572800	-0.0026742879	-0.0005095035	-0.0014838526
21	0.8000000000	0.0241026115	0.0099681410	0.0241026115	0.0025306111	0.0929630000	101812342	0	1787080704	-0.0018643828	-0.0001886232	-0.0016553181
22	0.8400000000	0.0295360908	0.0108575933	0.0295360908	0.0026147085	0.0953560000	101813596	0	1787334656	-0.0021180592	-0.0002901079	-0.0015466685
23	0.8800000000	0.0290697664	0.0116494269	0.0295360908	0.0025784997	0.0998500000	101814850	0	1787584512	-0.0020464342	0.0000018626	-0.0023590252
24	0.9200000000	0.0353328027	0.0126362342	0.0353328027	0.0028168712	0.1072840000	101816104	0	1788092416	-0.0040983660	-0.0000607162	-0.0031312595
25	0.9600000000	0.0355542935	0.0135529566	0.0355542935	0.0027710757	0.0855950000	101817358	0	1785970688	-0.0050165136	0.0009018445	-0.0037801615
26	1.0000000000	0.0407121740	0.0145975419	0.0407121740	0.0028418536	0.1170200000	101818612	0	1785171968	-0.0061556743	0.0006631495	-0.0029550409
27	1.0400000000	0.0460832566	0.0157636795	0.0460832566	0.0030270922	0.0952960000	101819866	0	1785171968	-0.0064671142	0.0004708096	-0.0043465942
28	1.0800000000	0.0490001515	0.0169506963	0.0490001515	0.0033444868	0.1024960000	101821120	0	1785679872	-0.0083510950	-0.0004519974	-0.0040306961
29	1.1200000000	0.0525595061	0.0181785863	0.0525595061	0.0036697888	0.1023120000	101822374	0	1786187776	-0.0109448284	-0.0000379827	-0.0050467951
30	1.1600000000	0.0573767237	0.0194851909	0.0573767237	0.0041520138	0.1661480000	101823628	0	1786568704	-0.0156682190	-0.0000791074	-0.0038885016
31	1.2000000000	0.0600685775	0.0207943324	0.0600685775	0.0043312046	0.1409640000	101824882	0	1786695680	-0.0195193309	-0.0003718798	-0.0041893553
32	1.2400000000	0.0643006638	0.0221539053	0.0643006638	0.0044643146	0.1385410000	101826136	0	1787330560	-0.0222020932	-0.0007061152	-0.0050116563
33	1.2800000000	0.0680424720	0.0235444679	0.0680424720	0.0045866968	0.1210550000	101830078	0	1787838464	-0.0239877198	-0.0007081559	-0.0050798859
34	1.3200000000	0.0855101496	0.0253669879	0.0855101496	0.0055831589	0.1314140000	101836580	0	1786060800	-0.0347751044	-0.0007887363	-0.0049192882
35	1.3600000000	0.0872021392	0.0271337065	0.0872021392	0.0057592991	0.1243360000	101837834	0	1786187776	-0.0366729945	-0.0007462856	-0.0058052153
36	1.4000000000	0.0903559625	0.0288898803	0.0903559625	0.0061903276	0.1221450000	101839088	0	1786695680	-0.0393485166	-0.0010604571	-0.0064361827
37	1.4400000000	0.0969478339	0.0307292845	0.0969478339	0.0064239432	0.1160490000	101840342	0	1787330560	-0.0434892885	-0.0008661391	-0.0057029598
38	1.4800000000	0.1035949364	0.0326468016	0.1035949364	0.0065363723	0.2000750000	114180380	0	1787076608	-0.0486340076	-0.0006415468	-0.0051555680
39	1.5200000000	0.1064773276	0.0345398920	0.1064773276	0.0064705126	0.0959490000	117839682	0	1787584512	-0.0491356030	-0.0009606312	-0.0063160397
40	1.5600000000	0.1132199168	0.0365068927	0.1132199168	0.0064297140	0.1196750000	121033032	0	1785462784	-0.0522792265	-0.0013137306	-0.0061512156
41	1.6000000000	0.1197378337	0.0385369156	0.1197378337	0.0063955904	0.0957070000	121034286	0	1784983552	-0.0560408421	-0.0018513507	-0.0056608221
42	1.6400000000	0.1286498159	0.0406824609	0.1286498159	0.0064276900	0.0873770000	121035540	0	1784918016	-0.0603383929	-0.0006434981	-0.0049930047
43	1.6800000000	0.1333017945	0.0428363989	0.1333017945	0.0063694945	0.0945050000	121036794	0	1785425920	-0.0623640157	-0.0006048982	-0.0036623699
44	1.7200000000	0.1370738596	0.0449781593	0.1370738596	0.0063149847	0.0830300000	121038048	0	1785933824	-0.0649211630	-0.0013825274	-0.0045124171
45	1.7600000000	0.1418684423	0.0471312767	0.1418684423	0.0062740913	0.0798760000	121039302	0	1786314752	-0.0684483945	-0.0011991458	-0.0031572122
46	1.8000000000	0.1459868252	0.0492803104	0.1459868252	0.0062097267	0.0837680000	121040556	0	1786441728	-0.0702853426	-0.0000961047	-0.0036110729
47	1.8400000000	0.1493941247	0.0514103915	0.1493941247	0.0062227317	0.0898020000	121041810	0	1786949632	-0.0699011236	-0.0000683115	-0.0032839077
48	1.8800000000	0.1525115073	0.0535166648	0.1525115073	0.0061727624	0.0906270000	121043064	0	1787457536	-0.0712789521	-0.0000058564	-0.0029623264
49	1.9200000000	0.1568023711	0.0556245363	0.1568023711	0.0061523500	0.0937070000	121044318	0	1787965440	-0.0742351860	-0.0000374449	-0.0031260466
50	1.9600000000	0.1663611084	0.0578392678	0.1663611084	0.0063305015	0.0952910000	121045572	0	1786118144	-0.0789800286	0.0001922186	-0.0007714225
51	2.0000000000	0.1646321267	0.0599332454	0.1663611084	0.0062691031	0.0894180000	121046826	0	1785491456	-0.0790327266	-0.0014121289	-0.0016565060
52	2.0400000000	0.1675969064	0.0620037004	0.1675969064	0.0062190152	0.1087570000	121048080	0	1785491456	-0.0800501257	-0.0005165207	-0.0021492448
53	2.0800000000	0.1688640267	0.0640199330	0.1688640267	0.0062147252	0.1062030000	121049334	0	1786060800	-0.0808072686	-0.0011313070	-0.0032754063
54	2.1200000000	0.1772439331	0.0661166737	0.1772439331	0.0062195089	0.1012060000	121050588	0	1786568704	-0.0854749158	-0.0015865732	-0.0011929281
55	2.1600000000	0.1786862314	0.0681633930	0.1786862314	0.0062014509	0.1030870000	121051842	0	1786822656	-0.0862825438	-0.0015682332	-0.0012429463
56	2.2000000000	0.1919633746	0.0703741069	0.1919633746	0.0063137391	0.1141800000	121053096	0	1787076608	-0.0930492207	-0.0005078338	0.0018320929
57	2.2400000000	0.1952913553	0.0725656376	0.1952913553	0.0062723678	0.1114930000	121054350	0	1787584512	-0.0946560651	-0.0012937963	0.0022927416
58	2.2800000000	0.2007973045	0.0747765284	0.2007973045	0.0063730642	0.1128240000	121055604	0	1786118144	-0.0985274836	-0.0018216078	0.0036767516
59	2.3200000000	0.2106232196	0.0770790147	0.2106232196	0.0067582048	0.1122930000	121056858	0	1786118144	-0.1029786617	-0.0007484062	0.0055058072
60	2.3600000000	0.2125504464	0.0793368719	0.2125504464	0.0068116232	0.1142870000	121058112	0	1786593280	-0.1041355655	-0.0010752575	0.0052097286
61	2.4000000000	0.2172030210	0.0815969727	0.2172030210	0.0069252846	0.1195310000	121059366	0	1787076608	-0.1062975004	-0.0009658473	0.0052241022
62	2.4400000000	0.2334515750	0.0840462405	0.2334515750	0.0076095245	0.1175230000	121060620	0	1787457536	-0.1141443700	-0.0009315339	0.0087441392
63	2.4800000000	0.2387628257	0.0865020593	0.2387628257	0.0077835200	0.1280030000	121061874	0	1787703296	-0.1175163016	-0.0009856630	0.0096839033
64	2.5200000000	0.2462916523	0.0889987717	0.2462916523	0.0082246121	0.1137880000	121063128	0	1786109952	-0.1227097511	-0.0007826474	0.0113295736
65	2.5600000000	0.2572418153	0.0915871262	0.2572418153	0.0086204508	0.1220480000	121069758	0	1786109952	-0.1257663220	0.0003894773	0.0125722708
66	2.6000000000	0.2623173892	0.0941739484	0.2623173892	0.0088011315	0.1163990000	121081508	0	1786585088	-0.1314666420	0.0013748839	0.0131324045
67	2.6400000000	0.2714349926	0.0968196356	0.2714349926	0.0088960421	0.3157100000	139913698	0	1785962496	-0.1326480955	0.0019592273	0.0141250091
68	2.6800000000	0.2740630507	0.0994261564	0.2740630507	0.0088869646	0.1135540000	143572800	0	1786560512	-0.1410933435	0.0025807831	0.0144534279
69	2.7200000000	0.2804259062	0.1020493412	0.2804259062	0.0088478424	0.1030320000	146766150	0	1785073664	-0.1445049793	0.0029424820	0.0162140094
70	2.7600000000	0.2863983214	0.1046828980	0.2863983214	0.0087977167	0.0866800000	146767404	0	1785294848	-0.1474036723	0.0032726619	0.0160177704
71	2.8000000000	0.2908037007	0.1073043178	0.2908037007	0.0087591917	0.0826640000	146768658	0	1784070144	-0.1499914527	0.0036285678	0.0149056390
72	2.8400000000	0.3011327386	0.1099963792	0.3011327386	0.0088186243	0.0865610000	146769912	0	1784070144	-0.1558689773	0.0058258707	0.0157219935
73	2.8800000000	0.3076897860	0.1127045081	0.3076897860	0.0087747666	0.0825200000	146771166	0	1784426496	-0.1593580693	0.0061266497	0.0163147114
