SLAMBench Report run started:	2018-02-18 05:34:29

Properties:
=================

frame-limit: 0
log-file: output//memory_orbslam2_living_room_traj2_loop.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-library: build/lib/liborbslam2-original-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.txt
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	nan	0.1649010000	225834516	0	1384038400	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0016766530	0.0008383265	0.0016766530	0.0014063064	0.1845110000	229184282	0	1493618688	0.0009001556	0.0000838387	-0.0003908983
3	0.0800000000	0.0015822555	0.0010863028	0.0016766530	0.0011931997	0.1798370000	229113697	0	1495388160	-0.0042050271	0.0008191089	-0.0003776929
4	0.1200000000	0.0026836172	0.0014856314	0.0026836172	0.0013483090	0.1846090000	229116406	0	1497165824	-0.0006538451	0.0009003719	-0.0009791600
5	0.1600000000	0.0037289024	0.0019342856	0.0037289024	0.0014272208	0.1841360000	229118172	0	1498927104	-0.0039363396	-0.0008332552	0.0007687336
6	0.2000000000	0.0014823029	0.0018589552	0.0037289024	0.0016825643	0.1816980000	229122918	0	1500594176	-0.0040361751	0.0016616849	-0.0002794753
7	0.2400000000	0.0013730575	0.0017895412	0.0037289024	0.0015480394	0.1850950000	229125328	0	1502482432	-0.0044940715	0.0020401087	-0.0001060311
8	0.2800000000	0.0022861408	0.0018516162	0.0037289024	0.0014893680	0.1804420000	229126806	0	1504149504	-0.0048252293	0.0018688004	0.0000165534
9	0.3200000000	0.0012211959	0.0017815695	0.0037289024	0.0017255683	0.1810450000	229128548	0	1505689600	-0.0081305970	0.0012921972	-0.0007769379
10	0.3600000000	0.0033468958	0.0019381021	0.0037289024	0.0017277050	0.1806620000	229131178	0	1507450880	-0.0061322437	0.0032521156	-0.0002586971
11	0.4000000000	0.0013857047	0.0018878842	0.0037289024	0.0020047483	0.1792020000	229133348	0	1509355520	-0.0092456676	0.0000619719	0.0013931724
12	0.4400000000	0.0007803517	0.0017955898	0.0037289024	0.0022762747	0.1793340000	229134626	0	1511006208	-0.0101746200	0.0001026162	0.0000843234
13	0.4800000000	0.0019019429	0.0018037708	0.0037289024	0.0023894798	0.1827040000	229135936	0	1512656896	-0.0112792291	-0.0005289036	0.0002776457
14	0.5200000000	0.0032929734	0.0019101424	0.0037289024	0.0023172562	0.1791090000	229138562	0	1514434560	-0.0096168006	0.0010777062	-0.0010335768
