SLAMBench Report run started:	2018-02-19 05:11:50

Properties:
=================

frame-limit: 0
log-file: output//violons_libefusion-cuda_rgbd_dataset_freiburg1_xyz.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-library: build/lib/libefusion-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
confidence: 10
depth: 3
icp: 10
icpErrThresh: 5e-05
covThresh: 1e-05
photoThresh: 115
fernThresh: 0.3095
icpCountThresh: 35000
timeDelta: 200
textureDim: 512
nodeTextureDim: 2048
openLoop: false
reloc: false
fastOdom: false
so3: true
frameToFrameRGB: false
shader-dir: /harddrive/slambench2/benchmarks/efusion/src/cuda/Core/src/Shaders

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1753039360	0.0253988300	0.0253988300	0.0253988300	nan	0.2552560000	88654039	95654128	1753268224	0.0000000000	0.0000000000	0.0000000000
2	1305031102.2112140656	0.0293943919	0.0273966109	0.0293943919	0.0122530656	1.3813050000	89432990	95654128	1755774976	-0.0000554346	0.0078804428	0.0104378425
3	1305031102.2432110310	0.0239656884	0.0262529701	0.0293943919	0.0087681085	1.2259560000	89509512	95654128	1757679616	-0.0014141212	0.0065610358	0.0237118918
4	1305031102.2753260136	0.0206932332	0.0248630359	0.0293943919	0.0077485513	1.9874380000	89607146	95654128	1759457280	-0.0017301160	0.0074324966	0.0370710753
5	1305031102.3112668991	0.0151589615	0.0229222210	0.0293943919	0.0071888667	2.3170660000	89684532	95654128	1761234944	-0.0001425352	0.0047266171	0.0516257808
6	1305031102.3432331085	0.0148826102	0.0215822859	0.0293943919	0.0072489471	1.5910390000	89783362	95654128	1762947072	-0.0001035580	0.0067454726	0.0636193305
7	1305031102.3753290176	0.0159750041	0.0207812456	0.0293943919	0.0067039748	2.1734400000	89784392	95654128	1764462592	0.0011613899	0.0083600041	0.0759387091
8	1305031102.4112579823	0.0131075876	0.0198220384	0.0293943919	0.0088425727	1.8817850000	89786694	95654128	1766240256	-0.0015190806	0.0113094710	0.0862212628
9	1305031102.4432709217	0.0134044951	0.0191089780	0.0293943919	0.0094076428	1.5103640000	89863860	95654128	1768017920	-0.0038383589	0.0172586218	0.0961052477
10	1305031102.4753179550	0.0156274308	0.0187608233	0.0293943919	0.0089063852	1.8056230000	89961614	95654128	1769762816	-0.0012851513	0.0172196478	0.1104013100
11	1305031102.5112190247	0.0180294886	0.0186943383	0.0293943919	0.0085826273	1.9437050000	89964000	95654128	1771540480	0.0000622899	0.0167089663	0.1243779287
12	1305031102.5432200432	0.0201554485	0.0188160975	0.0293943919	0.0082491179	1.7393480000	90042218	95654128	1773191168	-0.0011371386	0.0158798359	0.1378088444
13	1305031102.5752859116	0.0268438160	0.0194336143	0.0293943919	0.0082459189	1.8793650000	90138608	95654128	1775071232	-0.0008616130	0.0113712959	0.1531594247
14	1305031102.6112329960	0.0300074704	0.0201888897	0.0300074704	0.0079800391	1.9086920000	90141110	95654128	1776848896	-0.0024004332	0.0095386337	0.1661032736
15	1305031102.6432650089	0.0225312039	0.0203450440	0.0300074704	0.0086625916	1.8215770000	90143432	95654128	1778483200	-0.0091921408	0.0178745687	0.1737539619
16	1305031102.6752851009	0.0250116214	0.0206367051	0.0300074704	0.0084542250	2.5611970000	90144378	95654128	1780133888	-0.0099236481	0.0206319150	0.1868849844
17	1305031102.7112629414	0.0303956587	0.0212107612	0.0303956587	0.0085231333	1.8946790000	90147928	95654128	1781911552	-0.0091690868	0.0202030353	0.2008628249
18	1305031102.7432339191	0.0298850778	0.0216926677	0.0303956587	0.0084473883	1.9852430000	90228666	95654128	1783529472	-0.0088690547	0.0269374587	0.2123260498
19	1305031102.7754719257	0.0378382094	0.0225424330	0.0378382094	0.0082384039	1.7115840000	90323900	95654128	1785561088	-0.0041630561	0.0273647066	0.2271546125
20	1305031102.8112320900	0.0391765349	0.0233741381	0.0391765349	0.0081834799	1.4744970000	90326286	95654128	1787092992	-0.0053764367	0.0309430137	0.2394587994
