SLAMBench Report run started:	2018-02-19 05:29:12

Properties:
=================

frame-limit: 0
log-file: output//violons_libefusion-cuda_rgbd_dataset_freiburg2_rpy.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_rpy.slam
load-library: build/lib/libefusion-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
confidence: 10
depth: 3
icp: 10
icpErrThresh: 5e-05
covThresh: 1e-05
photoThresh: 115
fernThresh: 0.3095
icpCountThresh: 35000
timeDelta: 200
textureDim: 512
nodeTextureDim: 2048
openLoop: false
reloc: false
fastOdom: false
so3: true
frameToFrameRGB: false
shader-dir: /harddrive/slambench2/benchmarks/efusion/src/cuda/Core/src/Shaders

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867718.6419320107	0.0019026520	0.0019026520	0.0019026520	nan	0.3044690000	95916811	95654128	1760464896	0.0000000000	0.0000000000	0.0000000000
2	1311867718.6768438816	0.0026867939	0.0022947229	0.0026867939	0.0026436208	1.3194680000	106429634	95654128	1760956416	0.0016575535	0.0007561003	0.0003873046
3	1311867718.7114279270	0.0044163745	0.0030019401	0.0044163745	0.0041990122	1.0164270000	106432336	95654128	1762451456	0.0025906775	0.0028173430	0.0005634688
4	1311867718.7410299778	0.0025706154	0.0028941089	0.0044163745	0.0045286240	1.0816270000	106433526	95654128	1764102144	0.0009774094	0.0001838615	0.0018734166
5	1311867718.7767970562	0.0031892096	0.0029531291	0.0044163745	0.0042504909	1.3457040000	106436416	95654128	1765830656	0.0002441892	-0.0017546193	0.0015314815
6	1311867718.8094089031	0.0027338408	0.0029165810	0.0044163745	0.0042080653	1.1320700000	106439258	95654128	1767481344	-0.0016219129	0.0015554618	0.0005409652
7	1311867718.8408079147	0.0027530068	0.0028932133	0.0044163745	0.0041515397	1.2368850000	106440268	95654128	1769271296	-0.0022536186	0.0010913771	0.0007893369
8	1311867718.8767778873	0.0040942580	0.0030433439	0.0044163745	0.0041670726	2.3250770000	106442518	95654128	1770844160	-0.0034179022	0.0005883931	0.0002951959
9	1311867718.9088680744	0.0045646275	0.0032123754	0.0045646275	0.0041030337	1.6331940000	106445952	95654128	1772494848	-0.0021985408	0.0019503941	0.0002366860
10	1311867718.9438331127	0.0034829513	0.0032394330	0.0045646275	0.0038786842	2.5144870000	106448254	95654128	1774272512	-0.0019875937	0.0015060037	0.0016517583
11	1311867718.9784109592	0.0023394877	0.0031576198	0.0045646275	0.0037588817	1.6151290000	106450504	95654128	1775898624	-0.0030355861	0.0004447111	0.0031644357
12	1311867719.0091300011	0.0023727007	0.0030922098	0.0045646275	0.0035936292	1.8697220000	106452626	95654128	1777696768	-0.0023580894	0.0005006964	0.0033318484
13	1311867719.0441620350	0.0018744332	0.0029985347	0.0045646275	0.0036922378	1.4907430000	106453732	95654128	1779302400	-0.0026633660	0.0019998667	0.0041592447
14	1311867719.0776190758	0.0017444891	0.0029089600	0.0045646275	0.0037687605	1.1157340000	106455950	95654128	1780969472	-0.0023907081	-0.0002662609	0.0050225500
15	1311867719.1086950302	0.0025201046	0.0028830363	0.0045646275	0.0036337027	1.3794410000	106628084	95654128	1782730752	-0.0010924207	0.0007869975	0.0048755486
16	1311867719.1437010765	0.0025536250	0.0028624481	0.0045646275	0.0035385721	1.4550950000	106629042	95654128	1784356864	-0.0011782170	0.0002464216	0.0059262896
17	1311867719.1810290813	0.0030687256	0.0028745821	0.0045646275	0.0035504863	1.1450360000	106633852	95654128	1783250944	-0.0014794022	-0.0009155595	0.0062229871
18	1311867719.2127099037	0.0073509561	0.0031232695	0.0073509561	0.0036262904	1.2536530000	106638662	95654128	1782222848	0.0026661083	-0.0021121984	0.0070753824
19	1311867719.2412090302	0.0070378804	0.0033293017	0.0073509561	0.0036797405	1.0797770000	106639524	95654128	1783848960	0.0024061438	-0.0005767823	0.0075707557
20	1311867719.2779469490	0.0044439523	0.0033850342	0.0073509561	0.0039186489	0.9545670000	106641858	95654128	1785647104	-0.0012319016	-0.0013397937	0.0079351524
21	1311867719.3104898930	0.0042740991	0.0034273707	0.0073509561	0.0038332633	0.9803850000	106644076	95654128	1784520704	-0.0015691222	-0.0007102255	0.0074956841
22	1311867719.3413150311	0.0064362655	0.0035641386	0.0073509561	0.0039059504	1.0957890000	106644986	95654128	1783468032	0.0001823943	-0.0011442683	0.0084011527
23	1311867719.3772718906	0.0063249106	0.0036841722	0.0073509561	0.0038765446	1.1779470000	106647204	95654128	1785102336	-0.0010784838	-0.0030111857	0.0085692778
24	1311867719.4105761051	0.0058173607	0.0037730550	0.0073509561	0.0037919310	1.3993380000	106649422	95654128	1784098816	-0.0020427653	-0.0032864467	0.0080959741
25	1311867719.4427709579	0.0090287225	0.0039832817	0.0090287225	0.0038128468	1.4402700000	106650380	95654128	1782968320	-0.0008185323	-0.0066617532	0.0100777820
26	1311867719.4787840843	0.0096394327	0.0042008260	0.0096394327	0.0037841303	1.2588200000	106652598	95654128	1784594432	-0.0006908162	-0.0074811187	0.0106571205
27	1311867719.5104370117	0.0079275807	0.0043388539	0.0096394327	0.0037879428	1.3561450000	106825456	95654128	1783619584	-0.0015678462	-0.0060447566	0.0097304117
28	1311867719.5449650288	0.0081131607	0.0044736506	0.0096394327	0.0038259490	1.4603940000	106826414	95654128	1782345728	-0.0022895823	-0.0064282897	0.0094380816
29	1311867719.5771939754	0.0082800090	0.0046049044	0.0096394327	0.0037689148	1.2268620000	106828632	95654128	1783951360	-0.0029803843	-0.0071673873	0.0108423270
30	1311867719.6112511158	0.0086817909	0.0047408006	0.0096394327	0.0037765677	1.0792860000	106830834	95654128	1785602048	-0.0017432953	-0.0051972545	0.0110161155
31	1311867719.6421909332	0.0113912709	0.0049553319	0.0113912709	0.0037334228	0.9993910000	106831728	95654128	1784496128	0.0008770117	-0.0045080511	0.0117191095
32	1311867719.6770479679	0.0118389977	0.0051704464	0.0118389977	0.0037128201	1.0136410000	106833978	95654128	1783341056	0.0005926893	-0.0046878206	0.0129476907
33	1311867719.7107939720	0.0108860135	0.0053436454	0.0118389977	0.0036737461	1.0338150000	106841284	95654128	1784967168	-0.0004303179	-0.0026053283	0.0127700316
34	1311867719.7442650795	0.0132011827	0.0055747495	0.0132011827	0.0036826552	1.5487650000	107017162	95654128	1784090624	0.0013511825	-0.0026498146	0.0130845141
35	1311867719.7861878872	0.0140209040	0.0058160682	0.0140209040	0.0036473454	1.2151600000	107019540	95654128	1783107584	0.0012874287	-0.0030531974	0.0141488397
36	1311867719.8099169731	0.0132163754	0.0060216323	0.0140209040	0.0036126152	1.6397980000	107021566	95654128	1784586240	-0.0001239171	-0.0029336289	0.0149572901
37	1311867719.8454990387	0.0128685236	0.0062066834	0.0140209040	0.0035880596	1.2898050000	107022556	95654128	1783484416	-0.0011777122	-0.0035720221	0.0162087064
38	1311867719.8771090508	0.0111450907	0.0063366415	0.0140209040	0.0035787682	1.3943510000	107024742	95654128	1782325248	-0.0028309920	-0.0037578281	0.0153345112
39	1311867719.9114089012	0.0106129637	0.0064462907	0.0140209040	0.0035851201	1.0525300000	107026992	95654128	1784098816	-0.0039027662	-0.0027300129	0.0160962529
40	1311867719.9461970329	0.0108844219	0.0065572440	0.0140209040	0.0035434789	1.3589970000	107027934	95654128	1785729024	-0.0040022959	-0.0034361016	0.0165831242
41	1311867719.9807810783	0.0120053701	0.0066901252	0.0140209040	0.0035229540	1.1967320000	107030152	95654128	1784754176	-0.0039104642	-0.0051147118	0.0172275677
42	1311867720.0117020607	0.0123502240	0.0068248894	0.0140209040	0.0035153063	1.1358340000	107032338	95654128	1783595008	-0.0040004505	-0.0053823055	0.0174887218
43	1311867720.0452380180	0.0129219526	0.0069666816	0.0140209040	0.0034791786	1.5761440000	107204560	95654128	1785221120	-0.0039156717	-0.0052425656	0.0187612418
44	1311867720.0772819519	0.0151030039	0.0071515980	0.0151030039	0.0034614829	2.2666650000	107206778	95654128	1784348672	-0.0028422927	-0.0071400120	0.0201936793
45	1311867720.1172130108	0.0168695338	0.0073675521	0.0168695338	0.0034331651	1.3206850000	107209092	95654128	1783341056	-0.0014143672	-0.0078085088	0.0208472311
46	1311867720.1451559067	0.0178487059	0.0075954033	0.0178487059	0.0034067308	1.2260240000	107209922	95654128	1784975360	-0.0004991478	-0.0079063382	0.0210421272
47	1311867720.1781630516	0.0186892655	0.0078314429	0.0186892655	0.0033766978	1.4889960000	107212108	95654128	1783988224	0.0006044048	-0.0073084533	0.0214251839
48	1311867720.2094950676	0.0172333345	0.0080273157	0.0186892655	0.0034188903	0.9643140000	107214278	95654128	1783095296	-0.0008498043	-0.0072882571	0.0206351019
49	1311867720.2421469688	0.0166362710	0.0082030086	0.0186892655	0.0033852361	1.0149750000	107215236	95654128	1784721408	-0.0009285847	-0.0054874686	0.0207650699
50	1311867720.2770779133	0.0175842326	0.0083906331	0.0186892655	0.0033732594	1.3507360000	107217454	95654128	1783730176	-0.0002256753	-0.0051576025	0.0217493288
51	1311867720.3094570637	0.0169622991	0.0085587050	0.0186892655	0.0033416345	1.2762620000	107219640	95654128	1782587392	-0.0005628191	-0.0039513437	0.0216742437
52	1311867720.3430728912	0.0185018536	0.0087499194	0.0186892655	0.0033344521	1.0515210000	107390710	95654128	1784221696	0.0002513241	-0.0048716748	0.0226219762
53	1311867720.3779859543	0.0176506303	0.0089178573	0.0186892655	0.0033039853	1.0205640000	107392896	95654128	1783463936	-0.0020126910	-0.0072552674	0.0236943699
54	1311867720.4096798897	0.0158336181	0.0090459270	0.0186892655	0.0033763125	0.9750660000	107395082	95654128	1782325248	-0.0036637634	-0.0050525926	0.0231091194
55	1311867720.4461109638	0.0154442322	0.0091622598	0.0186892655	0.0033504113	0.8995190000	107396104	95654128	1783951360	-0.0039945040	-0.0040423814	0.0235865843
56	1311867720.4799289703	0.0157970544	0.0092807383	0.0186892655	0.0033643617	0.9746930000	107398322	95654128	1785618432	-0.0049072402	-0.0060863467	0.0246176403
57	1311867720.5104389191	0.0140389428	0.0093642155	0.0186892655	0.0034866180	0.9599240000	107400444	95654128	1784365056	-0.0060537523	-0.0050524110	0.0229631308
58	1311867720.5467319489	0.0130168777	0.0094271925	0.0186892655	0.0035078051	1.0714070000	107401466	95654128	1783984128	-0.0078894580	-0.0047405832	0.0217906293
59	1311867720.5793280602	0.0127825448	0.0094840628	0.0186892655	0.0035921465	1.1598260000	107403652	95654128	1785761792	-0.0092948005	-0.0070593716	0.0227423720
60	1311867720.6121249199	0.0125289401	0.0095348108	0.0186892655	0.0035947019	1.1009230000	107405838	95654128	1784893440	-0.0098990286	-0.0066178837	0.0222088844
61	1311867720.6463210583	0.0120612634	0.0095762281	0.0186892655	0.0035735745	1.0388990000	107406828	95654128	1784475648	-0.0107465703	-0.0061997776	0.0207577627
62	1311867720.6798269749	0.0125320489	0.0096239026	0.0186892655	0.0035587229	0.9377080000	107408966	95654128	1783734272	-0.0117701143	-0.0078508109	0.0215242077
63	1311867720.7102439404	0.0137792490	0.0096898605	0.0186892655	0.0035438624	1.0756320000	107581240	95654128	1783459840	-0.0124167250	-0.0100678820	0.0222235750
64	1311867720.7451629639	0.0131775979	0.0097443564	0.0186892655	0.0035236818	1.0154630000	107582198	95654128	1785384960	-0.0125533994	-0.0084021818	0.0203772187
65	1311867720.7790179253	0.0151415914	0.0098273908	0.0186892655	0.0035011495	1.1983870000	107594688	95654128	1784475648	-0.0101235081	-0.0064773606	0.0220056251
66	1311867720.8115909100	0.0149776414	0.0099054249	0.0186892655	0.0034773616	1.9131320000	107607370	95654128	1784094720	-0.0108294226	-0.0056519294	0.0235108696
67	1311867720.8467299938	0.0143667646	0.0099720120	0.0186892655	0.0034795197	1.0490980000	107608360	95654128	1785745408	-0.0116678365	-0.0044655725	0.0238703676
68	1311867720.8813319206	0.0153636839	0.0100513013	0.0186892655	0.0034790009	1.0387230000	107610578	95654128	1784983552	-0.0109837120	-0.0038010105	0.0247210655
69	1311867720.9149661064	0.0156346317	0.0101322191	0.0186892655	0.0034673298	1.0122110000	107612764	95654128	1784606720	-0.0111569557	-0.0032743465	0.0252200980
70	1311867720.9500010014	0.0163299404	0.0102207580	0.0186892655	0.0034506941	1.2270750000	107613722	95654128	1783459840	-0.0110552525	-0.0048190402	0.0250407513
71	1311867720.9797990322	0.0163018778	0.0103064076	0.0186892655	0.0034318441	1.3332160000	107615828	95654128	1783205888	-0.0114123905	-0.0049365782	0.0252374634
72	1311867721.0093889236	0.0156994686	0.0103813112	0.0186892655	0.0034107604	1.0597550000	107787986	95654128	1784856576	-0.0123166814	-0.0051258681	0.0252689086
73	1311867721.0478379726	0.0170324519	0.0104724227	0.0186892655	0.0033976883	1.0896700000	107789040	95654128	1784098816	-0.0113272332	-0.0056866049	0.0250176582
74	1311867721.0794439316	0.0157377478	0.0105435758	0.0186892655	0.0033775798	1.1527260000	107791194	95654128	1783463936	-0.0129578887	-0.0057891118	0.0247508548
75	1311867721.1103579998	0.0166487116	0.0106249776	0.0186892655	0.0033663414	0.9818830000	107793364	95654128	1785241600	-0.0125778746	-0.0060551944	0.0253591929
76	1311867721.1467890739	0.0172609817	0.0107122934	0.0186892655	0.0034061145	1.0561190000	107794354	95654128	1784123392	-0.0122781573	-0.0058161346	0.0244205613
77	1311867721.1774179935	0.0172547139	0.0107972599	0.0186892655	0.0034342644	0.9515520000	107796540	95654128	1783738368	-0.0123350453	-0.0065268520	0.0237335023
78	1311867721.2112360001	0.0158001631	0.0108613997	0.0186892655	0.0034274118	0.8384160000	107798726	95654128	1785495552	-0.0135893598	-0.0049615093	0.0235195663
79	1311867721.2469010353	0.0160085186	0.0109265531	0.0186892655	0.0034242454	1.0406930000	107799700	95654128	1784369152	-0.0142119955	-0.0057782414	0.0243624169
80	1311867721.2800450325	0.0147097195	0.0109738427	0.0186892655	0.0034401777	0.9345890000	107801886	95654128	1783988224	-0.0153061282	-0.0043307575	0.0235034004
81	1311867721.3099579811	0.0157909766	0.0110333135	0.0186892655	0.0034522929	0.8763670000	107804040	95654128	1785765888	-0.0152249979	-0.0059130737	0.0240329690
82	1311867721.3483059406	0.0141194575	0.0110709494	0.0186892655	0.0034621516	0.8252880000	107976694	95654128	1784860672	-0.0165398214	-0.0046584010	0.0222986843
83	1311867721.3790040016	0.0127378153	0.0110910321	0.0186892655	0.0034484024	0.8741960000	107978784	95654128	1784381440	-0.0188459344	-0.0049664043	0.0223055147
84	1311867721.4092550278	0.0133914873	0.0111184185	0.0186892655	0.0034413901	0.8738150000	107980938	95654128	1786011648	-0.0183700472	-0.0045880009	0.0220565815
85	1311867721.4478130341	0.0139813004	0.0111520994	0.0186892655	0.0034235953	0.8613320000	107982024	95654128	1784598528	-0.0186011661	-0.0051092319	0.0219708066
86	1311867721.4768960476	0.0150675634	0.0111976281	0.0186892655	0.0034081436	0.8711950000	107984146	95654128	1784127488	-0.0176651012	-0.0048307772	0.0219158325
87	1311867721.5093359947	0.0157048423	0.0112494352	0.0186892655	0.0033910010	0.7594570000	107986300	95654128	1785888768	-0.0176956169	-0.0047773956	0.0232007224
88	1311867721.5451331139	0.0146802841	0.0112884221	0.0186892655	0.0033716622	0.7205700000	107987242	95654128	1784598528	-0.0193643346	-0.0051610442	0.0222624838
89	1311867721.5769670010	0.0132305892	0.0113102442	0.0186892655	0.0033619270	0.8568320000	108159940	95654128	1783984128	-0.0201985203	-0.0031992695	0.0219237655
90	1311867721.6129651070	0.0132819163	0.0113321516	0.0186892655	0.0033580790	0.7859900000	108162158	95654128	1785720832	-0.0213073064	-0.0038509180	0.0225113295
91	1311867721.6496050358	0.0136017697	0.0113570925	0.0186892655	0.0033579440	1.0586270000	108163180	95654128	1784614912	-0.0215736572	-0.0048826686	0.0209955089
92	1311867721.6800351143	0.0138126761	0.0113837836	0.0186892655	0.0033514962	1.2536740000	108165334	95654128	1783840768	-0.0210155938	-0.0042758812	0.0189512670
93	1311867721.7162289619	0.0145348795	0.0114176664	0.0186892655	0.0033609285	1.0716320000	108167616	95654128	1785487360	-0.0215769727	-0.0054592821	0.0208426490
94	1311867721.7467949390	0.0149706537	0.0114554641	0.0186892655	0.0034009407	1.0236840000	108168510	95654128	1784238080	-0.0214886367	-0.0053804712	0.0203741863
95	1311867721.7787001133	0.0116380472	0.0114573860	0.0186892655	0.0033920086	0.8531100000	108170696	95654128	1783328768	-0.0234614313	-0.0020828575	0.0192146879
96	1311867721.8154830933	0.0141554773	0.0114854912	0.0186892655	0.0033917915	0.9813030000	108172946	95654128	1784999936	-0.0214048065	-0.0024422328	0.0200255159
97	1311867721.8485159874	0.0160972252	0.0115330348	0.0186892655	0.0033904022	1.5620240000	108173904	95654128	1783713792	-0.0213616826	-0.0052694641	0.0196735263
98	1311867721.8778810501	0.0145663591	0.0115639871	0.0186892655	0.0033820027	0.9806170000	108176058	95654128	1782841344	-0.0222046450	-0.0034007868	0.0189833492
99	1311867721.9146931171	0.0133083127	0.0115816065	0.0186892655	0.0033712615	0.9985770000	108178180	95654128	1784598528	-0.0232875943	-0.0023075999	0.0185379833
100	1311867721.9467151165	0.0152536817	0.0116183273	0.0186892655	0.0033694641	0.8184000000	108179090	95654128	1783586816	-0.0229648426	-0.0047559123	0.0182068385
101	1311867721.9773728848	0.0136804851	0.0116387447	0.0186892655	0.0033901790	0.9099650000	108181276	95654128	1782587392	-0.0232062768	-0.0024538569	0.0174118187
