SLAMBench Report run started:	2018-02-18 08:03:17

Properties:
=================

frame-limit: 0
log-file: output//violons_libkfusion-cpp_living_room_traj1_loop.log
input: datasets/ICL_NUIM/living_room_traj1_loop.slam
load-library: build/lib/libkfusion-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002853	0.0000002853	0.0000002853	nan	2.6574650000	1.3130320000	0.0737290000	0.1323700000	0.0000100000	1.1378260000	105980039	0	1763852288	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0004263568	0.0002133210	0.0004263568	0.0040680924	1.4980830000	1.3040300000	0.0528770000	0.1327040000	0.0000020000	0.0082210000	108236892	0	1766146048	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0024013643	0.0009426688	0.0024013643	0.0044545736	1.4646490000	1.2713430000	0.0528320000	0.1320960000	0.0000030000	0.0081460000	108238890	0	1767923712	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0017003767	0.0011320958	0.0024013643	0.0049657424	2.5597450000	1.2658570000	0.0533640000	0.1322650000	1.0998580000	0.0082590000	108240892	0	1776558080	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0009065330	0.0010869832	0.0024013643	0.0044320788	4.0664060000	1.2706130000	0.4578680000	0.1323210000	1.0909160000	1.1145210000	108242886	0	1778835456	4.0000848770	3.9995701313	4.0000095367
6	0.2000000000	0.0008840567	0.0010531621	0.0024013643	0.0040876587	2.6951520000	1.2643840000	0.3294230000	0.0000020000	1.0929580000	0.0082310000	108245216	0	1780477952	4.0001263618	3.9984500408	3.9996976852
7	0.2400000000	0.0009241536	0.0010347323	0.0024013643	0.0037765396	2.8533590000	1.2662520000	0.3605260000	0.1328420000	1.0853320000	0.0082160000	108246890	0	1782128640	4.0001130104	3.9982912540	3.9996080399
8	0.2800000000	0.0010749736	0.0010397625	0.0024013643	0.0035588516	2.6513920000	1.2841060000	0.2694580000	0.0000020000	1.0893460000	0.0082950000	108248564	0	1784033280	4.0004034042	3.9995920658	4.0000348091
9	0.3200000000	0.0010729767	0.0010434530	0.0024013643	0.0033320940	3.8482810000	1.2641250000	0.2686820000	0.1323810000	1.0834340000	1.0994670000	108250878	0	1785565184	4.0005893707	3.9996206760	4.0000782013
10	0.3600000000	0.0011573778	0.0010548455	0.0024013643	0.0031521884	2.6331060000	1.2584060000	0.2755720000	0.0000030000	1.0907320000	0.0082150000	108253864	0	1787207680	4.0006341934	3.9989976883	3.9999096394
11	0.4000000000	0.0011061265	0.0010595074	0.0024013643	0.0029931919	2.7070310000	1.2582850000	0.2244620000	0.1321680000	1.0837130000	0.0082130000	108255538	0	1785430016	4.0004959106	3.9995486736	4.0000967979
12	0.4400000000	0.0010838739	0.0010615379	0.0024013643	0.0028619509	2.6906610000	1.2744130000	0.3244890000	0.0000030000	1.0833890000	0.0081740000	108257212	0	1787215872	4.0005831718	4.0002684593	4.0004057884
13	0.4800000000	0.0011524699	0.0010685327	0.0024013643	0.0027523511	4.1086020000	1.2578360000	0.5333160000	0.1321220000	1.0813860000	1.1037360000	108258886	0	1784168448	4.0004267693	4.0009284019	4.0007166862
14	0.5200000000	0.0011287788	0.0010728360	0.0024013643	0.0027276346	2.7104210000	1.2588980000	0.3621390000	0.0000020000	1.0808860000	0.0082940000	108260560	0	1785810944	4.0006046295	4.0009522438	4.0007972717
15	0.5600000000	0.0011157219	0.0010756950	0.0024013643	0.0027161138	2.7679570000	1.2669420000	0.2730480000	0.1326630000	1.0869200000	0.0081740000	108262234	0	1787588608	4.0006380081	4.0009722710	4.0008926392
16	0.6000000000	0.0011511294	0.0010804097	0.0024013643	0.0026448283	2.6115970000	1.2962990000	0.2233290000	0.0000050000	1.0835280000	0.0082220000	108263908	0	1784541184	4.0010671616	4.0008993149	4.0008115768
17	0.6400000000	0.0012706184	0.0010915984	0.0024013643	0.0025679439	3.8130380000	1.2570990000	0.2292990000	0.1375970000	1.0866510000	1.1021580000	108266862	0	1786064896	4.0009837151	4.0008897781	4.0008578300
18	0.6800000000	0.0013085885	0.0011036534	0.0024013643	0.0025014821	2.5809690000	1.2584600000	0.2279200000	0.0000040000	1.0861820000	0.0081730000	108271160	0	1787842560	4.0010824203	4.0001606941	4.0006117821
19	0.7200000000	0.0012404835	0.0011108550	0.0024013643	0.0025390232	2.7625790000	1.2649860000	0.2721900000	0.1321890000	1.0847350000	0.0082310000	108272834	0	1784414208	4.0010032654	4.0001630783	4.0005259514
20	0.7600000000	0.0012224437	0.0011164345	0.0024013643	0.0026346410	2.6568350000	1.2852280000	0.2740950000	0.0000020000	1.0890150000	0.0082410000	108274508	0	1785937920	4.0007801056	3.9999024868	4.0004491806
21	0.8000000000	0.0013098217	0.0011256434	0.0024013643	0.0027449825	3.8502120000	1.2635870000	0.2707880000	0.1324120000	1.0835910000	1.0995600000	108276182	0	1787842560	4.0007948875	3.9998397827	4.0002937317
22	0.8400000000	0.0012810376	0.0011327067	0.0024013643	0.0027258760	2.6234720000	1.2666730000	0.2624500000	0.0000200000	1.0857460000	0.0083170000	108277856	0	1784541184	4.0008220673	4.0000267029	4.0004067421
23	0.8800000000	0.0012887456	0.0011394910	0.0024013643	0.0027024875	2.8079700000	1.2593640000	0.3262460000	0.1322030000	1.0816700000	0.0082250000	108279530	0	1785946112	4.0005874634	3.9997994900	4.0003352165
24	0.9200000000	0.0013760220	0.0011493465	0.0024013643	0.0026495249	2.8332410000	1.2873950000	0.4556690000	0.0000040000	1.0816680000	0.0082200000	108281204	0	1787850752	4.0006713867	4.0000166893	4.0003342628
25	0.9600000000	0.0013912527	0.0011590227	0.0024013643	0.0025961165	3.7973910000	1.2590980000	0.2196040000	0.1326550000	1.0878530000	1.0979000000	108282878	0	1784160256	4.0004811287	3.9999401569	4.0003433228
26	1.0000000000	0.0014210518	0.0011691008	0.0024013643	0.0025454135	2.9247800000	1.2573090000	0.5770730000	0.0000040000	1.0819010000	0.0081980000	108284552	0	1785683968	4.0006232262	4.0002741814	4.0003814697
27	1.0400000000	0.0015453736	0.0011830368	0.0024013643	0.0025017583	2.7155640000	1.2620760000	0.2275200000	0.1321620000	1.0852220000	0.0083030000	108286226	0	1787461632	4.0004601479	4.0003190041	4.0003733635
28	1.0800000000	0.0015380066	0.0011957143	0.0024013643	0.0024757305	2.6124960000	1.2932860000	0.2269000000	0.0000050000	1.0837950000	0.0082130000	108287900	0	1784414208	4.0003800392	4.0001549721	4.0004057884
29	1.1200000000	0.0014713308	0.0012052183	0.0024013643	0.0024411417	3.7891720000	1.2658250000	0.2079950000	0.1323170000	1.0830490000	1.0996090000	108289574	0	1785937920	4.0000190735	4.0003018379	4.0005135536
30	1.1600000000	0.0015675952	0.0012172976	0.0024013643	0.0024123758	2.5873810000	1.2601600000	0.2269310000	0.0000050000	1.0917290000	0.0082370000	108291248	0	1787842560	4.0002756119	4.0008268356	4.0004901886
31	1.2000000000	0.0014951236	0.0012262597	0.0024013643	0.0023903066	2.8070200000	1.2596120000	0.3222130000	0.1321880000	1.0844380000	0.0082300000	108292922	0	1784414208	4.0000343323	4.0005135536	4.0004625320
32	1.2400000000	0.0014779625	0.0012341254	0.0024013643	0.0023572076	2.6045420000	1.2802560000	0.2290710000	0.0000040000	1.0865890000	0.0082390000	108294596	0	1785937920	3.9997665882	4.0001144409	4.0004196167
33	1.2800000000	0.0015023635	0.0012422538	0.0024013643	0.0023522998	3.8132880000	1.2626660000	0.2232460000	0.1326490000	1.0873990000	1.1069950000	108298830	0	1787842560	3.9995865822	4.0002036095	4.0005879402
34	1.3200000000	0.0016294258	0.0012536412	0.0024013643	0.0023410475	2.5789320000	1.2587100000	0.2263610000	0.0000040000	1.0853480000	0.0081680000	108305752	0	1784549376	3.9991922379	4.0000429153	4.0006513596
35	1.3600000000	0.0014812556	0.0012601445	0.0024013643	0.0023239095	2.8042220000	1.2572270000	0.3154660000	0.1324370000	1.0906060000	0.0081670000	108307426	0	1785946112	3.9987943172	3.9990282059	4.0004086494
36	1.4000000000	0.0015137712	0.0012671897	0.0024013643	0.0022975471	2.9430540000	1.2942330000	0.5546820000	0.0000050000	1.0856140000	0.0081690000	108309100	0	1787850752	3.9983792305	3.9989931583	4.0003929138
37	1.4400000000	0.0013916824	0.0012705544	0.0024013643	0.0022661737	3.9581610000	1.2579530000	0.3861300000	0.1322180000	1.0823170000	1.0991980000	108310774	0	1784414208	3.9980821609	3.9994897842	4.0005965233
38	1.4800000000	0.0013100910	0.0012715948	0.0024013643	0.0022353568	2.6850820000	1.2570490000	0.3319780000	0.0000030000	1.0875580000	0.0081620000	108312448	0	1785937920	3.9977526665	3.9989538193	4.0006341934
39	1.5200000000	0.0012513357	0.0012710753	0.0024013643	0.0022164747	2.7744710000	1.2616450000	0.2766250000	0.1324630000	1.0951210000	0.0082420000	108314122	0	1787842560	3.9970283508	3.9974632263	4.0002694130
40	1.5600000000	0.0011237465	0.0012673921	0.0024013643	0.0022930251	2.6650490000	1.2820730000	0.2716720000	0.0000040000	1.1027620000	0.0081790000	108315796	0	1784541184	3.9966278076	3.9978203773	4.0006837845
41	1.6000000000	0.0011373149	0.0012642195	0.0024013643	0.0024316016	3.9367620000	1.2593240000	0.3558990000	0.1322240000	1.0856520000	1.1032650000	108317470	0	1785937920	3.9962587357	3.9990520477	4.0014181137
42	1.6400000000	0.0011788175	0.0012621861	0.0024013643	0.0025062671	2.6762130000	1.2647700000	0.3178950000	0.0000040000	1.0849230000	0.0082570000	108319144	0	1787842560	3.9956028461	3.9988555908	4.0017681122
43	1.6800000000	0.0012126364	0.0012610338	0.0024013643	0.0025111085	2.8110100000	1.2570920000	0.3257410000	0.1322090000	1.0873510000	0.0082370000	108320818	0	1784414208	3.9952816963	3.9988088608	4.0023140907
44	1.7200000000	0.0012438796	0.0012606439	0.0024013643	0.0024928794	2.7721190000	1.2558170000	0.4242720000	0.0000030000	1.0834320000	0.0082150000	108322492	0	1786191872	3.9948809147	3.9991953373	4.0029859543
