SLAMBench Report run started:	2018-02-18 10:46:06

Properties:
=================

frame-limit: 0
log-file: output//violons_libkfusion-cpp_rgbd_dataset_freiburg1_rpy.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_rpy.slam
load-library: build/lib/libkfusion-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031229.5287840366	0.0606188253	0.0606188253	0.0606188253	nan	2.4481420000	0.9090340000	0.0545170000	0.1159810000	0.0000090000	1.3670420000	106428375	0	1770766336	4.0000000000	4.0000000000	4.0000000000
2	1305031229.5644419193	0.0642096773	0.0624142513	0.0642096773	0.1658526063	1.1084880000	0.9439950000	0.0412580000	0.1158940000	0.0000020000	0.0069170000	109177604	0	1769758720	4.0000000000	4.0000000000	4.0000000000
3	1305031229.5966169834	0.0662607327	0.0636964117	0.0662607327	0.1252030593	1.0645200000	0.9006010000	0.0409200000	0.1157480000	0.0000030000	0.0068490000	109180114	0	1771155456	4.0000000000	4.0000000000	4.0000000000
4	1305031229.6287899017	0.0688454211	0.0649836641	0.0688454211	0.1129914361	2.3629920000	0.9073660000	0.0413810000	0.1159180000	1.2910160000	0.0070620000	109182596	0	1780297728	4.0000000000	4.0000000000	4.0000000000
5	1305031229.6646571159	0.0660009906	0.0651871294	0.0688454211	0.1146828825	3.7148890000	0.9026260000	0.3995230000	0.1174240000	1.1337820000	1.1612500000	109185134	0	1782329344	3.9731409550	4.0052924156	4.0138816833
6	1305031229.6968429089	0.0563660786	0.0637169542	0.0688454211	0.1026617663	2.4915210000	0.9134420000	0.4004200000	0.0000030000	1.1702760000	0.0071120000	109188008	0	1783963648	3.9885725975	3.9999763966	4.0209732056
7	1305031229.7290771008	0.0504580960	0.0618228316	0.0688454211	0.0944324161	2.4714010000	0.9234080000	0.4044470000	0.1167890000	1.0192640000	0.0071430000	109190162	0	1785741312	3.9916918278	4.0025815964	4.0272111893
8	1305031229.7648689747	0.0483699813	0.0601412253	0.0688454211	0.0875849680	2.2741710000	0.9314440000	0.2700540000	0.0000030000	1.0651150000	0.0072780000	109192412	0	1787392000	3.9982845783	3.9968996048	4.0331091881
9	1305031229.7969229221	0.0485966839	0.0588584985	0.0688454211	0.0820246057	3.3347450000	0.9509700000	0.4057280000	0.1179070000	0.9057110000	0.9541260000	109195238	0	1784725504	3.9983441830	3.9944641590	4.0363526344
10	1305031229.8256299496	0.0431757681	0.0572902255	0.0688454211	0.0773875145	2.1603850000	0.9411170000	0.2416460000	0.0000030000	0.9700430000	0.0072730000	109198672	0	1786122240	4.0013890266	3.9980561733	4.0419950485
11	1305031229.8630619049	0.0423466638	0.0559317199	0.0688454211	0.0737733632	2.3656750000	0.9989070000	0.4088290000	0.1200680000	0.8302030000	0.0073690000	109200986	0	1787899904	4.0051550865	3.9987044334	4.0450439453
12	1305031229.8969380856	0.0430087671	0.0548548071	0.0688454211	0.0708056168	2.0954290000	0.9771670000	0.2089370000	0.0000060000	0.9016430000	0.0073600000	109203172	0	1784598528	4.0110373497	4.0005750656	4.0481500626
13	1305031229.9262549877	0.0434661098	0.0539787535	0.0688454211	0.0678461132	3.1721980000	0.9842680000	0.4142880000	0.1223510000	0.7922990000	0.8586590000	109205326	0	1785995264	4.0163807869	4.0022959709	4.0533380508
14	1305031229.9662408829	0.0455673262	0.0533779373	0.0688454211	0.0652208650	2.3042090000	0.9817560000	0.4260240000	0.0000050000	0.8887230000	0.0073930000	109207640	0	1788035072	4.0200529099	4.0031991005	4.0585145950
15	1305031229.9979310036	0.0476748757	0.0529977332	0.0688454211	0.0632078279	2.1888840000	0.9798540000	0.3114120000	0.1239810000	0.7659130000	0.0074020000	109209794	0	1784479744	4.0226144791	4.0032200813	4.0627489090
16	1305031230.0300021172	0.0505405031	0.0528441563	0.0688454211	0.0611116775	2.2402450000	0.9747410000	0.4279820000	0.0000040000	0.8298350000	0.0073430000	109211980	0	1785876480	4.0252823830	4.0038352013	4.0670242310
17	1305031230.0656960011	0.0552398823	0.0529850813	0.0688454211	0.0592807765	3.0069880000	0.9726090000	0.3494430000	0.1248320000	0.7470540000	0.8127020000	109215510	0	1787899904	4.0275554657	4.0024290085	4.0702757835
18	1305031230.0982739925	0.0571156740	0.0532145587	0.0688454211	0.0575974812	2.0326660000	0.9721660000	0.2486350000	0.0000030000	0.8042630000	0.0072550000	109220320	0	1784725504	4.0274138451	4.0023121834	4.0726714134
19	1305031230.1299350262	0.0597089007	0.0535563662	0.0688454211	0.0559950801	2.2689570000	0.9749000000	0.4212780000	0.1254860000	0.7396770000	0.0072650000	109222506	0	1786376192	4.0282998085	4.0031056404	4.0757756233
20	1305031230.1657800674	0.0646792650	0.0541125111	0.0688454211	0.0545690767	2.1978350000	0.9840140000	0.4317410000	0.0000030000	0.7743820000	0.0073350000	109224756	0	1788153856	4.0298671722	4.0024428368	4.0791015625
21	1305031230.1977820396	0.0679935664	0.0547735138	0.0688454211	0.0532461929	2.9515710000	0.9888580000	0.3175430000	0.1261530000	0.7285770000	0.7900740000	109226942	0	1785106432	4.0303006172	4.0010695457	4.0815205574
22	1305031230.2298529148	0.0680308193	0.0553761186	0.0688454211	0.0520177736	2.1786210000	0.9729500000	0.4309990000	0.0000030000	0.7669040000	0.0074030000	109229128	0	1786503168	4.0269823074	4.0007295609	4.0821390152
23	1305031230.2655899525	0.0682528242	0.0559359753	0.0688454211	0.0509023660	2.2693280000	0.9967210000	0.3935990000	0.1271270000	0.7441080000	0.0074120000	109231378	0	1785614336	4.0229816437	3.9992043972	4.0824165344
24	1305031230.2979929447	0.0692197308	0.0564894651	0.0692197308	0.0497987258	2.0996180000	0.9806620000	0.3252970000	0.0000040000	0.7858870000	0.0074070000	109233564	0	1787011072	4.0208272934	3.9994969368	4.0840935707
25	1305031230.3351120949	0.0718950778	0.0571056896	0.0718950778	0.0487962705	3.1140130000	0.9922440000	0.3565870000	0.1280370000	0.7815980000	0.8551660000	109235846	0	1784725504	4.0190200806	3.9967234135	4.0856904984
26	1305031230.3656799793	0.0700170323	0.0576022797	0.0718950778	0.0478359869	2.2503040000	0.9927070000	0.4381920000	0.0000040000	0.8115650000	0.0074360000	109238000	0	1786249216	4.0146636963	3.9976353645	4.0862083435
27	1305031230.3973290920	0.0693284497	0.0580365823	0.0718950778	0.0469100171	2.3830300000	1.0352070000	0.3951870000	0.1278550000	0.8169370000	0.0074410000	109240218	0	1788153856	4.0104990005	3.9964916706	4.0877747536
28	1305031230.4368140697	0.0725219548	0.0585539171	0.0725219548	0.0465487219	2.2841490000	0.9854910000	0.4387100000	0.0000040000	0.8521770000	0.0073750000	109242500	0	1785004032	4.0091047287	3.9956612587	4.0906915665
29	1305031230.4653120041	0.0704984516	0.0589657976	0.0725219548	0.0458260630	3.1794650000	0.9882490000	0.2851820000	0.1285040000	0.8608620000	0.9162460000	109244622	0	1786511360	4.0008912086	3.9912579060	4.0885863304
30	1305031230.4972999096	0.0672340915	0.0592414074	0.0725219548	0.0450827470	2.2068510000	0.9912430000	0.2911330000	0.0000030000	0.9165690000	0.0075060000	109246840	0	1785360384	3.9915728569	3.9890182018	4.0858449936
31	1305031230.5301918983	0.0661993772	0.0594658580	0.0725219548	0.0443580984	2.4929000000	0.9985690000	0.4208260000	0.1281930000	0.9375370000	0.0073690000	109248994	0	1786884096	3.9839267731	3.9854371548	4.0843529701
32	1305031230.5661149025	0.0672308952	0.0597085154	0.0725219548	0.0440596886	2.3243670000	0.9989850000	0.3245450000	0.0000030000	0.9930090000	0.0074240000	109251276	0	1784725504	3.9769978523	3.9823527336	4.0850973129
33	1305031230.5988430977	0.0647715777	0.0598619415	0.0725219548	0.0433980444	3.6133950000	1.0028030000	0.4162680000	0.1265530000	1.0131280000	1.0542020000	109256022	0	1786122240	3.9668979645	3.9797532558	4.0820484161
34	1305031230.6319139004	0.0626429319	0.0599437354	0.0725219548	0.0428705034	2.3775820000	0.9803820000	0.3176430000	0.0000030000	1.0718100000	0.0073190000	109263488	0	1787899904	3.9532177448	3.9748387337	4.0805039406
35	1305031230.6660470963	0.0582885966	0.0598964457	0.0725219548	0.0423572619	2.5950180000	0.9617730000	0.4044110000	0.1266260000	1.0945050000	0.0072560000	109265706	0	1784852480	3.9399368763	3.9758005142	4.0765290260
36	1305031230.6979451180	0.0602404587	0.0599060016	0.0725219548	0.0418108931	2.3502290000	0.9587070000	0.2379920000	0.0000040000	1.1459560000	0.0071240000	109267860	0	1786376192	3.9316365719	3.9710834026	4.0788712502
37	1305031230.7336409092	0.0608481355	0.0599314647	0.0725219548	0.0414436737	3.8271120000	0.9543170000	0.3930270000	0.1246880000	1.1619660000	1.1926530000	109270078	0	1785741312	3.9235775471	3.9693584442	4.0755014420
38	1305031230.7659239769	0.0649072379	0.0600624061	0.0725219548	0.0408977137	2.5703650000	0.9596840000	0.3959140000	0.0000020000	1.2071720000	0.0071500000	109272296	0	1787011072	3.9147830009	3.9637444019	4.0738596916
39	1305031230.7973229885	0.0690710917	0.0602933980	0.0725219548	0.0404164029	2.6034640000	0.9433350000	0.2873460000	0.1243440000	1.2409280000	0.0070620000	109274482	0	1784471552	3.9065630436	3.9583132267	4.0711636543
40	1305031230.8317570686	0.0749419928	0.0606596129	0.0749419928	0.0399384296	2.6746840000	0.9903360000	0.3885520000	0.0000030000	1.2882050000	0.0071240000	109276700	0	1786122240	3.8970949650	3.9516031742	4.0700778961
41	1305031230.8655419350	0.0765458494	0.0610470821	0.0765458494	0.0396842026	4.0049450000	0.9400390000	0.2504370000	0.1243140000	1.3286850000	1.3609800000	109278886	0	1788035072	3.8880987167	3.9491767883	4.0701293945
42	1305031230.8973939419	0.0843636543	0.0616022386	0.0843636543	0.0392720462	2.7124050000	0.9424130000	0.3803630000	0.0000030000	1.3819100000	0.0070770000	109281104	0	1784987648	3.8805048466	3.9413206577	4.0767660141
43	1305031230.9373099804	0.1041208804	0.0625910442	0.1041208804	0.0394639969	2.8673910000	0.9273430000	0.3811950000	0.1244880000	1.4267710000	0.0071050000	109283386	0	1786630144	3.8625977039	3.9255459309	4.0899190903
44	1305031230.9650349617	0.1131963581	0.0637411650	0.1131963581	0.0396666571	2.7770340000	0.9656160000	0.3495420000	0.0000030000	1.4543420000	0.0070350000	109285508	0	1785741312	3.8538897038	3.9240691662	4.1106057167
