SLAMBench Report run started:	2018-02-18 11:16:42

Properties:
=================

frame-limit: 0
log-file: output//violons_libkfusion-cpp_rgbd_dataset_freiburg1_xyz.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-library: build/lib/libkfusion-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1753039360	0.0253987648	0.0253987648	0.0253987648	nan	2.5541610000	0.9495920000	0.0554780000	0.1174420000	0.0000080000	1.4300110000	106449111	0	1770606592	4.0000000000	4.0000000000	4.0000000000
2	1305031102.2112140656	0.0277590584	0.0265789116	0.0277590584	0.0329534858	1.1037450000	0.9363370000	0.0424740000	0.1173590000	0.0000020000	0.0071560000	109198308	0	1772630016	4.0000000000	4.0000000000	4.0000000000
3	1305031102.2432110310	0.0337214470	0.0289597567	0.0337214470	0.0304148611	1.1240540000	0.9563610000	0.0426300000	0.1173440000	0.0000020000	0.0073100000	109200818	0	1774407680	4.0000000000	4.0000000000	4.0000000000
4	1305031102.2753260136	0.0413634107	0.0320606702	0.0413634107	0.0283056894	2.3468880000	0.9748970000	0.0426000000	0.1171050000	1.2047620000	0.0071720000	109203332	0	1783169024	4.0000000000	4.0000000000	4.0000000000
5	1305031102.3112668991	0.0195325762	0.0295550514	0.0413634107	0.0301328891	3.5507680000	0.9495830000	0.2402750000	0.1163650000	1.1169010000	1.1273260000	109205902	0	1785454592	3.9956083298	3.9985203743	4.0339026451
6	1305031102.3432331085	0.0165487379	0.0273873325	0.0413634107	0.0279495239	2.2839290000	0.9587590000	0.2441830000	0.0000030000	1.0734960000	0.0071830000	109208744	0	1787105280	3.9933271408	3.9974977970	4.0460596085
7	1305031102.3753290176	0.0143050468	0.0255184345	0.0413634107	0.0256323720	2.2843790000	0.9148360000	0.2398460000	0.1154250000	1.0067170000	0.0072240000	109210898	0	1785454592	3.9915554523	3.9987471104	4.0578465462
8	1305031102.4112579823	0.0161135532	0.0243428244	0.0413634107	0.0248950037	2.1008990000	0.9116820000	0.2026920000	0.0000030000	0.9790330000	0.0071290000	109213180	0	1787359232	3.9903795719	4.0006742477	4.0697312355
9	1305031102.4432709217	0.0140174208	0.0231955573	0.0413634107	0.0252536668	3.1751410000	0.9491360000	0.2759600000	0.1147570000	0.9093820000	0.9255610000	109216006	0	1787240448	3.9873242378	4.0034241676	4.0821056366
10	1305031102.4753179550	0.0116250403	0.0220385056	0.0413634107	0.0240300652	2.0388230000	0.9429540000	0.2128310000	0.0000030000	0.8754210000	0.0072920000	109219472	0	1785208832	3.9876480103	4.0076684952	4.0952630043
11	1305031102.5112190247	0.0164535064	0.0215307784	0.0413634107	0.0234075941	2.1837850000	0.9698200000	0.2761270000	0.1141460000	0.8161400000	0.0072170000	109221722	0	1786986496	3.9874100685	4.0066928864	4.1077718735
12	1305031102.5432200432	0.0179979354	0.0212363748	0.0413634107	0.0223196347	2.1360750000	0.9410330000	0.3858810000	0.0000060000	0.8015370000	0.0072820000	109223940	0	1785344000	3.9864935875	4.0065870285	4.1198072433
13	1305031102.5752859116	0.0202989932	0.0211642685	0.0413634107	0.0221625691	2.9826130000	0.9359630000	0.4187790000	0.1134000000	0.7479720000	0.7661430000	109226094	0	1786986496	3.9835627079	4.0057673454	4.1314249039
14	1305031102.6112329960	0.0283836257	0.0216799369	0.0413634107	0.0226180302	2.0238690000	0.9389580000	0.3520590000	0.0000050000	0.7252490000	0.0072470000	109228344	0	1785716736	3.9843041897	4.0026168823	4.1423964500
15	1305031102.6432650089	0.0308780223	0.0222931426	0.0413634107	0.0225169905	2.0198730000	0.9388400000	0.2793780000	0.1128680000	0.6812350000	0.0071970000	109230530	0	1787240448	3.9798440933	4.0030741692	4.1535253525
16	1305031102.6752851009	0.0282497071	0.0226654279	0.0413634107	0.0223324317	1.8771220000	0.9220900000	0.2769880000	0.0000030000	0.6705230000	0.0071630000	109232716	0	1785335808	3.9765012264	4.0097045898	4.1653256416
17	1305031102.7112629414	0.0316527896	0.0231940962	0.0413634107	0.0218753423	2.7666490000	0.9267590000	0.4101710000	0.1120740000	0.6494390000	0.6677680000	109236246	0	1787105280	3.9767916203	4.0127487183	4.1776680946
18	1305031102.7432339191	0.0347458757	0.0238358617	0.0413634107	0.0212933797	1.9785250000	0.9139330000	0.4166410000	0.0000020000	0.6403710000	0.0072030000	109241088	0	1785327616	3.9764461517	4.0140328407	4.1902947426
19	1305031102.7754719257	0.0331696235	0.0243271124	0.0413634107	0.0211189351	1.9785970000	0.9501690000	0.2906880000	0.1116470000	0.6183360000	0.0073720000	109243242	0	1786978304	3.9771418571	4.0198831558	4.2032251358
20	1305031102.8112320900	0.0379328988	0.0250074017	0.0413634107	0.0206063612	1.8437550000	0.9509370000	0.2855500000	0.0000030000	0.5995300000	0.0073300000	109245492	0	1785454592	3.9762976170	4.0221457481	4.2156286240
21	1305031102.8432900906	0.0390094444	0.0256741656	0.0413634107	0.0201131050	2.6671090000	0.9516200000	0.4304220000	0.1106590000	0.5755880000	0.5984170000	109247710	0	1787105280	3.9773490429	4.0256052017	4.2279887199
22	1305031102.8753631115	0.0411531404	0.0263777554	0.0413634107	0.0196993318	1.7690130000	0.9532470000	0.2474090000	0.0000050000	0.5607210000	0.0072380000	109249864	0	1785327616	3.9738907814	4.0273661613	4.2397880554
23	1305031102.9111850262	0.0446396582	0.0271717512	0.0446396582	0.0193029643	2.0174160000	0.9381630000	0.4224760000	0.1101740000	0.5389710000	0.0071790000	109252114	0	1786978304	3.9713754654	4.0300021172	4.2513899803
24	1305031102.9432289600	0.0453409366	0.0279288006	0.0453409366	0.0191911640	1.7834840000	0.9328930000	0.3177740000	0.0000050000	0.5251860000	0.0072340000	109254332	0	1785581568	3.9698698521	4.0335602760	4.2626900673
25	1305031102.9752030373	0.0475486554	0.0287135947	0.0475486554	0.0198999551	2.5169710000	0.9319590000	0.4197790000	0.1094840000	0.5187460000	0.5365840000	109256454	0	1787232256	3.9655344486	4.0359392166	4.2742624283
26	1305031103.0112149715	0.0510647967	0.0295732564	0.0510647967	0.0195083606	1.9124680000	0.9557530000	0.4355790000	0.0000030000	0.5133990000	0.0073170000	109258736	0	1785454592	3.9648766518	4.0386033058	4.2861351967
27	1305031103.0432269573	0.0534252599	0.0304566639	0.0534252599	0.0191430603	1.8538730000	0.9539110000	0.2829490000	0.1090210000	0.5000690000	0.0075080000	109260954	0	1787105280	3.9658603668	4.0412397385	4.2976789474
28	1305031103.0753190517	0.0555779561	0.0313538529	0.0555779561	0.0193357069	1.7182220000	0.9383290000	0.2807820000	0.0000030000	0.4914380000	0.0072110000	109263108	0	1785200640	3.9671678543	4.0437288284	4.3083133698
29	1305031103.1112399101	0.0594825521	0.0323238081	0.0594825521	0.0191790953	2.3052750000	0.9330750000	0.2792820000	0.1085440000	0.4832840000	0.5006340000	109265358	0	1786978304	3.9668984413	4.0455899239	4.3178935051
30	1305031103.1433179379	0.0581803992	0.0331856944	0.0594825521	0.0188755373	1.8462540000	0.9308480000	0.4278770000	0.0000040000	0.4798350000	0.0072620000	109267544	0	1785454592	3.9674363136	4.0516262054	4.3274383545
31	1305031103.1754519939	0.0602660216	0.0340592534	0.0602660216	0.0185753774	1.9563280000	0.9415750000	0.4230870000	0.1082460000	0.4757900000	0.0071950000	109269730	0	1787240448	3.9664056301	4.0536804199	4.3363981247
32	1305031103.2112200260	0.0610761009	0.0349035299	0.0610761009	0.0191004809	1.6641950000	0.9510530000	0.2456720000	0.0000050000	0.4597680000	0.0072420000	109271980	0	1785335808	3.9658954144	4.0586524010	4.3452425003
33	1305031103.2432160378	0.0621641092	0.0357296080	0.0621641092	0.0188225654	2.4065770000	0.9657100000	0.4290920000	0.1078640000	0.4423220000	0.4611120000	109276758	0	1786986496	3.9667818546	4.0620689392	4.3542499542
34	1305031103.2753698826	0.0650229454	0.0365911768	0.0650229454	0.0188545072	1.7217890000	0.9672460000	0.3246750000	0.0000030000	0.4220900000	0.0073210000	109284160	0	1785589760	3.9674775600	4.0629906654	4.3626856804
35	1305031103.3112099171	0.0700979903	0.0375485143	0.0700979903	0.0192341817	1.7418090000	0.9671980000	0.2513020000	0.1075360000	0.4080130000	0.0073010000	109286410	0	1787105280	3.9659316540	4.0604486465	4.3701715469
36	1305031103.3432230949	0.0758340433	0.0386120012	0.0758340433	0.0198419154	1.6560420000	0.9684960000	0.2816630000	0.0000040000	0.3981400000	0.0072730000	109288628	0	1785327616	3.9654870033	4.0556139946	4.3751053810
37	1305031103.3753271103	0.0763688982	0.0396324579	0.0763688982	0.0198019432	2.1023760000	0.9400050000	0.2431670000	0.1075830000	0.3960210000	0.4150430000	109290782	0	1787105280	3.9692285061	4.0556793213	4.3777890205
38	1305031103.4112598896	0.0775976405	0.0406315416	0.0775976405	0.0196933862	1.7882900000	0.9690820000	0.4193490000	0.0000030000	0.3921900000	0.0071940000	109293032	0	1785200640	3.9701297283	4.0531802177	4.3786306381
39	1305031103.4432799816	0.0807341412	0.0416598134	0.0807341412	0.0195207983	1.8712590000	0.9346930000	0.4237700000	0.1076400000	0.3975020000	0.0071880000	109295250	0	1786851328	3.9694590569	4.0481357574	4.3773732185
40	1305031103.4752740860	0.0811192095	0.0426462983	0.0811192095	0.0192878611	1.6319230000	0.9471450000	0.2807570000	0.0000040000	0.3962890000	0.0072390000	109297404	0	1785454592	3.9697344303	4.0450868607	4.3745651245
41	1305031103.5113329887	0.0811941326	0.0435864894	0.0811941326	0.0191526117	2.3321540000	0.9751340000	0.4257920000	0.1079850000	0.4020210000	0.4207180000	109299654	0	1787105280	3.9700365067	4.0407805443	4.3698334694
42	1305031103.5434439182	0.0811153427	0.0444800335	0.0811941326	0.0190261126	1.6657310000	0.9622750000	0.2855510000	0.0000050000	0.4101300000	0.0072490000	109301872	0	1785327616	3.9700148106	4.0357694626	4.3631515503
43	1305031103.5754740238	0.0802866817	0.0453127463	0.0811941326	0.0188469616	1.9401250000	0.9633260000	0.4350930000	0.1100870000	0.4237650000	0.0073540000	109304026	0	1786978304	3.9711318016	4.0310425758	4.3548889160
44	1305031103.6112229824	0.0770343617	0.0460336921	0.0811941326	0.0187167926	1.7042320000	0.9667930000	0.2905170000	0.0000050000	0.4390560000	0.0073420000	109306276	0	1785454592	3.9729042053	4.0282773972	4.3457350731
45	1305031103.6434450150	0.0753282011	0.0466846812	0.0811941326	0.0185085858	2.3014690000	0.9784430000	0.2871330000	0.1090040000	0.4537090000	0.4725760000	109308494	0	1787232256	3.9738574028	4.0236907005	4.3359274864
46	1305031103.6755230427	0.0724204332	0.0472441540	0.0811941326	0.0183371670	1.8108950000	0.9623350000	0.3603000000	0.0000040000	0.4804610000	0.0072690000	109310648	0	1785327616	3.9728178978	4.0198330879	4.3255658150
47	1305031103.7116100788	0.0688526630	0.0477039095	0.0811941326	0.0181542940	1.8385470000	0.9563290000	0.2529360000	0.1098400000	0.5116190000	0.0073200000	109312898	0	1787232256	3.9737257957	4.0162086487	4.3144388199
48	1305031103.7433259487	0.0657547414	0.0480799685	0.0811941326	0.0180084133	1.7332040000	0.9447230000	0.2462600000	0.0000050000	0.5343920000	0.0072930000	109315116	0	1785454592	3.9762902260	4.0123653412	4.3024816513
49	1305031103.7753419876	0.0638200045	0.0484011938	0.0811941326	0.0178209199	2.6268680000	0.9515250000	0.4291820000	0.1103440000	0.5553630000	0.5798470000	109317270	0	1787359232	3.9765288830	4.0066843033	4.2898831367
50	1305031103.8112421036	0.0589320771	0.0486118114	0.0811941326	0.0180232690	1.9548790000	0.9349140000	0.4267400000	0.0000050000	0.5854750000	0.0072100000	109319520	0	1785462784	3.9777123928	4.0048727989	4.2767734528
51	1305031103.8432509899	0.0550161973	0.0487373876	0.0811941326	0.0180115311	1.8811820000	0.9278890000	0.2450180000	0.1107520000	0.5897200000	0.0072490000	109321738	0	1787113472	3.9790956974	4.0025668144	4.2640242577
52	1305031103.8753609657	0.0524358787	0.0488085125	0.0811941326	0.0179545490	1.9887240000	0.9435040000	0.4304230000	0.0000050000	0.6069960000	0.0072410000	109323892	0	1785208832	3.9783837795	3.9991242886	4.2519931793
