SLAMBench Report run started:	2018-02-19 03:24:58

Properties:
=================

frame-limit: 0
log-file: output//violons_libkfusion-cuda_living_room_traj3_loop.log
input: datasets/ICL_NUIM/living_room_traj3_loop.slam
load-library: build/lib/libkfusion-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002920	0.0000002920	0.0000002920	nan	0.1023620000	0.0173210000	0.0169500000	0.0001000000	0.0000100000	0.0635630000	7868678	96830484	1770655744	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0040127714	0.0020065317	0.0040127714	0.0032323198	0.0472550000	0.0122780000	0.0080340000	0.0009110000	0.0000050000	0.0253050000	8198304	96830484	1769148416	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0039232424	0.0026454353	0.0040127714	0.0045263772	0.1068400000	0.0325750000	0.0301410000	0.0006730000	0.0000220000	0.0421890000	8200302	96830484	1767256064	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0033563883	0.0028231735	0.0040127714	0.0050261360	0.0968410000	0.0222330000	0.0197960000	0.0002020000	0.0002650000	0.0533240000	8202324	96830484	1766113280	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0020584480	0.0026702284	0.0040127714	0.0052620040	0.1396510000	0.0095890000	0.0622300000	0.0003810000	0.0002820000	0.0660110000	8204318	96830484	1765339136	4.0005674362	4.0062384605	4.0028867722
6	0.2000000000	0.0022279536	0.0025965160	0.0040127714	0.0049476665	0.1032490000	0.0095650000	0.0574240000	0.0000210000	0.0002950000	0.0348060000	8206648	96830484	1765081088	4.0035138130	3.9963679314	4.0019836426
7	0.2400000000	0.0023014175	0.0025543591	0.0040127714	0.0047215604	0.1032710000	0.0098340000	0.0509680000	0.0004040000	0.0002870000	0.0405070000	8208322	96830484	1764970496	4.0037331581	3.9863786697	3.9988594055
8	0.2800000000	0.0024058358	0.0025357936	0.0040127714	0.0043780790	0.0911480000	0.0099210000	0.0448780000	0.0000240000	0.0003210000	0.0349320000	8209996	96830484	1763807232	4.0014529228	3.9884290695	3.9979808331
9	0.3200000000	0.0023834214	0.0025188634	0.0040127714	0.0050587518	0.1200340000	0.0090140000	0.0450680000	0.0003030000	0.0003120000	0.0649560000	8212310	96830484	1763975168	4.0003538132	3.9923250675	4.0009708405
10	0.3600000000	0.0024723369	0.0025142107	0.0040127714	0.0047844902	0.0928560000	0.0092870000	0.0458020000	0.0000250000	0.0003610000	0.0360380000	8215296	96830484	1765613568	3.9983100891	3.9848978519	3.9990837574
11	0.4000000000	0.0026106657	0.0025229794	0.0040127714	0.0045836493	0.1453640000	0.0090940000	0.0938620000	0.0000570000	0.0000530000	0.0409610000	8216970	96830484	1767239680	3.9983108044	3.9888923168	3.9978291988
12	0.4400000000	0.0026466376	0.0025332842	0.0040127714	0.0046222946	0.0900070000	0.0097380000	0.0454020000	0.0000240000	0.0003760000	0.0333880000	8218644	96830484	1769017344	3.9992911816	3.9987828732	4.0008072853
13	0.4800000000	0.0025967760	0.0025381682	0.0040127714	0.0044295951	0.1208940000	0.0091450000	0.0454050000	0.0003040000	0.0003840000	0.0652760000	8220318	96830484	1770668032	4.0013036728	3.9965372086	4.0008158684
14	0.5200000000	0.0027372187	0.0025523861	0.0040127714	0.0043598152	0.0983920000	0.0111760000	0.0511950000	0.0000240000	0.0003120000	0.0338550000	8221992	96830484	1769410560	4.0040879250	3.9890961647	3.9980862141
15	0.5600000000	0.0027276226	0.0025640685	0.0040127714	0.0042910284	0.1113650000	0.0102990000	0.0640400000	0.0003730000	0.0002710000	0.0359780000	8223666	96830484	1767903232	4.0069079399	3.9907083511	3.9979023933
16	0.6000000000	0.0027499998	0.0025756892	0.0040127714	0.0041493365	0.0901130000	0.0095380000	0.0446410000	0.0000210000	0.0014840000	0.0338270000	8225340	96830484	1766739968	4.0079059601	3.9920754433	3.9981877804
17	0.6400000000	0.0027915987	0.0025883898	0.0040127714	0.0040347247	0.1355210000	0.0097150000	0.0526060000	0.0003170000	0.0003580000	0.0708150000	8228294	96830484	1765244928	4.0076589584	3.9883260727	3.9963281155
18	0.6800000000	0.0028616060	0.0026035685	0.0040127714	0.0039154018	0.1120990000	0.0092130000	0.0604470000	0.0000270000	0.0003400000	0.0416280000	8232592	96830484	1764978688	4.0069379807	3.9894137383	3.9949533939
19	0.7200000000	0.0028733131	0.0026177656	0.0040127714	0.0039408206	0.1081070000	0.0092000000	0.0566630000	0.0003090000	0.0002730000	0.0411460000	8234266	96830484	1764986880	4.0073790550	3.9935991764	3.9951674938
20	0.7600000000	0.0029136736	0.0026325610	0.0040127714	0.0041996213	0.0848460000	0.0091890000	0.0401970000	0.0000250000	0.0003020000	0.0329870000	8235940	96830484	1763819520	4.0069322586	3.9923043251	3.9925448895
21	0.8000000000	0.0028847996	0.0026445723	0.0040127714	0.0043455623	0.1162210000	0.0098670000	0.0454100000	0.0003900000	0.0003080000	0.0584270000	8237614	96830484	1763975168	4.0093746185	3.9954648018	3.9927828312
22	0.8400000000	0.0029365923	0.0026578460	0.0040127714	0.0042696657	0.1035310000	0.0100900000	0.0580490000	0.0000250000	0.0003330000	0.0331140000	8239288	96830484	1765613568	4.0094819069	3.9983503819	3.9931850433
23	0.8800000000	0.0030847939	0.0026764089	0.0040127714	0.0042417999	0.0927540000	0.0102280000	0.0441780000	0.0003120000	0.0003840000	0.0371820000	8240962	96830484	1767239680	4.0121822357	3.9920930862	3.9892170429
24	0.9200000000	0.0033510337	0.0027045183	0.0040127714	0.0042380637	0.0889130000	0.0090800000	0.0435710000	0.0000250000	0.0003740000	0.0353720000	8242636	96830484	1769017344	4.0144157410	3.9935758114	3.9894192219
