SLAMBench Report run started:	2018-02-19 03:30:52

Properties:
=================

frame-limit: 0
log-file: output//violons_libkfusion-cuda_rgbd_dataset_freiburg2_rpy.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_rpy.slam
load-library: build/lib/libkfusion-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867718.6419320107	0.0019025257	0.0019025257	0.0019025257	nan	0.2080690000	0.0177980000	0.0171920000	0.0001240000	0.0000120000	0.1372210000	15497082	96830484	1774424064	4.0000000000	4.0000000000	4.0000000000
2	1311867718.6768438816	0.0021839470	0.0020432363	0.0021839470	0.0015734782	0.0907160000	0.0237960000	0.0171100000	0.0000590000	0.0000040000	0.0389520000	25985332	96830484	1771900928	4.0000000000	4.0000000000	4.0000000000
3	1311867718.7114279270	0.0026191149	0.0022351959	0.0026191149	0.0052681777	0.0777800000	0.0172320000	0.0177040000	0.0000690000	0.0000040000	0.0317390000	25987874	96830484	1770885120	4.0000000000	4.0000000000	4.0000000000
4	1311867718.7410299778	0.0032201277	0.0024814288	0.0032201277	0.0047920722	0.0894710000	0.0159070000	0.0109560000	0.0000620000	0.0000880000	0.0560540000	25990344	96830484	1770668032	4.0000000000	4.0000000000	4.0000000000
5	1311867718.7767970562	0.0102618802	0.0040375191	0.0102618802	0.0093908740	0.2044910000	0.0107230000	0.1007330000	0.0003590000	0.0002670000	0.0745740000	25992914	96830484	1769504768	3.9892063141	3.9964056015	4.0032463074
6	1311867718.8094089031	0.0111374026	0.0052208330	0.0111374026	0.0088666867	0.1205480000	0.0109400000	0.0679720000	0.0000210000	0.0003110000	0.0347730000	25995756	96830484	1768480768	3.9877436161	3.9977455139	4.0040683746
7	1311867718.8408079147	0.0115064383	0.0061187766	0.0115064383	0.0081073943	0.1339470000	0.0092730000	0.0701090000	0.0003570000	0.0003010000	0.0419840000	25997910	96830484	1770123264	3.9869406223	3.9982502460	4.0042495728
8	1311867718.8767778873	0.0151337860	0.0072456528	0.0151337860	0.0077067087	0.0992190000	0.0113600000	0.0456370000	0.0000210000	0.0004230000	0.0356340000	26000160	96830484	1766948864	3.9833176136	3.9974684715	4.0047245026
9	1311867718.9088680744	0.0145941861	0.0080621565	0.0151337860	0.0072399251	0.1549070000	0.0102150000	0.0715190000	0.0003140000	0.0004930000	0.0660770000	26002954	96830484	1767731200	3.9835429192	3.9977228642	4.0048470497
10	1311867718.9438331127	0.0158720519	0.0088431460	0.0158720519	0.0068827351	0.1346670000	0.0094460000	0.0685680000	0.0000240000	0.0003850000	0.0360410000	26006516	96830484	1766465536	3.9821381569	3.9979324341	4.0057210922
