SLAMBench Report run started:	2018-02-19 03:33:55

Properties:
=================

frame-limit: 0
log-file: output//violons_libkfusion-cuda_rgbd_dataset_freiburg2_xyz.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-library: build/lib/libkfusion-cuda-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4622900486	0.0582520030	0.0582520030	0.0582520030	nan	0.1430140000	0.0245570000	0.0155410000	0.0000960000	0.0000110000	0.0641300000	15804914	96830484	1770934272	4.0000000000	4.0000000000	4.0000000000
2	1311867170.4941389561	0.0599970818	0.0591245424	0.0599970818	0.0035990404	0.1019250000	0.0241920000	0.0307720000	0.0003040000	0.0000210000	0.0382180000	26293100	96830484	1769693184	4.0000000000	4.0000000000	4.0000000000
3	1311867170.5264289379	0.0615839623	0.0599443490	0.0615839623	0.0081929966	0.0848160000	0.0169700000	0.0181340000	0.0000660000	0.0000050000	0.0243400000	26295642	96830484	1768529920	4.0000000000	4.0000000000	4.0000000000
4	1311867170.5623490810	0.0628964603	0.0606823768	0.0628964603	0.0105671055	0.0979760000	0.0125580000	0.0113640000	0.0000900000	0.0001270000	0.0576260000	26298240	96830484	1765875712	4.0000000000	4.0000000000	4.0000000000
5	1311867170.5942170620	0.0609255508	0.0607310116	0.0628964603	0.0111240522	0.1721570000	0.0121080000	0.0707980000	0.0003910000	0.0002710000	0.0674980000	26300714	96830484	1763966976	4.0031204224	3.9974741936	3.9970712662
6	1311867170.6260869503	0.0606068857	0.0607103240	0.0628964603	0.0110236689	0.1530400000	0.0108200000	0.0828730000	0.0000210000	0.0002800000	0.0386120000	26303556	96830484	1765011456	4.0016202927	3.9956722260	3.9953827858
7	1311867170.6621398926	0.0602267869	0.0606412472	0.0628964603	0.0105600055	0.1362940000	0.0113540000	0.0749060000	0.0003540000	0.0003060000	0.0390620000	26305838	96830484	1764585472	4.0018520355	3.9940953255	3.9936211109
8	1311867170.6942050457	0.0600393713	0.0605660127	0.0628964603	0.0100604432	0.1148600000	0.0094850000	0.0627040000	0.0000210000	0.0002850000	0.0329040000	26307992	96830484	1766244352	4.0011649132	3.9931421280	3.9919643402
9	1311867170.7263879776	0.0608413592	0.0605966068	0.0628964603	0.0100341190	0.1314870000	0.0090820000	0.0536170000	0.0003100000	0.0003770000	0.0614120000	26310818	96830484	1767870464	4.0015835762	3.9936788082	3.9908602238
10	1311867170.7620189190	0.0603601485	0.0605729610	0.0628964603	0.0098654994	0.1216210000	0.0091920000	0.0688800000	0.0000230000	0.0003050000	0.0331030000	26314412	96830484	1769521152	3.9995176792	3.9909095764	3.9892880917
11	1311867170.7941920757	0.0607255362	0.0605868314	0.0628964603	0.0096819937	0.1176770000	0.0107110000	0.0581590000	0.0003800000	0.0002660000	0.0392040000	26316534	96830484	1768566784	4.0003919601	3.9889512062	3.9876794815
12	1311867170.8262820244	0.0612730682	0.0606440178	0.0628964603	0.0096071606	0.1153620000	0.0089190000	0.0633360000	0.0000250000	0.0002820000	0.0333870000	26318752	96830484	1770283008	4.0014433861	3.9856188297	3.9859566689
13	1311867170.8622210026	0.0614246465	0.0607040662	0.0628964603	0.0096868568	0.1368790000	0.0108490000	0.0580610000	0.0003560000	0.0002690000	0.0605250000	26321002	96830484	1769455616	4.0042152405	3.9817748070	3.9834048748
14	1311867170.8943779469	0.0618292317	0.0607844352	0.0628964603	0.0094042355	0.0963760000	0.0102470000	0.0400770000	0.0000250000	0.0002860000	0.0350160000	26323156	96830484	1764970496	4.0020465851	3.9801175594	3.9812355042
15	1311867170.9263520241	0.0620423369	0.0608682953	0.0628964603	0.0093865211	0.1122580000	0.0107130000	0.0500970000	0.0002840000	0.0003380000	0.0380400000	26325374	96830484	1766662144	4.0028033257	3.9772746563	3.9783899784
16	1311867170.9621469975	0.0615640618	0.0609117807	0.0628964603	0.0091720081	0.0973930000	0.0087940000	0.0464760000	0.0000270000	0.0003140000	0.0346700000	26327624	96830484	1768423424	4.0006170273	3.9753031731	3.9754066467
17	1311867170.9942629337	0.0615488924	0.0609492578	0.0628964603	0.0090175198	0.1342220000	0.0092010000	0.0465010000	0.0003540000	0.0002780000	0.0635180000	26331058	96830484	1769775104	3.9983317852	3.9747266769	3.9725198746
18	1311867171.0262739658	0.0615876988	0.0609847268	0.0628964603	0.0087659622	0.1184540000	0.0108490000	0.0676330000	0.0000240000	0.0002970000	0.0325970000	26335900	96830484	1768677376	3.9982314110	3.9730978012	3.9697573185
19	1311867171.0623519421	0.0607667975	0.0609732568	0.0628964603	0.0091367860	0.1122540000	0.0089710000	0.0451080000	0.0003280000	0.0002690000	0.0392570000	26338150	96830484	1770283008	3.9972741604	3.9699807167	3.9667031765
20	1311867171.0942349434	0.0605248772	0.0609508378	0.0628964603	0.0090692939	0.1171090000	0.0106460000	0.0511780000	0.0000260000	0.0003390000	0.0335380000	26340304	96830484	1768648704	3.9972934723	3.9690694809	3.9645543098
21	1311867171.1262509823	0.0605401620	0.0609312819	0.0628964603	0.0089249978	0.1487860000	0.0096820000	0.0701510000	0.0000590000	0.0000510000	0.0617400000	26342522	96830484	1768169472	3.9977991581	3.9692590237	3.9624040127
22	1311867171.1622469425	0.0602495410	0.0609002936	0.0628964603	0.0088215898	0.0993840000	0.0090930000	0.0408610000	0.0000250000	0.0002860000	0.0331300000	26344772	96830484	1765240832	3.9996869564	3.9667265415	3.9608981609
23	1311867171.1942689419	0.0591715388	0.0608251304	0.0628964603	0.0090504679	0.1124000000	0.0091770000	0.0446170000	0.0003120000	0.0002770000	0.0397380000	26346926	96830484	1765244928	4.0015068054	3.9671711922	3.9596321583
24	1311867171.2262530327	0.0610397086	0.0608340711	0.0628964603	0.0090330389	0.0970790000	0.0085680000	0.0416860000	0.0000260000	0.0004380000	0.0351640000	26349144	96830484	1764847616	4.0051293373	3.9670662880	3.9591324329
25	1311867171.2622439861	0.0604354963	0.0608181281	0.0628964603	0.0090268282	0.1535660000	0.0090670000	0.0593840000	0.0005550000	0.0002910000	0.0659140000	26351394	96830484	1765011456	4.0063109398	3.9663758278	3.9580407143
26	1311867171.2943410873	0.0607758537	0.0608165022	0.0628964603	0.0090313839	0.1146610000	0.0085160000	0.0523420000	0.0000240000	0.0003120000	0.0346320000	26353516	96830484	1766633472	4.0050344467	3.9690012932	3.9576370716
27	1311867171.3263869286	0.0610807166	0.0608262879	0.0628964603	0.0092607707	0.1175940000	0.0087240000	0.0527100000	0.0003720000	0.0002780000	0.0404190000	26355734	96830484	1768378368	4.0014872551	3.9707021713	3.9562168121
28	1311867171.3622460365	0.0606384315	0.0608195788	0.0628964603	0.0091276392	0.0994030000	0.0088150000	0.0514700000	0.0000240000	0.0006270000	0.0316590000	26357984	96830484	1770029056	3.9982602596	3.9720211029	3.9548857212
29	1311867171.3941431046	0.0616840944	0.0608493896	0.0628964603	0.0093238705	0.1248790000	0.0109270000	0.0455100000	0.0003100000	0.0003530000	0.0607220000	26360138	96830484	1768910848	3.9963366985	3.9747731686	3.9538137913
30	1311867171.4262878895	0.0624736287	0.0609035309	0.0628964603	0.0092821065	0.1244840000	0.0090170000	0.0674950000	0.0000270000	0.0003080000	0.0326480000	26362356	96830484	1770696704	3.9951894283	3.9750590324	3.9522833824
