SLAMBench Report run started:	2018-02-18 06:00:58

Properties:
=================

frame-limit: 0
log-file: output//violons_liblsdslam-cpp_living_room_traj0_loop.log
input: datasets/ICL_NUIM/living_room_traj0_loop.slam
load-library: build/lib/liblsdslam-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
camera-path: 
package-path: lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	nan	0.0413500000	86921331	0	921436160	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0091206590	0.0045603295	0.0091206590	0.0109384144	0.1597670000	98808100	0	1048420352	0.0022240358	0.0018558704	0.0004305617
3	0.0800000000	0.0102847572	0.0064684721	0.0102847572	0.0112365875	0.1115730000	102078690	0	1052258304	0.0058347303	-0.0071401927	0.0008932189
4	0.1200000000	0.0048796036	0.0060712550	0.0102847572	0.0110993170	0.0913850000	102080272	0	1053020160	0.0048465184	-0.0071327714	0.0010495052
5	0.1600000000	0.0032268881	0.0055023816	0.0102847572	0.0104725662	0.0837010000	102081862	0	1053528064	0.0006014031	-0.0013356443	0.0005571538
6	0.2000000000	0.0094214482	0.0061555594	0.0102847572	0.0095840825	0.0784090000	102083772	0	1054035968	0.0015696948	-0.0006562072	0.0007669924
7	0.2400000000	0.0100692660	0.0067146603	0.0102847572	0.0088211801	0.0731650000	102085026	0	1054543872	0.0016552011	-0.0002872772	0.0006694405
8	0.2800000000	0.0069246208	0.0067409054	0.0102847572	0.0083959484	0.0782280000	102086280	0	1055051776	0.0008991957	-0.0005901603	0.0006825746
9	0.3200000000	0.0075088795	0.0068262358	0.0102847572	0.0078950167	0.0717350000	102088206	0	1055686656	0.0011365548	-0.0000287040	0.0006530352
10	0.3600000000	0.0088686766	0.0070304799	0.0102847572	0.0074842781	0.0696410000	102090772	0	1056194560	0.0016014694	-0.0001619773	0.0008678896
11	0.4000000000	0.0085444609	0.0071681145	0.0102847572	0.0071151039	0.1020640000	102092026	0	1056702464	0.0020919847	-0.0009807276	0.0009022617
12	0.4400000000	0.0071545225	0.0071669819	0.0102847572	0.0068356975	0.0880000000	102093280	0	1057210368	0.0021309198	-0.0019654986	0.0003347530
13	0.4800000000	0.0069957580	0.0071538108	0.0102847572	0.0067184358	0.0777680000	102094534	0	1057718272	0.0014660374	-0.0006853301	0.0005426986
14	0.5200000000	0.0063389656	0.0070956076	0.0102847572	0.0065557992	0.0868360000	102095788	0	1058353152	0.0013995696	-0.0004661931	0.0004210388
15	0.5600000000	0.0058485926	0.0070124732	0.0102847572	0.0063318189	0.0850780000	102097042	0	1058861056	0.0014996264	-0.0004072366	0.0003044875
16	0.6000000000	0.0063145752	0.0069688546	0.0102847572	0.0061229689	0.0786670000	102098296	0	1059368960	0.0016341689	-0.0000938898	0.0002611615
17	0.6400000000	0.0049452637	0.0068498199	0.0102847572	0.0059460641	0.0786550000	102100894	0	1059876864	0.0013245471	-0.0008777804	0.0000737607
18	0.6800000000	0.0040671085	0.0066952248	0.0102847572	0.0058254318	0.0707210000	102104772	0	1060384768	0.0008719845	-0.0015044574	0.0000086878
19	0.7200000000	0.0063963928	0.0066794968	0.0102847572	0.0061291771	0.0833340000	102106026	0	1061019648	-0.0005786899	-0.0061492985	0.0008356494
20	0.7600000000	0.0099695576	0.0068439998	0.0102847572	0.0060827238	0.0848940000	102107280	0	1061527552	-0.0028933380	-0.0083671743	0.0013817921
21	0.8000000000	0.0113686090	0.0070594574	0.0113686090	0.0059900405	0.0825700000	102108534	0	1062035456	-0.0043779965	-0.0094175879	0.0016015979
22	0.8400000000	0.0078993458	0.0070976342	0.0113686090	0.0059876013	0.0847330000	102109788	0	1062543360	-0.0020900597	-0.0072775413	0.0010477796
23	0.8800000000	0.0049570105	0.0070045636	0.0113686090	0.0060791546	0.0954520000	102111042	0	1063051264	0.0000925793	-0.0036683546	0.0004564076
24	0.9200000000	0.0056984001	0.0069501401	0.0113686090	0.0060324397	0.0799350000	102112296	0	1063686144	0.0011216660	-0.0007411655	0.0001158502
25	0.9600000000	0.0068463641	0.0069459890	0.0113686090	0.0059188367	0.0850190000	102113550	0	1064194048	0.0009186671	-0.0007672459	0.0003470096
26	1.0000000000	0.0070991009	0.0069518780	0.0113686090	0.0058034221	0.0748260000	102114804	0	1064701952	0.0003017280	-0.0010629836	0.0002630062
27	1.0400000000	0.0065181693	0.0069358147	0.0113686090	0.0057000782	0.0749360000	102116058	0	1065209856	0.0005860382	-0.0014976242	0.0002165283
28	1.0800000000	0.0078901220	0.0069698971	0.0113686090	0.0056008012	0.1023360000	102117312	0	1065717760	0.0017145929	-0.0013833080	0.0006172636
29	1.1200000000	0.0087825013	0.0070324007	0.0113686090	0.0056500381	0.0950930000	102118566	0	1066352640	0.0013545447	-0.0022468038	0.0009896355
30	1.1600000000	0.0084846457	0.0070808088	0.0113686090	0.0058282852	0.0726030000	102119820	0	1066860544	0.0006885737	-0.0074584051	0.0017386023
31	1.2000000000	0.0122599471	0.0072478778	0.0122599471	0.0059252419	0.0764200000	102121074	0	1067368448	-0.0005240567	-0.0093893809	0.0024692249
32	1.2400000000	0.0151440315	0.0074946326	0.0151440315	0.0062264060	0.0786070000	102122328	0	1067876352	-0.0017021496	-0.0086230123	0.0027576752
33	1.2800000000	0.0111742811	0.0076061371	0.0151440315	0.0063088506	0.0756050000	102126270	0	1068511232	0.0026429573	-0.0104866037	0.0025847743
34	1.3200000000	0.0130516924	0.0077663005	0.0151440315	0.0064929524	0.0749080000	102132772	0	1069019136	-0.0002038370	-0.0096695945	0.0032182012
35	1.3600000000	0.0142639568	0.0079519478	0.0151440315	0.0068102961	0.0948500000	102134026	0	1069527040	-0.0000489941	-0.0118908240	0.0039279470
36	1.4000000000	0.0134083759	0.0081035153	0.0151440315	0.0069979059	0.0784930000	102135280	0	1070034944	0.0010264979	-0.0109905405	0.0042982968
37	1.4400000000	0.0140718734	0.0082648223	0.0151440315	0.0073653479	0.0800460000	102136534	0	1070669824	0.0010434890	-0.0099427560	0.0040654601
38	1.4800000000	0.0104460390	0.0083222227	0.0151440315	0.0089554202	0.0888460000	102137788	0	1071177728	0.0058590705	-0.0074572745	0.0037836637
39	1.5200000000	0.0119354920	0.0084148706	0.0151440315	0.0091952804	0.0786180000	102139042	0	1071685632	0.0060311188	-0.0067854808	0.0044121817
40	1.5600000000	0.0162894111	0.0086117341	0.0162894111	0.0093753658	0.0826170000	102140296	0	1072193536	0.0033293660	-0.0040198881	0.0047117802
41	1.6000000000	0.0144777941	0.0087548088	0.0162894111	0.0093640009	0.0867690000	102141550	0	1072828416	0.0070676482	-0.0070013124	0.0051823636
42	1.6400000000	0.0142536331	0.0088857332	0.0162894111	0.0095217500	0.0955300000	102142804	0	1073463296	0.0104181506	-0.0042577027	0.0048720110
43	1.6800000000	0.0170145985	0.0090747765	0.0170145985	0.0098191956	0.0801320000	102144058	0	1073971200	0.0093080392	-0.0017999051	0.0047747819
44	1.7200000000	0.0180440322	0.0092786233	0.0180440322	0.0100598017	0.0808190000	102145312	0	1074479104	0.0091421446	-0.0016704064	0.0051578186
45	1.7600000000	0.0197008774	0.0095102289	0.0197008774	0.0102773041	0.0892000000	102146566	0	1074987008	0.0099092182	-0.0026032438	0.0057378639
46	1.8000000000	0.0405470319	0.0101849420	0.0405470319	0.0108462128	0.0837890000	102147820	0	1075494912	0.0159597695	-0.0027785331	0.0055998396
47	1.8400000000	0.0864422768	0.0118074385	0.0864422768	0.0117852013	0.1720010000	114485258	0	1088319488	0.0303512663	-0.0106472997	0.0049245418
48	1.8800000000	0.0884779170	0.0134047401	0.0884779170	0.0118695004	0.0694680000	118144560	0	1092382720	0.0308954492	-0.0111535350	0.0051923762
49	1.9200000000	0.0901910737	0.0149718082	0.0901910737	0.0119560844	0.0721910000	121337910	0	1096065024	0.0315903388	-0.0116302157	0.0056239804
50	1.9600000000	0.0916732028	0.0165058361	0.0916732028	0.0119941173	0.1057100000	121339164	0	1096826880	0.0326637253	-0.0116916122	0.0058117160
51	2.0000000000	0.0932760462	0.0180111343	0.0932760462	0.0120056469	0.0699410000	121340418	0	1097334784	0.0339514576	-0.0121362517	0.0058847396
52	2.0400000000	0.0945445225	0.0194829302	0.0945445225	0.0120018146	0.0834210000	121341672	0	1097842688	0.0359139144	-0.0125346594	0.0058970251
53	2.0800000000	0.0952072591	0.0209116912	0.0952072591	0.0119986140	0.0818700000	121342926	0	1098350592	0.0366640389	-0.0128760412	0.0060080588
54	2.1200000000	0.0948954076	0.0222817600	0.0952072591	0.0119613562	0.0835430000	121344180	0	1098969088	0.0402381755	-0.0162322149	0.0062341518
55	2.1600000000	0.0969080031	0.0236386008	0.0969080031	0.0121125819	0.0874120000	121345434	0	1099476992	0.0417592339	-0.0081249690	0.0042843171
56	2.2000000000	0.1028798819	0.0250536236	0.1028798819	0.0123471008	0.0815050000	121346688	0	1099984896	0.0371917300	-0.0156724472	0.0064826752
57	2.2400000000	0.1017433405	0.0263990573	0.1028798819	0.0124507168	0.2723930000	140175998	0	1115095040	0.0379005969	-0.0159634613	0.0067268480
58	2.2800000000	0.1097521186	0.0278361790	0.1097521186	0.0130205333	0.0736150000	143835100	0	1119285248	0.0328597166	-0.0278659966	0.0123585546
59	2.3200000000	0.1098449305	0.0292261578	0.1098449305	0.0131892717	0.0976190000	147028450	0	1122967552	0.0345975757	-0.0274667423	0.0120229740
60	2.3600000000	0.1132180393	0.0306260225	0.1132180393	0.0133116070	0.0961850000	147029704	0	1123729408	0.0345937721	-0.0298064835	0.0124331992
