SLAMBench Report run started:	2018-02-18 06:09:22

Properties:
=================

frame-limit: 0
log-file: output//violons_liblsdslam-cpp_rgbd_dataset_freiburg1_rpy.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_rpy.slam
load-library: build/lib/liblsdslam-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
camera-path: 
package-path: lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031229.5287480354	0.0606188439	0.0606188439	0.0606188439	nan	0.0459180000	87244243	0	443711488	0.0000000000	0.0000000000	0.0000000000
2	1305031229.5644249916	0.0582198836	0.0594193637	0.0606188439	0.1449896693	0.1766930000	99459356	0	576020480	0.0075847739	-0.0009307559	0.0055031846
3	1305031229.5966000557	0.0850225389	0.0679537555	0.0850225389	0.1660447018	0.2008610000	102730458	0	579817472	-0.0065036328	-0.0385077633	0.0017556350
4	1305031229.6287529469	0.0755757987	0.0698592663	0.0850225389	0.1359203707	0.1671440000	102732520	0	580452352	0.0003893150	-0.0246820245	0.0047542513
5	1305031229.6646571159	0.1048541293	0.0768582389	0.1048541293	0.1216100049	0.1727690000	102734686	0	580960256	0.0034678692	-0.0613471866	0.0029658086
6	1305031229.6968269348	0.1058274657	0.0816864433	0.1058274657	0.1087786396	0.1548810000	102737108	0	581595136	0.0068523260	-0.0620819591	0.0051611504
7	1305031229.7290639877	0.0956967846	0.0836879207	0.1058274657	0.0996455404	0.1522250000	102738842	0	582103040	0.0126664378	-0.0502570271	0.0102340644
8	1305031229.7648479939	0.1127030104	0.0873148069	0.1127030104	0.0929062719	0.2022860000	115080236	0	594927616	0.0066439202	-0.0663514808	0.0056229839
9	1305031229.7969090939	0.1001381129	0.0887396187	0.1127030104	0.0869549340	0.1839250000	118740722	0	599252992	0.0062874602	-0.0513773523	0.0092008868
10	1305031229.8256130219	0.0939616039	0.0892618172	0.1127030104	0.0824297417	0.1459190000	121935832	0	602935296	0.0105969273	-0.0410361178	0.0098013990
11	1305031229.8630549908	0.1040657982	0.0906076336	0.1127030104	0.0787764460	0.1221680000	121937726	0	603570176	0.0063505233	-0.0532467961	0.0092139263
12	1305031229.8969290257	0.0972355753	0.0911599621	0.1127030104	0.0752434286	0.1810720000	121939492	0	604078080	0.0089381142	-0.0427655429	0.0108096777
13	1305031229.9262480736	0.0949130654	0.0914486624	0.1127030104	0.0723565276	0.1238850000	121941226	0	604585984	0.0087361364	-0.0373091064	0.0107552195
14	1305031229.9661600590	0.1028540879	0.0922633356	0.1127030104	0.0698585080	0.1184550000	121943120	0	605220864	0.0088830823	-0.0455219671	0.0097054103
15	1305031229.9979169369	0.1038322523	0.0930345967	0.1127030104	0.0676012712	0.3016880000	140776010	0	621219840	0.0085426522	-0.0492417365	0.0132510066
16	1305031230.0299909115	0.1088541523	0.0940233190	0.1127030104	0.0654079187	0.2022210000	144435624	0	625410048	0.0023167264	-0.0571449809	0.0139710624
17	1305031230.0656869411	0.1077007204	0.0948278720	0.1127030104	0.0633761219	0.1569240000	147630894	0	629092352	-0.0002145964	-0.0551155247	0.0139374649
18	1305031230.0982420444	0.1115516424	0.0957569703	0.1127030104	0.0616285631	0.1534040000	147635284	0	629727232	-0.0000854294	-0.0585942380	0.0129970694
19	1305031230.1299190521	0.1108925864	0.0965535817	0.1127030104	0.0599761881	0.1577450000	147637050	0	630235136	-0.0001810999	-0.0577651374	0.0144796614
20	1305031230.1657710075	0.1111962199	0.0972857136	0.1127030104	0.0583883538	0.1402390000	147638880	0	630870016	-0.0012313195	-0.0592076182	0.0172504205
21	1305031230.1977720261	0.1104284525	0.0979115583	0.1127030104	0.0570737690	0.1444770000	147640646	0	631377920	-0.0027280659	-0.0582633354	0.0177159104
22	1305031230.2298300266	0.1134077087	0.0986159288	0.1134077087	0.0559366336	0.2402520000	159943472	0	644194304	-0.0026526034	-0.0627318174	0.0207365546
23	1305031230.2655799389	0.1130353138	0.0992428586	0.1134077087	0.0546589931	0.0724700000	163603558	0	648257536	0.0022964559	-0.0611039512	0.0246488024
24	1305031230.2979819775	0.1103662103	0.0997063316	0.1134077087	0.0535824144	0.2012080000	166797420	0	652066816	0.0033781927	-0.0564559251	0.0267272424
25	1305031230.3256850243	0.1063938290	0.0999738315	0.1134077087	0.0525871873	0.1781880000	166799122	0	652701696	0.0001570042	-0.0534735136	0.0291596074
26	1305031230.3656499386	0.1126961485	0.1004631514	0.1134077087	0.0516297335	0.1802650000	166801016	0	653209600	0.0016810417	-0.0582444817	0.0290983934
27	1305031230.3972649574	0.1122406349	0.1008993545	0.1134077087	0.0507523007	0.1635070000	166802814	0	653971456	0.0009853444	-0.0579219759	0.0320193693
28	1305031230.4256699085	0.1119963154	0.1012956745	0.1134077087	0.0499183529	0.1628390000	166804484	0	654487552	0.0013629787	-0.0568037443	0.0347360186
29	1305031230.4652199745	0.1207584962	0.1019668063	0.1207584962	0.0491619165	0.1885580000	179103338	0	667312128	0.0083308574	-0.0664841533	0.0484716669
30	1305031230.4972279072	0.1293676049	0.1028801662	0.1293676049	0.0487656399	0.1833180000	182762984	0	671375360	0.0204016119	-0.0683096498	0.0606010668
31	1305031230.5267200470	0.1437136680	0.1041973760	0.1437136680	0.0489166567	0.1954670000	185956782	0	675057664	0.0297343265	-0.0790940672	0.0829152092
32	1305031230.5660839081	0.1403280050	0.1053264581	0.1437136680	0.0485317477	0.3222660000	185958676	0	675692544	0.0206939597	-0.0768282115	0.0737663582
33	1305031230.5988249779	0.1479142010	0.1066169958	0.1479142010	0.0482172266	0.2184890000	185963130	0	676327424	0.0240361337	-0.0806952938	0.0845632181
34	1305031230.6260280609	0.1525755972	0.1079687193	0.1525755972	0.0477861707	0.2191870000	185970080	0	676835328	0.0255677197	-0.0813917667	0.0907549784
35	1305031230.6657950878	0.1689900905	0.1097121871	0.1689900905	0.0471354894	0.2407970000	185971974	0	677470208	0.0348663218	-0.0872843862	0.1082126945
36	1305031230.6979320049	0.1773742735	0.1115916895	0.1773742735	0.0468046991	0.3166610000	198283092	0	690548736	0.0361653902	-0.0906621888	0.1231781170
37	1305031230.7256710529	0.1736514717	0.1132689809	0.1773742735	0.0462528825	0.2466000000	201942642	0	694611968	0.0313228592	-0.0886526704	0.1166409254
38	1305031230.7658538818	0.1671401262	0.1146866426	0.1773742735	0.0457855578	0.1988140000	205136632	0	698421248	0.0233566817	-0.0848950371	0.1100723669
39	1305031230.7973029613	0.1626969278	0.1159176756	0.1773742735	0.0453098615	0.1922260000	205138398	0	699056128	0.0182909798	-0.0826780051	0.1052820012
40	1305031230.8257288933	0.1764943600	0.1174320927	0.1773742735	0.0452369987	0.1981310000	205140068	0	699564032	0.0244828053	-0.0876185223	0.1259950548
41	1305031230.8655230999	0.1812244803	0.1189880046	0.1812244803	0.0447445099	0.1675050000	205141962	0	700071936	0.0227088481	-0.0915147662	0.1303520948
42	1305031230.8973789215	0.1826707423	0.1205042602	0.1826707423	0.0444016603	0.1781150000	205143760	0	700579840	0.0218906738	-0.0918376073	0.1320496500
43	1305031230.9258599281	0.1883170158	0.1220813011	0.1883170158	0.0439225870	0.3089660000	217448958	0	713531392	0.0219081081	-0.1000320986	0.1299502552
44	1305031230.9649760723	0.2299691588	0.1245332978	0.2299691588	0.0439297434	0.3139070000	221108700	0	717721600	0.0432220250	-0.1206819341	0.1668955386
45	1305031230.9970800877	0.2330471575	0.1269447169	0.2330471575	0.0435349929	0.2925500000	224302594	0	721403904	0.0442953221	-0.1209858954	0.1718543917
46	1305031231.0256528854	0.2377261519	0.1293530090	0.2377261519	0.0431398856	0.2501780000	224304264	0	722038784	0.0443032384	-0.1239267886	0.1788186431
47	1305031231.0644218922	0.2375081033	0.1316541812	0.2377261519	0.0427191557	0.2520130000	224306126	0	722546688	0.0444041938	-0.1221698597	0.1820621043
48	1305031231.0967750549	0.2382691056	0.1338753255	0.2382691056	0.0422816896	0.2340680000	224307924	0	723054592	0.0455152281	-0.1215007752	0.1840593964
49	1305031231.1257278919	0.2372906804	0.1359858429	0.2382691056	0.0418389516	0.2216840000	224309626	0	723689472	0.0440732464	-0.1226318404	0.1837970763
50	1305031231.1652410030	0.2410370857	0.1380868678	0.2410370857	0.0414978982	0.2104330000	224311520	0	724197376	0.0465600118	-0.1257093996	0.1864926964
51	1305031231.1977469921	0.2493741214	0.1402689708	0.2493741214	0.0413468004	0.2166490000	224313318	0	724705280	0.0499618389	-0.1286833137	0.1988619417
52	1305031231.2257111073	0.2565735579	0.1425055975	0.2565735579	0.0411096802	0.2532240000	224314988	0	725340160	0.0522668213	-0.1339854300	0.2085947096
53	1305031231.2655940056	0.2653544545	0.1448235004	0.2653544545	0.0416732997	0.2182950000	224316882	0	726220800	0.0557974502	-0.1379351318	0.2237513214
54	1305031231.2978460789	0.2738498151	0.1472128766	0.2738498151	0.0415446943	0.2416630000	224318680	0	726855680	0.0600445345	-0.1425377131	0.2356470078
55	1305031231.3257410526	0.2749552131	0.1495354646	0.2749552131	0.0415644497	0.2018160000	224320350	0	727363584	0.0648196563	-0.1453996003	0.2347286195
56	1305031231.3650660515	0.2716448903	0.1517159900	0.2749552131	0.0413988280	0.2277500000	224322244	0	728125440	0.0660928339	-0.1467738897	0.2319629490
57	1305031231.3971281052	0.2669104040	0.1537369447	0.2749552131	0.0412214286	0.3812300000	236632522	0	741584896	0.0677826852	-0.1464032978	0.2262724638
58	1305031231.4256880283	0.2526540756	0.1554424124	0.2749552131	0.0411387155	0.2151850000	240292880	0	745648128	0.0684347302	-0.1390307397	0.2093089521
59	1305031231.4649178982	0.2350188047	0.1567911648	0.2749552131	0.0407909209	0.1878980000	243486870	0	749203456	0.0650452077	-0.1298279911	0.1925935149
60	1305031231.4936690331	0.2166326493	0.1577885229	0.2749552131	0.0405665066	0.1797040000	243488572	0	749838336	0.0599288680	-0.1188565046	0.1759380251
61	1305031231.5257549286	0.2040553838	0.1585469960	0.2749552131	0.0403983869	0.1764910000	243490370	0	750473216	0.0580610894	-0.1098294705	0.1634506285
62	1305031231.5650520325	0.1872448176	0.1590098641	0.2749552131	0.0400840197	0.1960080000	243492232	0	750981120	0.0505452901	-0.1009569019	0.1465507746
63	1305031231.5937368870	0.1896201074	0.1594957410	0.2749552131	0.0398630034	0.1662520000	243493934	0	751489024	0.0565339625	-0.1016657054	0.1401622146
64	1305031231.6257040501	0.1581548154	0.1594747890	0.2749552131	0.0404480844	0.4825910000	255803148	0	764821504	0.0349136777	-0.0840244368	0.1046611592
65	1305031231.6650450230	0.1602266729	0.1594863565	0.2749552131	0.0401457984	0.1224110000	259468266	0	768884736	0.0384434164	-0.0844498053	0.1032696366
