SLAMBench Report run started:	2018-02-18 06:09:52

Properties:
=================

frame-limit: 0
log-file: output//violons_liblsdslam-cpp_rgbd_dataset_freiburg1_xyz.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-library: build/lib/liblsdslam-cpp-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
camera-path: 
package-path: lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1753039360	0.0253988300	0.0253988300	0.0253988300	nan	0.0432760000	87265011	0	923815936	0.0000000000	0.0000000000	0.0000000000
2	1305031102.2112140656	0.0280409548	0.0267198924	0.0280409548	0.0123609044	0.2895260000	99480040	0	935124992	-0.0006099615	0.0053528892	0.0072600655
3	1305031102.2432110310	0.0359880105	0.0298092651	0.0359880105	0.0133845120	0.2466490000	102751142	0	939061248	0.0004206164	0.0173057783	0.0178165194
4	1305031102.2753260136	0.0412140600	0.0326604638	0.0412140600	0.0132691698	0.2172740000	102753236	0	939696128	0.0000183965	0.0268396381	0.0280537456
5	1305031102.3112668991	0.0443367288	0.0349957168	0.0443367288	0.0118007662	0.2227200000	102755402	0	940204032	0.0009339002	0.0341212861	0.0394116901
6	1305031102.3432331085	0.0495219305	0.0374167524	0.0495219305	0.0105784811	0.2341970000	102757824	0	940711936	0.0022950524	0.0422406010	0.0488620810
7	1305031102.3753290176	0.0541357584	0.0398051819	0.0541357584	0.0105536279	0.2370800000	102759558	0	941219840	0.0059042498	0.0497328453	0.0601434559
8	1305031102.4112579823	0.0587387830	0.0421718820	0.0587387830	0.0129466068	0.2963290000	115105264	0	954044416	0.0049435357	0.0585378297	0.0682741329
9	1305031102.4432709217	0.0705640092	0.0453265628	0.0705640092	0.0146364270	0.2462780000	118765750	0	958234624	0.0050407043	0.0739800259	0.0760361850
10	1305031102.4753179550	0.0762758404	0.0484214906	0.0762758404	0.0141625327	0.1463690000	121960892	0	961916928	0.0062921657	0.0837072954	0.0880063474
11	1305031102.5112190247	0.0837449655	0.0516327156	0.0837449655	0.0141769256	0.1426240000	121962722	0	962551808	0.0087088859	0.0947596729	0.0997449011
12	1305031102.5432200432	0.0844418555	0.0543668106	0.0844418555	0.0137624912	0.1613690000	121964520	0	963059712	0.0083554359	0.0988506675	0.1107230857
13	1305031102.5752859116	0.0856451467	0.0567728364	0.0856451467	0.0131918578	0.1911340000	121966254	0	963694592	0.0096977651	0.1027918980	0.1229809597
14	1305031102.6112329960	0.0854976401	0.0588246081	0.0856451467	0.0131287382	0.1881890000	121968084	0	964202496	0.0153419254	0.1040718704	0.1368853301
15	1305031102.6432650089	0.0851280242	0.0605781692	0.0856451467	0.0131382369	0.4925010000	140805226	0	981979136	0.0109507181	0.1076509058	0.1414096951
16	1305031102.6752851009	0.0913586617	0.0625019500	0.0913586617	0.0131252396	0.2202400000	144464840	0	986169344	0.0122755188	0.1182418317	0.1526604146
17	1305031102.7112629414	0.0926472619	0.0642752036	0.0926472619	0.0127598182	0.1314910000	147660110	0	989978624	0.0136291366	0.1237345114	0.1651421487
18	1305031102.7432339191	0.1016466394	0.0663513945	0.1016466394	0.0133851975	0.1344850000	147664532	0	990613504	0.0136293545	0.1379199475	0.1747663170
19	1305031102.7754719257	0.1050806418	0.0683897759	0.1050806418	0.0135722825	0.1335440000	147666266	0	991121408	0.0129614212	0.1464011371	0.1866202056
20	1305031102.8112320900	0.1074474677	0.0703426605	0.1074474677	0.0139546207	0.1322360000	147668096	0	991629312	0.0110666584	0.1551139802	0.1970042735
21	1305031102.8432900906	0.1082745790	0.0721489423	0.1082745790	0.0137519569	0.1380250000	147669894	0	992391168	0.0115381507	0.1605361849	0.2093610615
22	1305031102.8753631115	0.1056974083	0.0736738726	0.1082745790	0.0136849399	0.4526810000	159980408	0	1005342720	0.0103813717	0.1624312848	0.2200519443
