SLAMBench Report run started:	2018-02-18 06:29:41

Properties:
=================

frame-limit: 0
log-file: output//violons_liborbslam2-original_living_room_traj2_loop.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-library: build/lib/liborbslam2-original-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.txt
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	nan	0.1550350000	225832032	0	1771012096	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0014313232	0.0007156616	0.0014313232	0.0012994849	0.2121070000	229184250	0	1770524672	0.0006581696	0.0002409728	-0.0004112680
3	0.0800000000	0.0015986046	0.0010099759	0.0015986046	0.0012106350	0.1923260000	229113605	0	1769631744	-0.0043599396	0.0007933624	-0.0005638560
4	0.1200000000	0.0025625008	0.0013981072	0.0025625008	0.0015030597	0.1831090000	229116466	0	1771405312	-0.0007651650	0.0010692495	-0.0008835325
5	0.1600000000	0.0033080552	0.0017800968	0.0033080552	0.0016293658	0.1819140000	229118240	0	1772883968	-0.0045461673	-0.0007636446	0.0008597028
6	0.2000000000	0.0010997391	0.0016667038	0.0033080552	0.0018582507	0.1847850000	229123454	0	1774534656	-0.0045890105	0.0020316094	-0.0003118569
7	0.2400000000	0.0011017808	0.0015860005	0.0033080552	0.0017081959	0.1849270000	229125180	0	1776566272	-0.0049471781	0.0021273063	-0.0001025872
8	0.2800000000	0.0026124064	0.0017143013	0.0033080552	0.0016681742	0.1835710000	229126806	0	1778089984	-0.0045765373	0.0022254123	-0.0000543934
9	0.3200000000	0.0013466377	0.0016734498	0.0033080552	0.0018296116	0.1836890000	229128556	0	1779613696	-0.0078928396	0.0013401783	-0.0005790861
10	0.3600000000	0.0032167227	0.0018277771	0.0033080552	0.0018284254	0.1826390000	229130978	0	1781645312	-0.0064287814	0.0035329887	-0.0002855470
