SLAMBench Report run started:	2018-02-18 06:52:57

Properties:
=================

frame-limit: 0
log-file: output//violons_liborbslam2-original_rgbd_dataset_freiburg2_rpy.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_rpy.slam
load-library: build/lib/liborbslam2-original-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.txt
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867718.6419320107	0.0019026520	0.0019026520	0.0019026520	nan	0.2095920000	232662400	0	1771601920	0.0000000000	0.0000000000	0.0000000000
2	1311867718.6768438816	0.0018501661	0.0018764090	0.0019026520	0.0004229187	0.2139860000	245319745	0	1774141440	0.0003404527	-0.0003233516	0.0006755633
3	1311867718.7114279270	0.0022588139	0.0020038773	0.0022588139	0.0033990547	0.1939680000	245247371	0	1775763456	-0.0008074777	0.0016060069	0.0001717690
4	1311867718.7410299778	0.0028558373	0.0022168673	0.0028558373	0.0049081234	0.1736560000	245252313	0	1777795072	0.0000555765	-0.0001343128	0.0005003273
5	1311867718.7767970562	0.0031371734	0.0024009285	0.0031371734	0.0042834049	0.1760130000	245256643	0	1778937856	-0.0009316629	-0.0011110066	0.0002900098
6	1311867718.8094089031	0.0024581340	0.0024104628	0.0031371734	0.0039832625	0.1735720000	245261773	0	1780969472	-0.0014924901	0.0004859685	0.0006383846
7	1311867718.8408079147	0.0033563643	0.0025455916	0.0033563643	0.0037617615	0.1826480000	245265475	0	1783017472	-0.0024369524	0.0002874515	0.0001770417
8	1311867718.8767778873	0.0036966968	0.0026894797	0.0036966968	0.0035598952	0.1835120000	245270441	0	1785159680	-0.0015092113	0.0003336112	0.0004401972
9	1311867718.9088680744	0.0050272825	0.0029492356	0.0050272825	0.0036038386	0.1773130000	245275215	0	1783660544	-0.0014763392	-0.0001842402	-0.0002196411
10	1311867718.9438331127	0.0044128397	0.0030955960	0.0050272825	0.0034327525	0.1779060000	245281109	0	1778692096	-0.0005531940	-0.0000328156	0.0011225867
11	1311867718.9784109592	0.0046627694	0.0032380663	0.0050272825	0.0032854765	0.1778820000	245284491	0	1774399488	-0.0019191861	-0.0000207563	0.0008152474
12	1311867719.0091300011	0.0053739990	0.0034160607	0.0053739990	0.0031525641	0.2068770000	245769181	0	1776287744	-0.0020412654	0.0000292436	0.0003848035
13	1311867719.0441620350	0.0056012985	0.0035841559	0.0056012985	0.0030791548	0.2654850000	246160259	0	1778356224	-0.0016803226	0.0004103329	0.0003382948
14	1311867719.0776190758	0.0067450684	0.0038099354	0.0067450684	0.0030724048	0.3824020000	246648108	0	1782890496	-0.0003840957	0.0002673660	-0.0001071233
15	1311867719.1086950302	0.0067971251	0.0040090814	0.0067971251	0.0030299605	0.2150800000	246293730	0	1784922112	-0.0014452764	-0.0006728013	-0.0000574030
