SLAMBench Report run started:	2018-02-18 06:58:45

Properties:
=================

frame-limit: 0
log-file: output//violons_liborbslam2-original_rgbd_dataset_freiburg2_xyz.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-library: build/lib/liborbslam2-original-library.so
dse: false
help: false
negative-focal-length: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.txt
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4622900486	0.0582520440	0.0582520440	0.0582520440	nan	0.2025870000	232994048	0	1770569728	0.0000000000	0.0000000000	0.0000000000
2	1311867170.4941389561	0.0585756078	0.0584138259	0.0585756078	0.0034028764	0.2485680000	245650053	0	1770332160	-0.0037833005	-0.0009414774	-0.0018492915
3	1311867170.5264289379	0.0586280376	0.0584852298	0.0586280376	0.0026159889	0.1707880000	245579079	0	1772355584	-0.0067041628	-0.0009053058	-0.0039333063
4	1311867170.5623490810	0.0580519997	0.0583769223	0.0586280376	0.0037410649	0.1760540000	245584813	0	1774133248	-0.0078443661	-0.0005861038	-0.0060355649
5	1311867170.5942170620	0.0569400825	0.0580895543	0.0586280376	0.0045247200	0.1783270000	245590563	0	1775943680	-0.0106019322	-0.0027362446	-0.0084363036
6	1311867170.6260869503	0.0551154725	0.0575938740	0.0586280376	0.0044352901	0.1787690000	245595553	0	1777688576	-0.0094444454	-0.0038714861	-0.0113319103
7	1311867170.6621398926	0.0556503460	0.0573162272	0.0586280376	0.0041329494	0.1797820000	245599143	0	1779212288	-0.0115148863	-0.0041057542	-0.0124842860
8	1311867170.6942050457	0.0557987802	0.0571265463	0.0586280376	0.0038533002	0.1716910000	245602413	0	1781276672	-0.0117122177	-0.0034645684	-0.0142176896
9	1311867170.7263879776	0.0566393100	0.0570724089	0.0586280376	0.0036873131	0.1764790000	245606259	0	1783402496	-0.0149373086	-0.0052102045	-0.0146349268
10	1311867170.7620189190	0.0569225438	0.0570574224	0.0586280376	0.0035334542	0.1692800000	245611089	0	1784418304	-0.0180233605	-0.0073142066	-0.0159661341
11	1311867170.7941920757	0.0556345955	0.0569280745	0.0586280376	0.0037192422	0.1691150000	245615351	0	1783848960	-0.0187813304	-0.0093204537	-0.0190208256
12	1311867170.8262820244	0.0554144531	0.0568019394	0.0586280376	0.0037327077	0.1754470000	245619757	0	1779482624	-0.0190296154	-0.0125404121	-0.0211115703
13	1311867170.8622210026	0.0537745208	0.0565690610	0.0586280376	0.0039599583	0.1781130000	245623843	0	1776214016	-0.0180479512	-0.0146123292	-0.0249690209
14	1311867170.8943779469	0.0537642762	0.0563687193	0.0586280376	0.0038162331	0.1717330000	245627697	0	1776066560	-0.0180740319	-0.0165215451	-0.0278637968
15	1311867170.9263520241	0.0533844791	0.0561697699	0.0586280376	0.0038396594	0.1740780000	245632031	0	1777729536	-0.0189932398	-0.0195865873	-0.0310562793
16	1311867170.9621469975	0.0537181646	0.0560165446	0.0586280376	0.0037860931	0.1698830000	245635405	0	1779486720	-0.0208562482	-0.0206712913	-0.0340419859
17	1311867170.9942629337	0.0532430448	0.0558533975	0.0586280376	0.0036912124	0.1699390000	245640523	0	1781276672	-0.0205119327	-0.0211629272	-0.0378756672
18	1311867171.0262739658	0.0524694473	0.0556654003	0.0586280376	0.0036173519	0.1689490000	245646065	0	1782566912	-0.0206973143	-0.0255436413	-0.0403877273
19	1311867171.0623519421	0.0528631918	0.0555179156	0.0586280376	0.0043409314	0.1736280000	245650451	0	1784545280	-0.0228473246	-0.0273610782	-0.0431987941
20	1311867171.0942349434	0.0529033281	0.0553871863	0.0586280376	0.0044337013	0.2175470000	246101301	0	1784332288	-0.0206072778	-0.0261510015	-0.0456851944
21	1311867171.1262509823	0.0534034818	0.0552927241	0.0586280376	0.0043467862	0.2526040000	246454227	0	1783934976	-0.0215436425	-0.0281334110	-0.0469275601
22	1311867171.1622469425	0.0548955910	0.0552746726	0.0586280376	0.0047186689	0.3536440000	247151424	0	1785344000	-0.0223160461	-0.0278552379	-0.0476545058
23	1311867171.1942689419	0.0533635318	0.0551915796	0.0586280376	0.0056809159	0.2084850000	246422999	0	1784410112	-0.0176048949	-0.0264256783	-0.0493520498
24	1311867171.2262530327	0.0532327294	0.0551099608	0.0586280376	0.0057776981	0.1733950000	246425573	0	1784893440	-0.0145662557	-0.0281004515	-0.0506140552
25	1311867171.2622439861	0.0519217253	0.0549824314	0.0586280376	0.0056669731	0.1868800000	246428923	0	1783496704	-0.0096299639	-0.0262577981	-0.0532548502
26	1311867171.2943410873	0.0514647588	0.0548471363	0.0586280376	0.0055857640	0.1855930000	246432369	0	1781592064	-0.0066775009	-0.0263443571	-0.0540268533
27	1311867171.3263869286	0.0532566905	0.0547882309	0.0586280376	0.0059136040	0.1761090000	246436215	0	1783222272	-0.0075239688	-0.0265756547	-0.0537592098
28	1311867171.3622460365	0.0555086024	0.0548139584	0.0586280376	0.0058631719	0.1788230000	246439725	0	1785229312	-0.0076570068	-0.0229884014	-0.0534442030
29	1311867171.3941431046	0.0561696962	0.0548607080	0.0586280376	0.0058267872	0.1776770000	246442947	0	1783377920	-0.0092201363	-0.0222559776	-0.0543685071
30	1311867171.4262878895	0.0566066653	0.0549189066	0.0586280376	0.0057809835	0.1839330000	246445505	0	1780035584	-0.0117592309	-0.0255117193	-0.0550711267
31	1311867171.4622440338	0.0553963706	0.0549343087	0.0586280376	0.0057647761	0.1788430000	246447799	0	1774690304	-0.0109225772	-0.0243654437	-0.0587494858
32	1311867171.4944040775	0.0559186190	0.0549650684	0.0586280376	0.0057005443	0.1913760000	246449997	0	1776340992	-0.0109594921	-0.0233803745	-0.0603378080
33	1311867171.5261778831	0.0571522266	0.0550313459	0.0586280376	0.0056439578	0.1774040000	246454819	0	1777901568	-0.0134036699	-0.0237774625	-0.0606794544
34	1311867171.5622971058	0.0554901399	0.0550448398	0.0586280376	0.0056601755	0.1759620000	246462273	0	1779658752	-0.0132451952	-0.0224640891	-0.0637308359
35	1311867171.5942931175	0.0546066463	0.0550323200	0.0586280376	0.0056165127	0.1895330000	246464567	0	1781030912	-0.0121628195	-0.0234008320	-0.0646147206
36	1311867171.6263399124	0.0551943332	0.0550368204	0.0586280376	0.0055484718	0.1755100000	246466733	0	1782714368	-0.0157808568	-0.0243621804	-0.0648983195
37	1311867171.6622560024	0.0552971661	0.0550438567	0.0586280376	0.0054730007	0.1808600000	246469531	0	1784459264	-0.0169452149	-0.0234639794	-0.0659312382
