SLAMBench Report run started:	2023-08-27 04:41:16

Properties:
=================

frame-limit: 0
start-frame: 0
log-file: ./result/kitti/aloam/aloam-kitti-result.txt
input: ./datasets/KITTI/2011_09_30_drive_0027/2011_09_30_drive_0027_sync.slam
load-slam-library: /deps/aloam/lib/libaloam-original-library.so
save-groundtruth: 
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
alignment-technique: new
gui: true
lifelong: false
Grey-intrinsics-parameters: 0.577416,1.911057,0.4909358,0.4948929
Grey-intrinsics-parameters: 0.577416,1.911057,0.4909358,0.4948929
configuration: /deps/aloam/configs/configs.yaml

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	OrientationError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	X	Y	Z
1	45625.5578143940	-nan	360.0000100179	-nan	0.0000000000	0.0000000000	0.0338450000	16385269	0	0.0000000000	0.0000000000	0.0000000000
2	45625.6617378970	0.0040761209	120.5822086642	0.0020380660	0.0040761209	0.0040761093	0.1116590000	21223156	0	-0.0077445409	-0.0028797390	0.1009830832
3	45625.7656796850	0.0079383766	207.0971276352	0.0047605190	0.0079383766	0.0090014220	0.1155970000	25911418	0	-0.0126653658	-0.0000458344	0.1880155653
4	45625.8696188400	0.0093754893	94.8924260258	0.0057514382	0.0093754893	0.0090400523	0.1056640000	26873845	0	-0.0203883760	-0.0039249570	0.2767520547
5	45625.9735125950	0.0139316022	187.3096871191	0.0075461152	0.0139316022	0.0120155273	0.0992530000	25099487	0	-0.0194037035	0.0048881588	0.3629739285
6	45626.0773586840	0.0165311284	182.0836361775	0.0090966458	0.0165311284	0.0124336101	0.1240510000	24769776	0	-0.0269796066	0.0057112663	0.4566581845
7	45626.1811817980	0.0051592095	131.0209780180	0.0093388586	0.0187609550	0.0132475446	0.1239690000	27275308	0	-0.0466945358	0.0052699177	0.5859017968
8	45626.2849817210	0.0265458170	102.6079443161	0.0169010458	0.0345306918	0.0245241845	0.0811880000	25811942	0	-0.0788383558	-0.0136318412	0.7699579000
9	45626.3887371280	0.0059266314	99.9895912977	0.0163900940	0.0374574773	0.0233241550	0.1072940000	25130543	0	-0.0877620429	-0.0140252942	0.9103322625
10	45626.4924635030	0.0145555269	94.8669357598	0.0165102423	0.0364897922	0.0248564127	0.1053950000	27811611	0	-0.1009660885	-0.0293639842	1.0497689247
11	45626.5962088350	0.0158333480	94.5656083042	0.0163449366	0.0357744284	0.0241418978	0.0887250000	26130213	0	-0.1258447319	-0.0392817259	1.2130136490
12	45626.6999598460	0.0134965945	101.7073360627	0.0165423095	0.0355817787	0.0225509663	0.0533770000	25252646	0	-0.1724794805	-0.0487980284	1.3902724981
13	45626.8036905260	0.0164064411	108.0189772709	0.0173818317	0.0359170474	0.0216709427	0.1035880000	25378135	0	-0.2130705267	-0.0577654839	1.5807482004
14	45626.9074186430	0.0167914424	114.8048248528	0.0186392235	0.0364351310	0.0208278733	0.1021810000	27769409	0	-0.2747859359	-0.0641372353	1.7787654400
