SLAMBench Report run started:	2023-08-27 09:49:41

Properties:
=================

frame-limit: 0
start-frame: 0
log-file: ./results/kitti/legoloam/legoloam-kitti-result2.txt
input: ./datasets/KITTI/2011_09_30_drive_0027/2011_09_30_drive_0027_sync.slam
load-slam-library: /home/yuhao/legoloam/LeGO-LOAM-NoROS/build/liblegoloam-original-library.so
save-groundtruth: 
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
alignment-technique: new
gui: true
lifelong: false
Grey-intrinsics-parameters: 0.577416,1.911057,0.4909358,0.4948929
Grey-intrinsics-parameters: 0.577416,1.911057,0.4909358,0.4948929
configuration: /home/yuhao/legoloam/LeGO-LOAM-NoROS/configs/configs.yaml

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	OrientationError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	X	Y	Z
1	45625.5578143940	-nan	360.0000100179	-nan	0.0000000000	0.0000000000	0.0397620000	15872685	0	0.0000000000	0.0000000000	0.0000000000
2	45625.6617378970	0.0040761353	174.0649257901	0.0020380706	0.0040761353	0.0040761246	0.0471860000	19458063	0	0.0011197412	0.0000004744	-0.0016963755
3	45625.7656796850	0.0513579026	144.6955358307	0.0314598442	0.0513579026	0.0733427276	0.1074510000	24650066	0	0.0011197412	0.0000004744	-0.0016963755
4	45625.8696188400	0.1010528728	144.8033435366	0.0488742005	0.1010528728	0.0946333828	0.0797040000	24823608	0	0.0011197412	0.0000004744	-0.0016963755
5	45625.9735125950	0.1552298963	144.7979613475	0.0789767075	0.1552298963	0.1111887247	0.0772090000	24681041	0	0.0011197412	0.0000004744	-0.0016963755
6	45626.0773586840	0.0059340284	163.4151718928	0.0983138428	0.2019716054	0.1236924788	0.0919740000	26275382	0	-0.0323558263	-0.0036026149	0.3968422115
7	45626.1811817980	0.0698186755	164.9430032478	0.1017352087	0.2020270377	0.1426553811	0.0794390000	26248935	0	-0.0323558263	-0.0036026149	0.3968422115
8	45626.2849817210	0.1425274611	166.7277589987	0.1069273992	0.2020851523	0.1612340914	0.0824510000	26514952	0	-0.0323558263	-0.0036026149	0.3968422115
9	45626.3887371280	0.0635225847	182.9191868791	0.1090187834	0.2032692432	0.1615765884	0.0984840000	26512901	0	-0.0946223512	-0.0046600164	0.8244460225
10	45626.4924635030	0.0658380538	183.8647719282	0.1063840135	0.1986269802	0.1694925697	0.0838680000	29808906	0	-0.0946223512	-0.0046600164	0.8244460225
11	45626.5962088350	0.0517125838	179.2500502381	0.1032486695	0.2071249187	0.1608817168	0.0793330000	28539211	0	-0.1563572437	-0.0120998584	1.1624760628
12	45626.6999598460	0.0918879732	179.7161833282	0.1042535067	0.2008046657	0.1684571979	0.0823650000	29005740	0	-0.1563572437	-0.0120998584	1.1624760628
13	45626.8036905260	0.0517961010	177.8699968559	0.1010770792	0.2080674171	0.1644965093	0.0835520000	29130309	0	-0.2647270262	-0.0301391706	1.5211479664
14	45626.9074186430	0.1077490225	177.5696324570	0.1034158963	0.2007183284	0.1714691259	0.1064810000	29376626	0	-0.2647270262	-0.0301391706	1.5211479664
15	45627.0111414510	0.0582803003	179.1370379281	0.1009406942	0.2079824209	0.1698576312	0.0844000000	29401319	0	-0.4005790055	-0.0378183685	1.9077938795
16	45627.1148504180	0.1182878464	178.8237371509	0.1037073153	0.2001799941	0.1763477098	0.1030500000	29737436	0	-0.4005790055	-0.0378183685	1.9077938795
17	45627.2185281360	0.0548331626	179.7762753325	0.1011408361	0.2064033300	0.1754553035	0.1237710000	35937815	0	-0.5672758818	-0.0404335409	2.2969164848
18	45627.3222008080	0.1335739493	179.9535324018	0.1045173542	0.1981512010	0.1814603443	0.1058630000	33907136	0	-0.5672758818	-0.0404335409	2.2969164848
19	45627.4258789030	0.0639656484	179.7007197799	0.1026022186	0.2045957595	0.1819925825	0.0875710000	33866277	0	-0.7720636129	-0.0482272394	2.6982498169
