SLAMBench Report run started:	2023-08-27 04:34:22

Properties:
=================

frame-limit: 0
start-frame: 0
log-file: /home/yuhao/slambench/result/kitti/legoloam/legoloam-kitti-result.txt
input: /home/yuhao/slambench/datasets/KITTI/2011_09_30_drive_0027/2011_09_30_drive_0027_sync.slam
load-slam-library: ./liblegoloam-original-library.so
save-groundtruth: 
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
alignment-technique: new
gui: true
lifelong: false
Grey-intrinsics-parameters: 0.577416,1.911057,0.4909358,0.4948929
Grey-intrinsics-parameters: 0.577416,1.911057,0.4909358,0.4948929
configuration: ../configs/configs.yaml

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	OrientationError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	X	Y	Z
1	45625.5578143940	-nan	360.0000100179	-nan	0.0000000000	0.0000000000	0.0207540000	15864261	0	0.0000000000	0.0000000000	0.0000000000
2	45625.6617378970	0.0040761353	174.0649257901	0.0020380706	0.0040761353	0.0040761246	0.0646230000	19954500	0	0.0011197412	0.0000004744	-0.0016963755
3	45625.7656796850	0.0513579026	144.6955358307	0.0314598442	0.0513579026	0.0733427276	0.0288410000	21662741	0	0.0011197412	0.0000004744	-0.0016963755
4	45625.8696188400	0.1010528728	144.8033435366	0.0488742005	0.1010528728	0.0946333828	0.1149370000	24601183	0	0.0011197412	0.0000004744	-0.0016963755
5	45625.9735125950	0.1552298963	144.7979613475	0.0789767075	0.1552298963	0.1111887247	0.0220940000	24678623	0	0.0011197412	0.0000004744	-0.0016963755
6	45626.0773586840	0.0059339069	163.4398971776	0.0983137671	0.2019715905	0.1236924471	0.0961350000	25054326	0	-0.0323009603	-0.0037050119	0.3968980014
7	45626.1811817980	0.0698186159	164.9672504194	0.1017351509	0.2020269781	0.1426553141	0.0227030000	24912183	0	-0.0323009603	-0.0037050119	0.3968980014
8	45626.2849817210	0.1425275058	166.7526755288	0.1069273502	0.2020851225	0.1612339794	0.1035320000	25422072	0	-0.0323009603	-0.0037050119	0.3968980014
9	45626.3887371280	0.2244803458	168.1970692930	0.1276487677	0.2244803458	0.1798252271	0.0215330000	25693189	0	-0.0323009603	-0.0037050119	0.3968980014
10	45626.4924635030	0.1208768338	178.8062518666	0.1324556801	0.3042549789	0.1996313487	0.1054480000	27343242	0	-0.1185381934	-0.0092036026	0.9854884744
11	45626.5962088350	0.0354021490	181.2156967189	0.1241056783	0.2985941768	0.2010477797	0.0223930000	26888907	0	-0.1185381934	-0.0092036026	0.9854884744
12	45626.6999598460	0.0797190964	177.3082137967	0.1234328932	0.3111692369	0.1874142966	0.0974560000	26792044	0	-0.1995724440	-0.0241183899	1.3398888111
13	45626.8036905260	0.0784144178	177.3761195374	0.1211760093	0.3058046997	0.1921306414	0.0228450000	27028261	0	-0.1995724440	-0.0241183899	1.3398888111
14	45626.9074186430	0.0677276105	182.2776135500	0.1184205311	0.3090945482	0.1859038346	0.0834950000	27486534	0	-0.3284685910	-0.0317409225	1.7132337093
15	45627.0111414510	0.1030632481	182.1312016149	0.1188961927	0.3065214753	0.1913731320	0.0225920000	27873451	0	-0.3284685910	-0.0317409225	1.7132337093
16	45627.1148504180	0.0605452657	181.1575308280	0.1156946433	0.3066938818	0.1881931990	0.2262310000	27771504	0	-0.4771342874	-0.0408558026	2.1043193340
17	45627.2185281360	0.1234422326	180.5303555376	0.1177359949	0.3065134287	0.1935327592	0.0221120000	28014437	0	-0.4771342874	-0.0408558026	2.1043193340
18	45627.3222008080	0.0597844869	179.9984204051	0.1147289167	0.3052814305	0.1919053293	0.1055620000	32101450	0	-0.6720371246	-0.0472675487	2.5030183792
19	45627.4258789030	0.1315200627	179.8477054508	0.1170903542	0.3068430722	0.1964790410	0.0213610000	30866169	0	-0.6720371246	-0.0472675487	2.5030183792
20	45627.5295810500	0.0558867231	179.6005618859	0.1141153437	0.3049961329	0.1956382596	0.1104850000	30863354	0	-0.8920195103	-0.0477263369	2.8950908184
21	45627.6332856040	0.1469926238	179.2740242021	0.1171078861	0.3077905774	0.2000038009	0.0226020000	31220191	0	-0.8920195103	-0.0477263369	2.8950908184
22	45627.7369650000	0.0615693182	179.7610713314	0.1146015816	0.3053710163	0.2000294224	0.1098140000	31323204	0	-1.1501882076	-0.0344797745	3.2913286686
23	45627.8406441540	0.1510265321	179.7800455969	0.1174846445	0.3089136183	0.2043588206	0.0234750000	31488673	0	-1.1501882076	-0.0344797745	3.2913286686
24	45627.9442980460	0.0829461813	179.4699686690	0.1160267025	0.3053960502	0.2060998856	0.1421480000	31985846	0	-1.4541604519	-0.0509673320	3.7042231560
25	45628.0479028550	0.1602408439	179.7508533684	0.1190500910	0.3091365397	0.2100429409	0.0243340000	32028019	0	-1.4541604519	-0.0509673320	3.7042231560
26	45628.1515125790	0.0795073286	179.3024514494	0.1174227394	0.3056122959	0.2109999335	0.1316690000	32460740	0	-1.8474236727	-0.0643518344	4.0619239807
27	45628.2551441600	0.1701846868	179.2695162772	0.1206638942	0.3100498915	0.2154515636	0.0219510000	32399007	0	-1.8474236727	-0.0643518344	4.0619239807
28	45628.3587769480	0.0897921547	179.6623614375	0.1194214192	0.3059942126	0.2180050623	0.1245080000	34263048	0	-2.2746968269	-0.0524715930	4.4325585365
29	45628.4624333310	0.1829610914	179.6309835485	0.1229170856	0.3107618690	0.2229215818	0.0211040000	34102553	0	-2.2746968269	-0.0524715930	4.4325585365
